TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
68781275320;777766;"MAF";"INTERVAL";"PROBE";4;63;0x00001b5e;0;227884937;0;0;41702367;790780;0;0;CPUTHEFT
68781275581;49;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001b5e;0;2484;0;0;445;32;0;0;CPUTHEFT
68781275635;92;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001b5e;0;8048;0;0;1134;80;0;0;CPUTHEFT
68781275732;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001b5e;0;1173;0;0;197;6;0;0;CPUTHEFT
68781275757;111;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001b5e;0;21108;0;0;1741;127;0;0;CPUTHEFT
68781275873;26;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001b5e;0;1099;0;0;215;13;0;0;CPUTHEFT
68781275903;81061;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001b5e;0;25135111;0;0;5396138;76679;0;0;CPUTHEFT
68781356970;16847;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001b5e;0;4261457;0;0;431011;20901;0;0;CPUTHEFT
68781373821;48996;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001b5e;0;14843020;0;0;2940257;46349;0;0;CPUTHEFT
68781422822;49031;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001b5e;0;14855797;0;0;2943245;46329;0;0;CPUTHEFT
68781471859;16830;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001b5e;0;4261457;0;0;431019;20801;0;0;CPUTHEFT
68781488693;49027;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001b5e;0;14658838;0;0;2911684;51918;0;0;CPUTHEFT
68781537727;16834;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001b5e;0;4261457;0;0;431050;20831;0;0;CPUTHEFT
68781554565;49007;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001b5e;0;14713570;0;0;2921515;50536;0;0;CPUTHEFT
68781603578;16927;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001b5e;0;4261457;0;0;430974;20917;0;0;CPUTHEFT
68781620509;49012;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001b5e;0;14857884;0;0;2943189;46167;0;0;CPUTHEFT
68781669526;16830;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001b5e;0;4261457;0;0;430832;20843;0;0;CPUTHEFT
68781686361;48975;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001b5e;0;14815280;0;0;2935553;47236;0;0;CPUTHEFT
