TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
75408411244;745888;"MAF";"INTERVAL";"PROBE";4;63;0x00001c0f;0;77394176;43038063;39190117;63914112;24247510;19996;0;CPUTHEFT
75408411516;58;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;788;669;456;1136;0;138;0;CPUTHEFT
75408411578;97;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;2864;1551;1120;3070;1228;164;0;CPUTHEFT
75408411679;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001c0f;0;350;305;201;620;17;21;0;CPUTHEFT
75408411705;113;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001c0f;0;9437;2499;1703;8154;4107;81;0;CPUTHEFT
75408411822;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001c0f;0;383;280;215;646;0;39;0;CPUTHEFT
75408411851;49124;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;4978243;2952306;2919261;4449185;1139736;1904;0;CPUTHEFT
75408460981;16831;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;1945550;772201;430825;1094361;1137376;12;0;CPUTHEFT
75408477816;49046;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;4927989;3010629;2919102;4476788;1139779;1845;0;CPUTHEFT
75408526868;48976;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;4921827;3008598;2914159;4470908;1138200;1357;0;CPUTHEFT
75408575850;16835;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;1947473;772765;430797;1094196;1138870;25;0;CPUTHEFT
75408592689;49024;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;5002909;2969023;2942723;4475684;1139127;1536;0;CPUTHEFT
75408641718;16824;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;1944836;772128;430801;1093700;1137159;26;0;CPUTHEFT
75408658547;48958;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;4922337;3008116;2921964;4474808;1136328;1635;0;CPUTHEFT
75408707520;16882;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;1944934;771883;430685;1093570;1137316;50;0;CPUTHEFT
75408724406;49018;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;4922220;3007832;2916366;4471678;1138342;1678;0;CPUTHEFT
75408773429;16829;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;1945972;772406;430865;1093989;1137796;25;0;CPUTHEFT
75408790263;48992;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;4995444;2964683;2942621;4471107;1136704;1561;0;CPUTHEFT
75408839266;16833;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;1943694;772323;430911;1094044;1136452;26;0;CPUTHEFT
75408856104;49021;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;4993320;2964005;2938356;4468847;1136785;1523;0;CPUTHEFT
75408905131;16824;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;1946429;772093;430757;1093601;1138075;19;0;CPUTHEFT
75408921959;48964;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;4929609;3012401;2926136;4478900;1138148;1341;0;CPUTHEFT
75408970929;16837;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;1946799;772770;430868;1094091;1138286;11;0;CPUTHEFT
75408987770;48968;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;4930210;3012810;2925986;4479157;1138392;1312;0;CPUTHEFT
75409036744;16833;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;1945131;771808;430875;1093544;1137453;11;0;CPUTHEFT
75409053582;49064;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;4930839;3013385;2926472;4481980;1137963;1459;0;CPUTHEFT
75409102669;54458;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00001c0f;0;5401621;3149545;3107040;4830028;1483871;1420;0;CPUTHEFT
75410011207;649871;"MAF";"INTERVAL";"PROBE";4;63;0x00001c0f;1;68457672;36403555;31733114;53835472;24283238;15234;0;CPUTHEFT
75410011230;81;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001c0f;1;843;674;450;1219;0;137;0;CPUTHEFT
75410011316;98;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001c0f;1;2718;1487;1097;2956;1153;168;0;CPUTHEFT
75410011418;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001c0f;1;342;295;198;600;17;21;0;CPUTHEFT
75410011444;112;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001c0f;1;9049;2409;1701;7890;3890;86;0;CPUTHEFT
75410011560;26;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001c0f;1;358;274;213;599;0;31;0;CPUTHEFT
75410011590;17099;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;1;1951547;774841;433358;1102152;1138424;923;0;CPUTHEFT
75410028694;16798;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;1;1942420;771044;430549;1092593;1135748;7;0;CPUTHEFT
75410045497;16959;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;1;1949343;774474;433483;1101506;1137192;578;0;CPUTHEFT
75410062461;16955;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;1;1947772;773504;434669;1101421;1135885;490;0;CPUTHEFT
75410079421;16813;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;1;1942898;771523;430818;1093176;1135901;22;0;CPUTHEFT
75410096238;48962;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;1;4914807;3005731;2912070;4466829;1135516;1160;0;CPUTHEFT
75410145205;16829;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;1;1945716;772371;431011;1093929;1137490;25;0;CPUTHEFT
75410162039;48960;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;1;4990900;2962532;2935372;4465581;1136976;1362;0;CPUTHEFT
75410211005;16819;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;1;1945275;771771;430654;1093131;1137459;26;0;CPUTHEFT
75410227829;48968;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;1;4928841;3012141;2926105;4479263;1137706;1341;0;CPUTHEFT
75410276802;16833;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;1;1947611;772640;430824;1093787;1138770;25;0;CPUTHEFT
75410293640;48968;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;1;5000807;2967678;2945638;4474689;1137792;1355;0;CPUTHEFT
75410342613;16819;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;1;1944278;771692;430875;1093371;1136689;28;0;CPUTHEFT
75410359436;48964;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001c0f;1;4999512;2966376;2944385;4472886;1137920;1344;0;CPUTHEFT
