TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
86674649203;745829;"MAF";"INTERVAL";"PROBE";4;63;0x00001d3d;0;3846;627;120382292;97231487;19343;120382354;0;CPUTHEFT
86674649452;50;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;3;12;1577;1425;436;1574;0;CPUTHEFT
86674649507;94;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;4;6;4235;4266;828;4227;0;CPUTHEFT
86674649605;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001d3d;0;1;3;748;644;176;742;0;CPUTHEFT
86674649630;116;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001d3d;0;2;4;10534;8917;452;10526;0;CPUTHEFT
86674649750;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001d3d;0;0;2;701;713;140;693;0;CPUTHEFT
86674649777;49084;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;348;73;8096481;6555561;8224;8096475;0;CPUTHEFT
86674698866;16858;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;5;2;2403427;1958490;56;2403437;0;CPUTHEFT
86674715728;49004;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;293;46;8157051;6595433;368;8157038;0;CPUTHEFT
86674764737;16847;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;5;1;2404863;1959838;8;2404874;0;CPUTHEFT
86674781589;49036;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;345;50;8187362;6619131;776;8187348;0;CPUTHEFT
86674830630;49013;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;302;52;8158481;6598854;412;8158476;0;CPUTHEFT
86674879648;16833;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;5;1;2403763;1956335;20;2403774;0;CPUTHEFT
86674896485;49056;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;353;52;8142587;6586925;1002;8142573;0;CPUTHEFT
86674945547;16916;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;13;1;2403625;1957347;69;2403639;0;CPUTHEFT
86674962467;49099;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;351;64;8151276;6590509;1468;8151262;0;CPUTHEFT
86675011572;16832;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;6;2;2404428;1955791;8;2404437;0;CPUTHEFT
86675028408;48968;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;306;49;8191117;6613923;376;8191105;0;CPUTHEFT
86675077381;16830;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;6;1;2404778;1955445;12;2404789;0;CPUTHEFT
86675094215;48980;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;312;58;8184771;6616002;536;8184758;0;CPUTHEFT
86675143200;16832;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;5;1;2404785;1955203;8;2404796;0;CPUTHEFT
86675160037;16898;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;92;10;2407817;1960391;136;2407805;0;CPUTHEFT
86675176939;16822;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;5;0;2403875;1954003;8;2403881;0;CPUTHEFT
86675193765;112943;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;465;40;19728410;15895084;862;19728396;0;CPUTHEFT
86675306713;16864;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;6;1;2405980;1959491;40;2405991;0;CPUTHEFT
86675323582;16954;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;143;10;2409859;1963646;156;2409846;0;CPUTHEFT
86675340557;54471;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00001d3d;0;284;44;8885622;6983174;1364;8885618;0;CPUTHEFT
86676249170;650209;"MAF";"INTERVAL";"PROBE";4;63;0x00001d3d;1;3152;517;103133509;83375748;15434;103133506;0;CPUTHEFT
86676249195;78;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;2;11;1620;1586;1408;1618;0;CPUTHEFT
86676249277;95;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;4;9;4177;4079;1148;4169;0;CPUTHEFT
86676249376;25;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00001d3d;1;0;2;750;619;296;742;0;CPUTHEFT
86676249405;115;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00001d3d;1;1;3;10445;8482;612;10437;0;CPUTHEFT
86676249525;29;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00001d3d;1;0;0;705;706;284;697;0;CPUTHEFT
86676249558;17125;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;146;39;2408496;1967022;6964;2408488;0;CPUTHEFT
86676266688;16820;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;7;1;2400138;1951826;12;2400146;0;CPUTHEFT
86676283512;16933;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;113;3;2408705;1958926;310;2408692;0;CPUTHEFT
86676300450;16828;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;5;1;2404155;1955005;4;2404161;0;CPUTHEFT
86676317283;16922;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;120;3;2407621;1957223;228;2407608;0;CPUTHEFT
86676334210;48977;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;278;43;8167993;6608060;588;8167986;0;CPUTHEFT
86676383192;16839;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;3;2;2402428;1958174;16;2402436;0;CPUTHEFT
86676400035;48997;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;290;44;8154154;6595101;184;8154137;0;CPUTHEFT
86676449037;16848;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;3;2;2403751;1961053;8;2403759;0;CPUTHEFT
86676465889;49017;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;283;44;8169033;6612519;612;8169016;0;CPUTHEFT
86676514911;16827;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;4;2;2403775;1954695;20;2403783;0;CPUTHEFT
86676531742;49024;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;308;50;8155179;6590960;596;8155165;0;CPUTHEFT
86676580771;16835;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;4;2;2402405;1957718;8;2402413;0;CPUTHEFT
86676597611;48990;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;302;45;8172201;6613815;388;8172184;0;CPUTHEFT
86676646606;16848;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;6;2;2403893;1960610;8;2403901;0;CPUTHEFT
86676663458;48994;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;298;44;8191680;6616425;212;8191667;0;CPUTHEFT
86676712457;16832;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;4;2;2404251;1955552;4;2404259;0;CPUTHEFT
86676729293;48972;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;296;45;8138588;6585186;350;8138571;0;CPUTHEFT
86676778270;16836;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;4;2;2404601;1957200;8;2404609;0;CPUTHEFT
86676795111;48997;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;302;43;8155736;6592922;270;8155719;0;CPUTHEFT
86676844130;55245;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00001d3d;1;288;46;8937648;7031446;748;8937643;0;CPUTHEFT
