TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
124775014473;1143407;"MAF";"INTERVAL";"PROBE";1;63;0x00003435;0;46437864;11919;27764;92790;2262;1480;0;SPECTRE
124775014840;103;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003435;0;1453;38;44;219;90;20;0;SPECTRE
124775014952;220;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003435;0;3900;26;26;275;149;25;0;SPECTRE
124775015180;68;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003435;0;1468;40;43;316;31;4;0;SPECTRE
124775015259;311;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003435;0;9809;35;53;236;95;13;0;SPECTRE
124775015579;38;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003435;0;582;9;9;77;24;4;0;SPECTRE
124775015624;53643;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2172970;586;1520;5397;970;198;0;SPECTRE
124775069276;54346;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2192153;1084;2011;7441;418;126;0;SPECTRE
124775123630;53656;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2179465;793;1645;6368;69;56;0;SPECTRE
124775177294;53169;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2167430;413;1240;3691;15;33;0;SPECTRE
124775230471;53541;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2178034;692;1539;5931;41;76;0;SPECTRE
124775284021;53634;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2179684;887;1645;6314;69;108;0;SPECTRE
124775337662;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2166105;346;1126;3155;2;39;0;SPECTRE
124775390781;53256;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2171309;468;1240;3986;3;42;0;SPECTRE
124775444044;53248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2171172;503;1293;4080;5;53;0;SPECTRE
124775497299;53104;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2166048;384;1214;3276;10;52;0;SPECTRE
124775550410;53322;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2172383;648;1375;4526;23;61;0;SPECTRE
124775603739;53262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2171149;681;1388;4293;2;48;0;SPECTRE
124775657008;53101;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2166096;353;1152;3129;1;43;0;SPECTRE
124775710116;53245;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2171148;509;1262;3986;2;38;0;SPECTRE
124775763368;53250;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2171191;561;1291;4038;9;50;0;SPECTRE
124775816625;53099;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2166053;313;1055;2924;3;52;0;SPECTRE
124775869731;53240;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2171175;431;1175;3807;5;39;0;SPECTRE
124775922978;53253;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2171182;600;1338;4140;2;68;0;SPECTRE
124775976238;53103;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2166102;382;1128;3090;2;56;0;SPECTRE
124776029348;53256;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;0;2171323;493;1252;3917;4;46;0;SPECTRE
124776082611;75261;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00003435;0;2958597;334;357;2338;129;40;0;SPECTRE
124776614361;1142907;"MAF";"INTERVAL";"PROBE";1;63;0x00003435;1;46482814;9854;25431;78860;742;1575;0;SPECTRE
124776614381;98;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003435;1;1447;37;41;217;99;43;0;SPECTRE
124776614485;191;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003435;1;3890;24;31;272;112;42;0;SPECTRE
124776614682;29;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003435;1;647;13;12;68;21;6;0;SPECTRE
124776614721;303;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003435;1;9804;25;38;195;78;26;0;SPECTRE
124776615035;36;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003435;1;582;10;10;73;26;10;0;SPECTRE
124776615077;53136;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2166186;311;1196;3403;21;113;0;SPECTRE
124776668220;53300;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2171880;504;1349;4343;6;88;0;SPECTRE
124776721528;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2171241;559;1317;4159;6;126;0;SPECTRE
124776774801;53103;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2166043;339;1081;2992;2;74;0;SPECTRE
124776827911;53238;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2171173;442;1241;3877;5;73;0;SPECTRE
124776881157;53253;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2171238;488;1319;4107;1;75;0;SPECTRE
124776934417;53102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2166085;305;1142;3162;2;69;0;SPECTRE
124776987526;53343;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2173099;637;1399;4561;31;68;0;SPECTRE
124777040876;53253;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2171187;521;1304;4115;2;69;0;SPECTRE
124777094137;53103;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2166023;425;1132;3058;3;45;0;SPECTRE
124777147247;53248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2171211;482;1248;3957;2;60;0;SPECTRE
124777200503;53250;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2171176;538;1308;4087;1;58;0;SPECTRE
124777253760;53100;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2166090;319;1099;2967;4;54;0;SPECTRE
124777306867;53255;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2171230;603;1377;4194;1;68;0;SPECTRE
124777360130;53261;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2171165;505;1251;3988;47;259;0;SPECTRE
124777413402;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2166026;329;1075;2987;32;44;0;SPECTRE
124777466523;53272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2171215;631;1341;4154;35;59;0;SPECTRE
124777519808;53257;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2171122;576;1354;4158;39;17;0;SPECTRE
124777573073;53102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2166054;306;1049;2918;15;5;0;SPECTRE
124777626184;53246;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;1;2171115;448;1226;3903;23;1;0;SPECTRE
124777679440;77819;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00003435;1;3059594;245;260;1645;96;4;0;SPECTRE
124778214350;1146468;"MAF";"INTERVAL";"PROBE";1;63;0x00003435;2;46602470;10771;26148;81502;1457;503;0;SPECTRE
124778214370;111;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003435;2;1453;41;46;225;123;4;0;SPECTRE
124778214488;241;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003435;2;4914;28;30;291;138;4;0;SPECTRE
124778214737;32;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003435;2;647;13;18;78;24;1;0;SPECTRE
124778214779;304;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003435;2;9805;23;32;183;75;3;0;SPECTRE
124778215092;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003435;2;583;10;10;73;31;2;0;SPECTRE
124778215137;53179;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2166197;346;1233;3457;242;22;0;SPECTRE
124778268325;53300;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2171837;571;1405;4419;56;10;0;SPECTRE
124778321634;53272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2171273;599;1346;4214;18;8;0;SPECTRE
124778374915;53120;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2165977;304;1082;2968;35;57;0;SPECTRE
124778428043;53250;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2171001;487;1250;3949;16;64;0;SPECTRE
124778481301;53247;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2170903;550;1254;3898;10;24;0;SPECTRE
124778534556;53109;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2166020;331;1097;3022;4;17;0;SPECTRE
124778587675;53538;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2171919;629;1374;4566;286;30;0;SPECTRE
124778641222;53371;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2173003;604;1391;4525;65;23;0;SPECTRE
124778694600;53110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2166013;383;1190;3204;8;8;0;SPECTRE
124778747717;53254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2171203;497;1283;4022;3;5;0;SPECTRE
124778800979;53252;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2171116;544;1299;4124;4;66;0;SPECTRE
124778854238;53100;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2166036;322;1134;3097;4;27;0;SPECTRE
124778907348;53253;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2171131;650;1376;4231;6;21;0;SPECTRE
124778960608;53281;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2171124;674;1398;4264;44;56;0;SPECTRE
124779013898;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2166074;341;1130;3081;34;13;0;SPECTRE
124779067017;53265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2171151;677;1392;4221;36;13;0;SPECTRE
124779120291;53293;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2171334;643;1355;4169;36;14;0;SPECTRE
124779173591;53106;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2166055;333;1077;2939;10;0;0;SPECTRE
124779226706;53248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;2;2171158;496;1267;4018;8;3;0;SPECTRE
124779279963;80847;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00003435;2;3178250;422;426;2943;97;1;0;SPECTRE
124779814368;1149406;"MAF";"INTERVAL";"PROBE";1;63;0x00003435;3;46722982;10537;26173;81696;1231;416;0;SPECTRE
124779814389;135;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003435;3;1448;43;49;241;138;4;0;SPECTRE
124779814530;243;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003435;3;4917;29;30;288;144;2;0;SPECTRE
124779814782;31;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003435;3;647;12;17;69;29;3;0;SPECTRE
124779814822;306;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003435;3;9797;20;31;171;79;2;0;SPECTRE
124779815139;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003435;3;581;10;10;69;31;2;0;SPECTRE
124779815187;53203;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2166980;323;1220;3582;242;20;0;SPECTRE
124779868397;53278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2171212;457;1339;4205;43;13;0;SPECTRE
124779921684;53277;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2171458;534;1356;4202;36;14;0;SPECTRE
124779974969;53126;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2166397;431;1135;3114;18;52;0;SPECTRE
124780028102;53268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2171363;494;1296;4077;10;39;0;SPECTRE
124780081377;53438;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2174783;672;1455;4841;69;24;0;SPECTRE
124780134824;53121;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2166167;401;1137;3120;10;14;0;SPECTRE
124780187954;53260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2171205;550;1349;4102;4;17;0;SPECTRE
124780241221;53267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2171365;590;1377;4217;12;7;0;SPECTRE
124780294496;53225;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2168127;417;1234;3564;65;7;0;SPECTRE
124780347729;53265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2171296;596;1351;4167;3;5;0;SPECTRE
124780401001;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2171415;471;1222;3908;1;50;0;SPECTRE
124780454267;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2166286;352;1126;3096;1;18;0;SPECTRE
124780507387;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2171401;644;1424;4334;4;27;0;SPECTRE
124780560660;53280;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2171566;548;1332;4170;29;42;0;SPECTRE
124780613950;53127;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2166352;366;1117;3020;32;18;0;SPECTRE
124780667087;53274;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2171375;526;1299;4015;39;11;0;SPECTRE
124780720371;53273;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2171413;651;1414;4256;36;8;0;SPECTRE
124780773654;53115;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2166332;309;1045;2884;17;4;0;SPECTRE
124780826777;53256;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;3;2171312;493;1235;3872;12;3;0;SPECTRE
124780880043;83723;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00003435;3;3291487;368;344;2882;93;1;0;SPECTRE
124781414358;1152737;"MAF";"INTERVAL";"PROBE";1;63;0x00003435;4;46844245;10371;25941;81020;1613;503;0;SPECTRE
124781414377;125;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003435;4;1452;39;47;226;131;5;0;SPECTRE
124781414511;243;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003435;4;4910;30;31;283;143;8;0;SPECTRE
124781414761;34;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003435;4;647;14;18;81;25;0;0;SPECTRE
124781414804;314;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003435;4;9800;24;37;179;78;1;0;SPECTRE
124781415127;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003435;4;583;9;9;68;31;5;0;SPECTRE
124781415175;53232;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2166879;350;1232;3590;312;37;0;SPECTRE
124781468415;53292;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2171409;463;1276;4031;73;20;0;SPECTRE
124781521715;53262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2171085;490;1283;4056;26;17;0;SPECTRE
124781574986;53109;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2166043;245;1028;2877;18;39;0;SPECTRE
124781628103;53270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2171240;592;1328;4134;11;32;0;SPECTRE
124781681380;53255;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2171058;536;1309;4016;5;13;0;SPECTRE
124781734642;53107;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2165957;338;1093;2988;3;5;0;SPECTRE
124781787757;53261;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2171051;624;1318;4053;5;6;0;SPECTRE
124781841026;53267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2171251;567;1311;4050;14;11;0;SPECTRE
124781894301;53109;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2166014;350;1096;2978;6;3;0;SPECTRE
124781947417;53365;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2172948;624;1407;4499;65;11;0;SPECTRE
124782000790;53263;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2171073;627;1472;4429;8;59;0;SPECTRE
124782054061;53113;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2166111;353;1122;3114;1;29;0;SPECTRE
124782107181;53248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2171149;486;1263;4003;8;19;0;SPECTRE
124782160437;53267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2171123;580;1357;4197;25;39;0;SPECTRE
124782213713;53124;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2166081;363;1101;3028;31;21;0;SPECTRE
124782266846;53271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2171077;582;1323;4101;45;15;0;SPECTRE
124782320127;53544;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2171939;568;1438;4659;323;11;0;SPECTRE
124782373681;53131;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2166064;307;1080;2984;55;27;0;SPECTRE
124782426825;53270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;4;2171138;546;1294;4064;37;53;0;SPECTRE
124782480106;86980;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00003435;4;3419864;417;421;3016;94;3;0;SPECTRE
124783014389;1155857;"MAF";"INTERVAL";"PROBE";1;63;0x00003435;5;46977693;10784;26171;81819;1544;437;0;SPECTRE
124783014407;133;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003435;5;1450;43;49;238;143;8;0;SPECTRE
124783014548;253;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003435;5;4919;35;34;306;148;11;0;SPECTRE
124783014810;38;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003435;5;647;12;18;73;33;2;0;SPECTRE
124783014857;310;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003435;5;9799;20;34;181;80;2;0;SPECTRE
124783015176;46;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003435;5;581;12;12;81;32;0;0;SPECTRE
124783015228;53220;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2166453;354;1243;3526;448;43;0;SPECTRE
124783068457;53296;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2171750;602;1379;4367;60;15;0;SPECTRE
124783121760;53262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2171138;616;1369;4223;17;14;0;SPECTRE
124783175030;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2166117;294;1099;3012;28;62;0;SPECTRE
124783228152;53265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2171125;698;1374;4173;14;35;0;SPECTRE
124783281425;53257;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2171296;513;1296;4032;5;11;0;SPECTRE
124783334690;53097;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2166055;295;1031;2855;7;2;0;SPECTRE
124783387795;53257;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2171120;658;1425;4269;8;8;0;SPECTRE
124783441061;53249;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2171100;525;1317;4065;5;4;0;SPECTRE
124783494321;53102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2166016;342;1092;2964;6;4;0;SPECTRE
124783547431;53258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2171064;636;1448;4281;3;9;0;SPECTRE
124783600697;53373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2173019;669;1444;4596;74;54;0;SPECTRE
124783654078;53102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2166145;325;1102;3062;6;37;0;SPECTRE
124783707187;53244;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2171100;521;1299;4039;2;12;0;SPECTRE
124783760438;53280;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2171207;618;1369;4241;44;56;0;SPECTRE
124783813727;53121;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2166106;319;1034;2879;31;18;0;SPECTRE
124783866857;53272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2171211;544;1318;4069;56;12;0;SPECTRE
124783920139;53267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2171548;514;1251;3996;29;2;0;SPECTRE
124783973414;53108;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2166151;360;1129;3086;16;1;0;SPECTRE
124784026532;53252;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;5;2171180;450;1227;3922;10;1;0;SPECTRE
124784079793;90444;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00003435;5;3553095;578;548;3959;206;6;0;SPECTRE
124784614352;1160499;"MAF";"INTERVAL";"PROBE";1;63;0x00003435;6;47118343;10314;25629;80171;1270;349;0;SPECTRE
124784614370;126;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003435;6;1453;40;47;230;135;1;0;SPECTRE
124784614505;251;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003435;6;4913;28;37;296;143;3;0;SPECTRE
124784614765;33;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003435;6;647;10;9;63;25;1;0;SPECTRE
124784614807;308;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003435;6;9802;19;30;177;80;1;0;SPECTRE
124784615127;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003435;6;582;10;10;75;33;5;0;SPECTRE
124784615180;53282;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2166235;354;1237;3508;321;32;0;SPECTRE
124784668470;53387;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2171560;531;1429;4453;53;14;0;SPECTRE
124784721865;53376;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2171037;587;1296;4136;17;12;0;SPECTRE
124784775249;53221;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2166107;374;1118;3043;17;42;0;SPECTRE
124784828478;53363;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2171060;527;1296;4041;10;30;0;SPECTRE
124784881848;53357;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2171080;546;1300;4030;6;11;0;SPECTRE
124784935213;53225;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2166385;434;1128;3097;3;4;0;SPECTRE
124784988445;53358;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2171203;495;1267;3957;6;5;0;SPECTRE
124785041810;53350;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2171067;437;1205;3823;8;1;0;SPECTRE
124785095184;53212;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2166094;334;1064;2937;3;2;0;SPECTRE
124785148405;53356;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2171143;471;1250;3887;5;1;0;SPECTRE
124785201768;53283;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2171144;539;1291;4033;1;38;0;SPECTRE
124785255058;53099;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2166140;335;1115;3090;4;14;0;SPECTRE
124785308165;53375;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2173205;610;1402;4620;72;26;0;SPECTRE
124785361547;53286;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2171256;660;1406;4311;48;47;0;SPECTRE
124785414842;53136;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2166071;480;1162;3137;41;23;0;SPECTRE
124785467988;53255;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2171205;514;1290;4006;54;18;0;SPECTRE
124785521253;53265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2171204;572;1279;4006;36;4;0;SPECTRE
124785574527;53102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2166154;316;1110;3043;9;0;0;SPECTRE
124785627636;53256;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;6;2171221;476;1248;3958;14;7;0;SPECTRE
124785680900;93943;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00003435;6;3694080;385;374;2908;95;0;0;SPECTRE
124786214353;1168601;"MAF";"INTERVAL";"PROBE";1;63;0x00003435;7;47323409;12682;28411;96415;3404;1097;0;SPECTRE
124786214373;117;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003435;7;1449;37;46;224;129;2;0;SPECTRE
124786214501;248;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003435;7;4909;29;30;297;141;3;0;SPECTRE
124786214755;34;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003435;7;647;12;19;78;30;2;0;SPECTRE
124786214798;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003435;7;9803;22;31;170;78;0;0;SPECTRE
124786215116;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003435;7;581;12;12;78;32;2;0;SPECTRE
124786215166;53752;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;7;2169582;514;1408;4571;660;35;0;SPECTRE
124786268929;54089;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003435;7;2180062;1099;1856;6996;437;73;0;SPECTRE
