TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
136732459559;1143837;"MAF";"INTERVAL";"PROBE";1;63;0x000035dd;0;92290528;32249662;13459817;8934772;618264;16645;0;SPECTRE
136732459932;101;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000035dd;0;2490;640;578;415;36;6;0;SPECTRE
136732460040;231;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000035dd;0;8060;2375;1320;1013;105;1;0;SPECTRE
136732460278;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000035dd;0;3024;704;480;526;72;0;0;SPECTRE
136732460354;317;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000035dd;0;21138;7612;2055;1632;156;25;0;SPECTRE
136732460681;37;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000035dd;0;1096;256;226;192;14;0;0;SPECTRE
136732460725;53730;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4323625;1511801;631220;419401;29865;986;0;SPECTRE
136732514463;53599;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4325121;1512075;631543;420262;29994;903;0;SPECTRE
136732568069;53519;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4322064;1511493;631030;419116;29133;921;0;SPECTRE
136732621597;53577;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4327085;1512602;631697;420141;29187;911;0;SPECTRE
136732675181;53392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4310613;1508806;629530;416995;30066;805;0;SPECTRE
136732728581;53627;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4324093;1511936;631306;419545;30771;885;0;SPECTRE
136732782215;53598;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4325807;1512301;631528;419888;29059;839;0;SPECTRE
136732835820;53122;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4294801;1505327;627494;413771;28351;828;0;SPECTRE
136732888949;53522;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4322095;1511511;631043;419141;28946;902;0;SPECTRE
136732942479;53270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4306034;1507950;628977;415838;28412;759;0;SPECTRE
136732995757;53118;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4294974;1505347;627501;413809;28296;770;0;SPECTRE
136733048882;53407;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4311518;1509123;629672;416852;28615;794;0;SPECTRE
136733102296;53269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4306620;1508045;629020;415962;28393;754;0;SPECTRE
136733155573;53108;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4294972;1505344;627503;413808;28262;754;0;SPECTRE
136733208688;53258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4306525;1508031;629006;415950;28395;742;0;SPECTRE
136733261953;53334;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4309576;1508785;629373;416450;28570;797;0;SPECTRE
136733315294;53113;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4294965;1505348;627505;413810;28293;777;0;SPECTRE
136733368414;53261;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4306426;1508035;629013;415925;28407;853;0;SPECTRE
136733421682;53260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4306538;1508050;629014;415954;28365;776;0;SPECTRE
136733474948;53113;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;0;4295172;1505432;627566;413835;28262;792;0;SPECTRE
136733528069;75318;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000035dd;0;6004946;2051699;857791;587197;39665;65;0;SPECTRE
136734059521;1143724;"MAF";"INTERVAL";"PROBE";1;63;0x000035dd;1;92344211;32287054;13469383;8922982;614807;15780;0;SPECTRE
136734059550;116;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000035dd;1;2489;640;578;415;37;6;0;SPECTRE
136734059673;211;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000035dd;1;8053;2373;1321;1013;85;0;0;SPECTRE
136734059891;32;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000035dd;1;1172;271;246;181;11;8;0;SPECTRE
136734059932;316;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000035dd;1;21138;7612;2055;1632;142;26;0;SPECTRE
136734060258;38;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000035dd;1;1096;256;226;192;13;0;0;SPECTRE
136734060302;53390;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;1;4309477;1508563;629231;416586;28887;903;0;SPECTRE
136734113699;53105;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;1;4294572;1505285;627470;413734;28276;800;0;SPECTRE
136734166811;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;1;4306545;1508047;629002;415964;28460;817;0;SPECTRE
136734220078;53257;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;1;4306388;1508029;628989;415929;28438;847;0;SPECTRE
136734273343;53109;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;1;4294895;1505340;627490;413809;28238;762;0;SPECTRE
136734326459;53262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;1;4306620;1508042;629005;415971;28461;815;0;SPECTRE
136734379728;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;1;4306675;1508069;629023;415983;28464;795;0;SPECTRE
136734433001;53104;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000035dd;1;4294596;1505294;627478;413736;28242;758;0;SPECTRE
