TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
140718248309;1142308;"MAF";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;8908012;0;0;32650;0;SPECTRE
140718248666;105;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;415;0;0;155;0;SPECTRE
140718248781;229;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;1013;0;0;231;0;SPECTRE
140718249017;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;526;0;0;215;0;SPECTRE
140718249094;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;1632;0;0;146;0;SPECTRE
140718249412;36;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;192;0;0;61;0;SPECTRE
140718249455;53389;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;413737;0;0;1143;0;SPECTRE
140718302852;53458;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;416408;0;0;1970;0;SPECTRE
140718356319;53448;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;416693;0;0;1865;0;SPECTRE
140718409777;53425;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;417167;0;0;2010;0;SPECTRE
140718463210;53192;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;414409;0;0;1143;0;SPECTRE
140718516409;53302;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;415985;0;0;1545;0;SPECTRE
140718569718;53410;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;417132;0;0;1942;0;SPECTRE
140718623136;53176;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;414480;0;0;1188;0;SPECTRE
140718676319;53254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;415842;0;0;1538;0;SPECTRE
140718729580;53175;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;414452;0;0;1109;0;SPECTRE
140718782762;53310;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;416590;0;0;1801;0;SPECTRE
140718836079;53260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;416023;0;0;1536;0;SPECTRE
140718889346;53099;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;413754;0;0;834;0;SPECTRE
140718942452;53186;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;415035;0;0;1161;0;SPECTRE
140718995645;53248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;415985;0;0;1517;0;SPECTRE
140719048901;53098;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;413809;0;0;859;0;SPECTRE
140719102006;53258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;415977;0;0;1511;0;SPECTRE
140719155271;53414;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;417468;0;0;1938;0;SPECTRE
140719208696;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;413992;0;0;915;0;SPECTRE
140719261816;53355;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;415963;0;0;1509;0;SPECTRE
140719315181;75429;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00003648;0;0;0;585990;0;0;1608;0;SPECTRE
140719848207;1143271;"MAF";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;8923003;0;0;29571;0;SPECTRE
140719848229;104;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;415;0;0;146;0;SPECTRE
140719848340;190;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;1012;0;0;218;0;SPECTRE
140719848538;31;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;181;0;0;44;0;SPECTRE
140719848578;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;1632;0;0;136;0;SPECTRE
140719848900;40;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;192;0;0;50;0;SPECTRE
140719848946;53158;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;414514;0;0;1202;0;SPECTRE
140719902112;53263;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;415956;0;0;1595;0;SPECTRE
140719955382;53269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;415913;0;0;1518;0;SPECTRE
140720008658;53199;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;414646;0;0;1129;0;SPECTRE
140720061864;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;416125;0;0;1556;0;SPECTRE
140720115137;53254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;415939;0;0;1542;0;SPECTRE
140720168399;53104;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;413818;0;0;846;0;SPECTRE
140720221510;53265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;416407;0;0;1482;0;SPECTRE
140720274783;53183;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;414694;0;0;1123;0;SPECTRE
140720327974;53097;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;413759;0;0;828;0;SPECTRE
140720381079;53241;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;415969;0;0;1449;0;SPECTRE
140720434328;53246;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;415919;0;0;1533;0;SPECTRE
140720487581;53089;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;413820;0;0;849;0;SPECTRE
140720540677;53232;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;415954;0;0;1460;0;SPECTRE
140720593916;53271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;415880;0;0;1453;0;SPECTRE
140720647197;53143;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;413813;0;0;856;0;SPECTRE
140720700350;53310;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;415953;0;0;1485;0;SPECTRE
140720753669;53275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;415973;0;0;1508;0;SPECTRE
140720806951;53095;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;413800;0;0;856;0;SPECTRE
140720860054;53382;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;416776;0;0;1745;0;SPECTRE
140720913447;78023;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00003648;1;0;0;608596;0;0;2112;0;SPECTRE
140721448203;1147572;"MAF";"INTERVAL";"PROBE";1;63;0x00003648;2;0;0;8946183;0;0;30295;0;SPECTRE
140721448229;116;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003648;2;0;0;415;0;0;150;0;SPECTRE
140721448354;221;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003648;2;0;0;1191;0;0;237;0;SPECTRE
140721448583;30;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003648;2;0;0;181;0;0;49;0;SPECTRE
140721448622;310;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003648;2;0;0;1632;0;0;129;0;SPECTRE
