TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
147361263009;1143009;"MAF";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;46433879;0;59181001;36927;0;SPECTRE
147361263370;101;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;1456;0;2096;132;0;SPECTRE
147361263479;226;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;3901;0;6099;204;0;SPECTRE
147361263711;69;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;1451;0;2793;229;0;SPECTRE
147361263789;320;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;9816;0;13543;151;0;SPECTRE
147361264116;37;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;585;0;955;64;0;SPECTRE
147361264161;53684;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;2174779;0;2771180;2606;0;SPECTRE
147361317852;53208;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;2167926;0;2754559;1365;0;SPECTRE
147361371067;53768;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;2186905;0;2777094;2596;0;SPECTRE
147361424842;53421;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;2174581;0;2772430;2240;0;SPECTRE
147361478270;53327;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;2168053;0;2778843;1355;0;SPECTRE
147361531605;53399;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;2174528;0;2768856;2178;0;SPECTRE
147361585011;53267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;2171390;0;2759534;1628;0;SPECTRE
147361638285;53143;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;2166302;0;2741529;917;0;SPECTRE
147361691435;53311;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;2172695;0;2762356;1763;0;SPECTRE
147361744753;53275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;2171660;0;2749471;1602;0;SPECTRE
147361798035;53136;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000036f9;0;0;0;2166241;0;2748963;929;0;SPECTRE
