TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
154668684737;1141884;"MAF";"INTERVAL";"PROBE";1;63;0x00003847;0;54;5;46404078;59162777;6310;46405638;0;SPECTRE
154668685113;102;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003847;0;0;0;1456;2096;328;1460;0;SPECTRE
154668685223;220;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003847;0;1;0;3900;6095;548;3904;0;SPECTRE
154668685451;66;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003847;0;1;0;1450;2701;105;1461;0;SPECTRE
154668685526;315;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003847;0;0;0;9807;13550;352;9811;0;SPECTRE
154668685849;37;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003847;0;0;0;585;966;96;589;0;SPECTRE
154668685893;53944;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;30;4;2184116;2814686;2956;2184418;0;SPECTRE
154668739845;53236;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;1;0;2167371;2766873;364;2167423;0;SPECTRE
154668793088;53404;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;0;0;2174021;2756493;111;2174122;0;SPECTRE
154668846499;53422;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;4;0;2174026;2762790;190;2174125;0;SPECTRE
154668899928;53110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;0;0;2165320;2748936;36;2165365;0;SPECTRE
154668953045;53269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;0;0;2171052;2761488;20;2171134;0;SPECTRE
154669006321;53257;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;0;0;2170918;2760184;4;2171005;0;SPECTRE
154669059585;53102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;0;0;2165981;2747925;24;2166025;0;SPECTRE
154669112694;53244;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;0;0;2170887;2757091;8;2170974;0;SPECTRE
154669165947;53187;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;0;0;2168092;2755038;21;2168165;0;SPECTRE
154669219141;53223;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;6;0;2167884;2756794;264;2167938;0;SPECTRE
154669272371;53248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;1;0;2170921;2758423;8;2171008;0;SPECTRE
154669325626;53251;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;0;0;2171117;2759417;20;2171219;0;SPECTRE
154669378884;53094;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;0;0;2165924;2749531;4;2165968;0;SPECTRE
154669431985;53245;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;0;0;2170896;2753976;8;2170980;0;SPECTRE
154669485237;53258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;0;0;2171339;2759910;16;2171423;0;SPECTRE
154669538502;53098;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003847;0;0;0;2165926;2748478;8;2165970;0;SPECTRE
