TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
250595169422;1144161;"MAF";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;8935381;0;0;40389;0;SPECTRE
250595169806;105;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;415;0;0;144;0;SPECTRE
250595169920;221;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;1012;0;0;212;0;SPECTRE
250595170148;66;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;526;0;0;235;0;SPECTRE
250595170225;312;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;1632;0;0;145;0;SPECTRE
250595170545;36;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;192;0;0;59;0;SPECTRE
250595170588;53344;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;414602;0;0;1466;0;SPECTRE
250595223942;54083;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;426561;0;0;3314;0;SPECTRE
250595278032;53557;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;419427;0;0;2830;0;SPECTRE
250595331596;53247;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;414419;0;0;1213;0;SPECTRE
250595384850;53721;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;420058;0;0;3069;0;SPECTRE
250595438579;53719;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;420487;0;0;3082;0;SPECTRE
250595492306;53293;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;414523;0;0;1163;0;SPECTRE
250595545606;53570;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;419163;0;0;2803;0;SPECTRE
250595599183;53491;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;419234;0;0;2722;0;SPECTRE
250595652681;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;413814;0;0;900;0;SPECTRE
250595705799;53250;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;415888;0;0;1489;0;SPECTRE
250595759057;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;415969;0;0;1547;0;SPECTRE
250595812324;53104;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;413808;0;0;858;0;SPECTRE
250595865435;53385;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;416770;0;0;1779;0;SPECTRE
250595918827;53254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;415927;0;0;1518;0;SPECTRE
250595972088;53104;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;413808;0;0;858;0;SPECTRE
250596025199;53431;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;417771;0;0;1984;0;SPECTRE
250596078638;53307;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;416369;0;0;1761;0;SPECTRE
250596131952;53103;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;413799;0;0;866;0;SPECTRE
250596185062;53250;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;415876;0;0;1498;0;SPECTRE
250596238322;75252;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00004701;0;0;0;585990;0;0;1605;0;SPECTRE
250596769301;1145567;"MAF";"INTERVAL";"PROBE";1;63;0x00004701;1;0;0;8947905;0;0;39836;0;SPECTRE
250596769317;106;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00004701;1;0;0;415;0;0;145;0;SPECTRE
250596769429;189;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00004701;1;0;0;1013;0;0;216;0;SPECTRE
250596769626;32;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00004701;1;0;0;181;0;0;45;0;SPECTRE
250596769669;307;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00004701;1;0;0;1632;0;0;119;0;SPECTRE
250596769985;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00004701;1;0;0;192;0;0;54;0;SPECTRE
250596770030;53155;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;1;0;0;414290;0;0;1161;0;SPECTRE
250596823193;53268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;1;0;0;415858;0;0;1572;0;SPECTRE
250596876469;53409;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;1;0;0;417053;0;0;1973;0;SPECTRE
250596929886;53192;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;1;0;0;414431;0;0;1229;0;SPECTRE
250596983085;53749;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004701;1;0;0;420261;0;0;3228;0;SPECTRE
