TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
258566628333;1142398;"MAF";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;46411955;0;59169357;34660;0;SPECTRE
258566628726;100;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;1456;0;2058;132;0;SPECTRE
258566628833;222;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;3902;0;6031;213;0;SPECTRE
258566629061;64;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;1450;0;2795;223;0;SPECTRE
258566629135;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;9809;0;13403;130;0;SPECTRE
258566629457;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;586;0;898;49;0;SPECTRE
258566629503;53399;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2168097;0;2759426;1606;0;SPECTRE
258566682910;53481;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2174540;0;2769619;2269;0;SPECTRE
258566736399;53461;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2174353;0;2766229;2206;0;SPECTRE
258566789882;53205;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2167788;0;2752427;1230;0;SPECTRE
258566843094;53427;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2174484;0;2767662;2223;0;SPECTRE
258566896529;53343;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2173115;0;2764169;1965;0;SPECTRE
258566949880;53127;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2166454;0;2749978;900;0;SPECTRE
258567003015;53407;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2173796;0;2769106;1920;0;SPECTRE
258567056429;53280;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2171848;0;2761866;1609;0;SPECTRE
258567109716;53117;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2166449;0;2751277;872;0;SPECTRE
258567162840;53295;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2171222;0;2759790;1510;0;SPECTRE
258567216142;53268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2171875;0;2760491;1573;0;SPECTRE
258567269419;53115;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2166450;0;2747766;877;0;SPECTRE
258567322542;53283;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2171813;0;2761312;1581;0;SPECTRE
258567375832;53270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2171843;0;2761291;1572;0;SPECTRE
258567429110;53110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2166436;0;2751693;872;0;SPECTRE
258567482227;53269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2171833;0;2761757;1520;0;SPECTRE
258567535504;53332;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2173252;0;2764753;1796;0;SPECTRE
258567588843;53139;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2166478;0;2751180;948;0;SPECTRE
258567641990;53403;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2174029;0;2765889;2086;0;SPECTRE
258567695402;75321;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000047d5;0;0;0;2958784;0;3912054;1721;0;SPECTRE
258568228229;1143532;"MAF";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;46487309;0;59267491;28657;0;SPECTRE
258568228255;109;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;1451;0;2096;139;0;SPECTRE
258568228373;203;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;3896;0;5956;220;0;SPECTRE
258568228584;36;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;650;0;932;41;0;SPECTRE
258568228631;314;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;9807;0;13345;105;0;SPECTRE
258568228954;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;584;0;982;44;0;SPECTRE
258568229003;53305;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2168286;0;2771886;1465;0;SPECTRE
258568282316;53282;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2171058;0;2760637;1618;0;SPECTRE
258568335606;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2171295;0;2763148;1507;0;SPECTRE
258568388879;53115;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2166126;0;2752169;829;0;SPECTRE
258568442000;53256;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2171318;0;2761095;1482;0;SPECTRE
258568495263;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2171145;0;2759009;1458;0;SPECTRE
258568548536;53105;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2166109;0;2748997;822;0;SPECTRE
258568601648;53270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2171230;0;2761596;1495;0;SPECTRE
258568654925;53350;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2173071;0;2766030;1672;0;SPECTRE
258568708282;53109;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2166119;0;2750521;842;0;SPECTRE
258568761398;53249;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2171040;0;2760613;1437;0;SPECTRE
258568814654;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2171066;0;2760321;1406;0;SPECTRE
258568867920;53110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2166115;0;2748235;847;0;SPECTRE
258568921037;53257;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2171216;0;2759145;1430;0;SPECTRE
258568974300;53293;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2171371;0;2762455;1495;0;SPECTRE
258569027603;53141;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2166124;0;2750556;817;0;SPECTRE
258569080755;53322;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2171213;0;2761948;1452;0;SPECTRE
258569134087;53339;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2171187;0;2760465;1452;0;SPECTRE
258569187438;53136;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2166128;0;2749119;819;0;SPECTRE
258569240583;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;2171160;0;2759247;1483;0;SPECTRE
258569293861;77889;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000047d5;1;0;0;3062325;0;4049718;1498;0;SPECTRE
258569828235;1148461;"MAF";"INTERVAL";"PROBE";1;63;0x000047d5;2;0;0;46620686;0;59520943;32216;0;SPECTRE
258569828258;126;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000047d5;2;0;0;1454;0;2100;139;0;SPECTRE
258569828393;244;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000047d5;2;0;0;4918;0;7363;221;0;SPECTRE
258569828645;37;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000047d5;2;0;0;650;0;933;35;0;SPECTRE
