TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
265209541425;1142722;"MAF";"INTERVAL";"PROBE";1;63;0x00004888;0;80;28;46413809;59198449;8029;46415304;0;SPECTRE
265209541798;102;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00004888;0;1;3;1456;2112;371;1460;0;SPECTRE
265209541910;229;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00004888;0;1;1;3897;5988;634;3901;0;SPECTRE
265209542146;69;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00004888;0;2;2;1451;2636;156;1462;0;SPECTRE
265209542224;312;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00004888;0;0;0;9812;13599;360;9816;0;SPECTRE
265209542546;40;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00004888;0;0;0;585;924;120;589;0;SPECTRE
265209542593;53461;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;34;6;2168894;2758178;3402;2168970;0;SPECTRE
265209596061;53355;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;8;4;2172402;2768021;337;2172498;0;SPECTRE
265209649424;53506;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;8;2;2174325;2769493;518;2174429;0;SPECTRE
265209702937;53182;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;3;1;2167435;2752623;97;2167490;0;SPECTRE
265209756126;53335;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;2;1;2172321;2760380;121;2172413;0;SPECTRE
265209809468;53474;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;5;3;2175035;2773737;267;2175138;0;SPECTRE
265209862950;53193;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;1;0;2167458;2752952;86;2167512;0;SPECTRE
265209916151;53453;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;6;1;2174211;2770560;191;2174314;0;SPECTRE
265209969612;53381;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;0;0;2173804;2766583;66;2173904;0;SPECTRE
265210023001;53119;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;0;0;2166281;2747605;4;2166344;0;SPECTRE
265210076127;53306;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;0;0;2172430;2763118;16;2172526;0;SPECTRE
265210129441;53262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;0;0;2171153;2760174;8;2171242;0;SPECTRE
265210182711;53107;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;0;0;2166246;2746938;12;2166291;0;SPECTRE
265210235826;53258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;0;0;2171120;2762597;4;2171209;0;SPECTRE
265210289091;53263;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;0;0;2171147;2758369;27;2171236;0;SPECTRE
265210342363;53182;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;0;0;2167322;2753721;51;2167371;0;SPECTRE
265210395553;53356;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;0;0;2172615;2762180;66;2172704;0;SPECTRE
265210448916;53475;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;1;1;2175647;2773597;249;2175761;0;SPECTRE
265210502399;53114;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;1;0;2166086;2750720;13;2166131;0;SPECTRE
265210555521;53305;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;0;0;0;2172442;2762480;16;2172538;0;SPECTRE
265210608835;75304;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00004888;0;1;0;2958446;3924737;556;2958538;0;SPECTRE
265211141322;1144121;"MAF";"INTERVAL";"PROBE";1;63;0x00004888;1;130;77;46494973;59291949;8346;46496490;0;SPECTRE
265211141346;118;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00004888;1;0;8;1452;2063;507;1456;0;SPECTRE
265211141473;205;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00004888;1;3;3;3896;5917;528;3900;0;SPECTRE
265211141685;35;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00004888;1;0;3;651;922;124;655;0;SPECTRE
265211141729;312;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00004888;1;1;0;9809;13205;348;9813;0;SPECTRE
265211142051;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00004888;1;0;0;584;916;124;588;0;SPECTRE
265211142098;53248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004888;1;19;7;2167030;2753692;1740;2167071;0;SPECTRE
