TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
240630824750;1142021;"MAF";"INTERVAL";"PROBE";1;63;0x000045f6;0;46412269;11162;26638;86656;1399;1332;0;SPECTRE
240630825118;104;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000045f6;0;1453;49;58;263;74;12;0;SPECTRE
240630825230;228;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000045f6;0;3895;39;39;286;137;18;0;SPECTRE
240630825466;66;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000045f6;0;1447;38;41;314;26;12;0;SPECTRE
240630825540;320;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000045f6;0;9809;41;51;238;77;15;0;SPECTRE
240630825869;37;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000045f6;0;582;15;15;77;20;7;0;SPECTRE
240630825913;53931;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000045f6;0;2185861;947;1899;6582;684;191;0;SPECTRE
240630879853;53236;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000045f6;0;2167516;397;1224;3621;46;57;0;SPECTRE
240630933096;53412;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000045f6;0;2173996;733;1508;5257;19;72;0;SPECTRE
240630986515;53362;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000045f6;0;2172753;660;1484;4970;44;47;0;SPECTRE
240631039884;53162;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000045f6;0;2167505;407;1189;3517;2;36;0;SPECTRE
240631093053;53290;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000045f6;0;2171567;602;1370;4368;11;28;0;SPECTRE
240631146350;53352;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000045f6;0;2173752;683;1463;4966;6;51;0;SPECTRE
240631199712;53102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000045f6;0;2166072;332;1065;3015;4;41;0;SPECTRE
240631252822;53265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000045f6;0;2171420;517;1298;4183;6;43;0;SPECTRE
240631306094;53260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000045f6;0;2171372;544;1290;4077;4;51;0;SPECTRE
240631359361;53108;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000045f6;0;2166240;325;1031;2944;2;41;0;SPECTRE
