TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
704339642950;1143806;"MAF";"INTERVAL";"PROBE";1;63;0x00004e51;0;118;30;46432088;59253647;11905;46433807;0;SPECTRE
704339643384;108;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00004e51;0;0;2;1453;2121;472;1457;0;SPECTRE
704339643500;229;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00004e51;0;1;3;3903;6088;650;3907;0;SPECTRE
704339643736;64;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00004e51;0;2;4;1449;2683;176;1460;0;SPECTRE
704339643809;315;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00004e51;0;0;0;9802;13419;414;9806;0;SPECTRE
704339644133;38;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00004e51;0;0;0;585;907;124;589;0;SPECTRE
704339644178;54100;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;45;7;2177458;2797206;5191;2177556;0;SPECTRE
704339698300;53384;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;6;1;2172454;2765372;1160;2172546;0;SPECTRE
704339751693;53198;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;2;1;2167338;2756534;215;2167392;0;SPECTRE
704339804898;53798;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;11;1;2186686;2790538;631;2187032;0;SPECTRE
704339858704;53419;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;5;1;2173849;2764694;138;2173951;0;SPECTRE
704339912130;53218;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;2;3;2167513;2753564;184;2167572;0;SPECTRE
704339965355;53429;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;3;0;2173651;2770043;136;2173749;0;SPECTRE
704340018791;53583;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;10;2;2176289;2773689;469;2176399;0;SPECTRE
704340072382;53206;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;0;0;2167530;2752678;101;2167581;0;SPECTRE
704340125595;53336;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;2;0;2172296;2761862;104;2172388;0;SPECTRE
704340178938;53457;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;8;1;2174977;2768685;229;2175077;0;SPECTRE
704340232404;53119;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;1;0;2166094;2751279;17;2166142;0;SPECTRE
704340285531;53280;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;0;0;2171261;2762894;55;2171347;0;SPECTRE
704340338818;53268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;0;0;2171223;2763848;43;2171309;0;SPECTRE
704340392093;53108;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;0;0;2166064;2750648;29;2166112;0;SPECTRE
704340445208;53269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;0;0;2171154;2760726;49;2171246;0;SPECTRE
704340498484;53262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;0;0;2171201;2759641;58;2171293;0;SPECTRE
704340551754;53116;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;0;0;2166107;2750124;17;2166152;0;SPECTRE
704340604877;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;0;0;2171193;2760861;51;2171285;0;SPECTRE
704340658150;53275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004e51;0;0;0;2171253;2763798;78;2171339;0;SPECTRE
704340711434;75313;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00004e51;0;3;2;2959489;3915453;608;2959576;0;SPECTRE
704341242729;1143527;"MAF";"INTERVAL";"PROBE";1;63;0x00004e51;1;14;13;46492115;59266848;3549;46493618;0;SPECTRE
