TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
721057525386;1142796;"MAF";"INTERVAL";"PROBE";1;63;0x000052df;0;92193997;32228330;13446909;8915251;614811;16174;0;SPECTRE
721057525764;102;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000052df;0;2490;640;578;415;38;6;0;SPECTRE
721057525875;225;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000052df;0;8062;2373;1318;1012;104;4;0;SPECTRE
721057526108;63;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000052df;0;3027;704;480;528;68;0;0;SPECTRE
721057526181;311;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000052df;0;21137;7613;2057;1632;145;16;0;SPECTRE
721057526500;33;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000052df;0;1096;256;226;192;13;0;0;SPECTRE
721057526540;53671;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4312709;1509358;629800;417190;30407;974;0;SPECTRE
721057580220;53527;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4314791;1509867;630089;417655;29785;872;0;SPECTRE
721057633755;53188;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4297881;1506005;627878;414449;28348;794;0;SPECTRE
721057686950;53409;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4312282;1509301;629782;417094;28691;857;0;SPECTRE
721057740366;53450;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4314161;1509729;629981;417589;28719;847;0;SPECTRE
721057793824;53204;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4298151;1506066;627915;414506;28347;828;0;SPECTRE
721057847035;53459;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4312457;1509339;629762;417186;29426;841;0;SPECTRE
721057900501;53580;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4318179;1510668;630577;418288;29685;893;0;SPECTRE
721057954090;53124;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4295048;1505361;627499;413860;28363;806;0;SPECTRE
721058007220;53287;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4306453;1508018;628990;415942;28626;767;0;SPECTRE
721058060514;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4306769;1508101;629014;416029;28496;788;0;SPECTRE
721058113787;53121;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4294870;1505348;627487;413815;28264;743;0;SPECTRE
721058166915;53281;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4306905;1508105;629024;416048;28529;748;0;SPECTRE
721058220204;53278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4306982;1508171;629027;416117;28455;739;0;SPECTRE
721058273490;53129;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4295141;1505389;627501;413878;28281;750;0;SPECTRE
721058326626;53272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4306675;1508072;629012;415996;28394;779;0;SPECTRE
721058379905;53331;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4309515;1508799;629354;416477;28576;827;0;SPECTRE
721058433244;53121;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4295053;1505378;627498;413860;28242;729;0;SPECTRE
721058486373;53271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4306843;1508123;629018;416067;28404;797;0;SPECTRE
721058539651;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;0;4306472;1508069;629001;415994;28380;722;0;SPECTRE
721058592926;75248;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000052df;0;5999701;2050444;857213;586090;39518;47;0;SPECTRE
721059125363;1144674;"MAF";"INTERVAL";"PROBE";1;63;0x000052df;1;92362984;32291475;13471532;8927019;611226;16036;0;SPECTRE
721059125395;122;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000052df;1;2490;640;578;414;40;6;0;SPECTRE
721059125528;221;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000052df;1;8061;2375;1318;1013;91;0;0;SPECTRE
721059125757;36;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000052df;1;1170;271;246;181;9;8;0;SPECTRE
721059125802;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000052df;1;21142;7612;2054;1632;142;22;0;SPECTRE
721059126124;37;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000052df;1;1097;256;226;192;17;0;0;SPECTRE
721059126169;53439;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;1;4310051;1508659;629312;416607;29023;930;0;SPECTRE
721059179615;53278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;1;4306482;1508038;629003;415936;28574;741;0;SPECTRE
721059232901;53133;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;1;4294974;1505356;627493;413823;28362;759;0;SPECTRE
721059286041;53277;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;1;4306714;1508092;629012;416034;28423;837;0;SPECTRE
721059339325;53274;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;1;4306542;1508074;628996;416008;28408;767;0;SPECTRE
721059392606;53116;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;1;4295016;1505361;627499;413818;28319;817;0;SPECTRE
721059445730;53283;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;1;4306416;1508044;629003;415952;28463;761;0;SPECTRE
721059499021;53279;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;1;4306917;1508150;629021;416123;28505;777;0;SPECTRE
721059552308;53448;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000052df;1;4307921;1508315;629166;416587;28677;817;0;SPECTRE
