TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
711093204349;1143104;"MAF";"INTERVAL";"PROBE";1;63;0x00005048;0;46408878;11859;27699;89591;2075;1545;0;SPECTRE
711093204732;97;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00005048;0;1453;43;49;234;94;26;0;SPECTRE
711093204838;233;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00005048;0;3898;34;34;281;152;37;0;SPECTRE
711093205077;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00005048;0;1448;41;41;311;29;7;0;SPECTRE
711093205154;318;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00005048;0;9811;40;56;230;92;13;0;SPECTRE
711093205481;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00005048;0;582;10;10;71;28;10;0;SPECTRE
711093205529;53695;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2173875;816;1740;5928;851;179;0;SPECTRE
711093259234;53500;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2174102;728;1515;5291;179;88;0;SPECTRE
711093312745;53196;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2167422;474;1257;3638;30;62;0;SPECTRE
711093365948;53353;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2172330;599;1373;4541;34;43;0;SPECTRE
711093419308;53350;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2172405;581;1381;4526;38;56;0;SPECTRE
711093472666;53198;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2167302;386;1157;3436;16;42;0;SPECTRE
711093525871;53413;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2173660;734;1558;5163;33;58;0;SPECTRE
711093579292;53341;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2172245;605;1425;4601;48;62;0;SPECTRE
711093632641;53194;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2167496;462;1231;3569;15;65;0;SPECTRE
711093685842;53281;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2171253;561;1311;4186;20;51;0;SPECTRE
711093739130;53392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2173114;697;1484;4717;66;77;0;SPECTRE
711093792529;53107;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2165981;301;1057;2949;5;62;0;SPECTRE
711093845643;53315;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2172017;648;1420;4536;18;61;0;SPECTRE
711093898966;53272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2171268;543;1347;4200;9;61;0;SPECTRE
711093952245;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2166086;317;1067;2951;10;30;0;SPECTRE
711094005363;53267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2171260;513;1363;4181;15;57;0;SPECTRE
711094058637;53272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2171242;511;1265;4039;14;70;0;SPECTRE
711094111917;53290;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005048;0;2167526;460;1210;3473;34;69;0;SPECTRE
