TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
740321932735;1142685;"MAF";"INTERVAL";"PROBE";1;63;0x000054e5;0;86;18;46417582;59141629;7660;46419233;0;SPECTRE
740321933110;109;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;2;1456;2069;396;1460;0;SPECTRE
740321933228;230;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;0;3900;6075;609;3904;0;SPECTRE
740321933464;68;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000054e5;0;5;0;1452;2708;124;1463;0;SPECTRE
740321933541;315;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;0;9810;13358;372;9814;0;SPECTRE
740321933865;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;0;585;937;116;589;0;SPECTRE
740321933911;53551;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;28;5;2173836;2769498;2614;2173933;0;SPECTRE
740321987469;53203;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;7;3;2167526;2753321;245;2167580;0;SPECTRE
740322040679;53941;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;18;3;2188211;2789794;864;2188586;0;SPECTRE
740322094627;53439;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;1;1;2174024;2769916;74;2174125;0;SPECTRE
740322148073;53123;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;0;2166033;2751274;37;2166080;0;SPECTRE
740322201203;53459;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;4;0;2174284;2763036;325;2174395;0;SPECTRE
740322254669;53297;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;2;0;2171540;2754103;61;2171629;0;SPECTRE
740322307973;53182;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;0;2167409;2755290;57;2167461;0;SPECTRE
740322361163;53282;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;0;2171265;2762031;79;2171351;0;SPECTRE
740322414453;53260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;0;2171183;2759754;31;2171266;0;SPECTRE
740322467721;53110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;0;2165992;2750607;38;2166033;0;SPECTRE
740322520838;53267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;0;2171084;2747616;45;2171166;0;SPECTRE
740322574112;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;0;2171094;2758264;49;2171179;0;SPECTRE
740322627385;53236;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;6;0;2167979;2754539;284;2168034;0;SPECTRE
740322680629;53279;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;0;2171234;2749526;59;2171317;0;SPECTRE
740322733915;53267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;0;2171213;2760247;36;2171299;0;SPECTRE
740322787191;53122;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;0;2166189;2753187;29;2166237;0;SPECTRE
740322840320;53277;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;0;2171235;2759561;52;2171315;0;SPECTRE
740322893604;53277;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;0;2171285;2759964;50;2171371;0;SPECTRE
740322946889;53115;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;0;0;0;2166162;2742577;41;2166204;0;SPECTRE
740323000014;75397;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000054e5;0;7;1;2961801;3917862;672;2961914;0;SPECTRE
740323532675;1144173;"MAF";"INTERVAL";"PROBE";1;63;0x000054e5;1;30;20;46493847;59236357;11680;46495306;0;SPECTRE
740323532700;118;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000054e5;1;0;3;1451;2078;468;1455;0;SPECTRE
740323532826;206;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000054e5;1;2;2;3898;6055;517;3902;0;SPECTRE
740323533040;34;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000054e5;1;0;1;651;930;96;655;0;SPECTRE
740323533083;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000054e5;1;0;0;9807;13166;368;9811;0;SPECTRE
740323533402;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000054e5;1;0;0;585;925;112;589;0;SPECTRE
740323533449;53370;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;1;15;5;2171984;2766915;1043;2172061;0;SPECTRE
740323586828;53163;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;1;6;1;2166180;2749668;575;2166221;0;SPECTRE
740323640000;53277;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;1;1;0;2171240;2759152;58;2171315;0;SPECTRE
740323693285;53287;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;1;0;0;2171543;2748427;75;2171629;0;SPECTRE
740323746579;53128;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;1;0;0;2166137;2742345;51;2166177;0;SPECTRE
740323799715;53272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;1;0;0;2171117;2764339;53;2171194;0;SPECTRE
740323852994;53272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;1;0;0;2171251;2761894;69;2171337;0;SPECTRE
740323906273;53116;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;1;0;0;2166070;2747375;40;2166111;0;SPECTRE
740323959396;53276;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;1;0;0;2171214;2763672;79;2171299;0;SPECTRE
740324012680;53277;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;1;0;0;2171250;2765120;52;2171338;0;SPECTRE
740324065964;53125;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;1;0;0;2166093;2749870;34;2166140;0;SPECTRE
740324119096;53276;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;1;0;0;2171159;2761352;69;2171247;0;SPECTRE
740324172379;53269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;1;0;0;2171233;2752634;51;2171319;0;SPECTRE
740324225655;53175;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;1;0;0;2166196;2752038;823;2166238;0;SPECTRE
740324278838;53510;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;1;0;2;2173281;2766013;1878;2173371;0;SPECTRE
740324332360;53418;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000054e5;1;1;0;2172631;2763943;1221;2172715;0;SPECTRE
