TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
171376721301;1142940;"MAF";"INTERVAL";"PROBE";1;63;0x00003cae;0;92227814;32236764;13453134;8920249;612377;16652;0;NOSTRESS
171376721651;103;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003cae;0;2492;640;578;414;39;12;0;NOSTRESS
171376721763;229;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003cae;0;8059;2371;1319;1012;100;4;0;NOSTRESS
171376721998;66;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003cae;0;3025;702;481;525;82;0;0;NOSTRESS
171376722071;311;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003cae;0;21135;7612;2056;1632;140;15;0;NOSTRESS
171376722390;36;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003cae;0;1096;256;226;192;10;0;0;NOSTRESS
171376722434;53998;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003cae;0;4344086;1516404;634092;423832;29452;1003;0;NOSTRESS
171376776439;53214;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003cae;0;4298483;1506166;628002;414473;28476;908;0;NOSTRESS
171376829660;53585;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003cae;0;4318225;1510688;630637;418123;28929;883;0;NOSTRESS
171376883252;53302;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003cae;0;4307689;1508349;629257;416042;28651;856;0;NOSTRESS
171376936563;53275;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003cae;0;4298879;1506219;628065;414538;29979;816;0;NOSTRESS
171376989846;53438;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003cae;0;4313775;1509753;630006;417185;28807;857;0;NOSTRESS
171377043291;53373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003cae;0;4311290;1509121;629719;416783;28596;822;0;NOSTRESS
171377096671;53173;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003cae;0;4298682;1506204;628039;414522;28360;823;0;NOSTRESS
171377149851;53306;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003cae;0;4306733;1508114;629065;415956;28488;859;0;NOSTRESS
171377203164;53332;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003cae;0;4310959;1509085;629687;416737;28583;790;0;NOSTRESS
171377256503;53127;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003cae;0;4295426;1505489;627621;413844;28331;772;0;NOSTRESS
