TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
186654437307;1144116;"MAF";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;46433371;0;59448405;36365;0;NOSTRESS
186654437676;106;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;1455;0;2042;144;0;NOSTRESS
186654437790;231;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;3899;0;6116;220;0;NOSTRESS
186654438028;68;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;1449;0;2786;200;0;NOSTRESS
186654438105;305;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;9810;0;13304;146;0;NOSTRESS
186654438419;36;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;585;0;925;63;0;NOSTRESS
186654438463;53864;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2182147;0;2789870;1716;0;NOSTRESS
186654492335;53469;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2174547;0;2769086;2341;0;NOSTRESS
186654545811;53500;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2174934;0;2772927;2340;0;NOSTRESS
186654599319;53427;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2173023;0;2765947;1952;0;NOSTRESS
186654652753;53571;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2176202;0;2771955;2489;0;NOSTRESS
186654706333;53405;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2174537;0;2773425;2194;0;NOSTRESS
186654759745;53230;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2166425;0;2778569;960;0;NOSTRESS
186654812982;53445;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2173381;0;2791763;1873;0;NOSTRESS
186654866435;53390;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2171799;0;2787150;1698;0;NOSTRESS
186654919849;53230;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2166392;0;2763662;939;0;NOSTRESS
186654973086;53375;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2171813;0;2779016;1619;0;NOSTRESS
186655026468;53393;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2171865;0;2790281;1625;0;NOSTRESS
186655079868;53155;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2166315;0;2749292;929;0;NOSTRESS
186655133031;53250;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2171756;0;2760020;1555;0;NOSTRESS
186655186288;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2171865;0;2761267;1566;0;NOSTRESS
186655239561;53112;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2166419;0;2750598;901;0;NOSTRESS
186655292680;53300;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2171266;0;2761027;1545;0;NOSTRESS
186655345987;53326;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2172698;0;2769423;1802;0;NOSTRESS
186655399321;53232;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2166196;0;2776541;879;0;NOSTRESS
186655452560;53470;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e18;0;0;0;2173698;0;2790295;1849;0;NOSTRESS
