TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
187982978020;1142651;"MAF";"INTERVAL";"PROBE";1;63;0x00003e37;0;48;12;46400162;59198404;8484;46401503;0;NOSTRESS
187982978540;102;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003e37;0;0;2;1456;2089;383;1460;0;NOSTRESS
187982978650;233;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003e37;0;1;0;3896;5984;590;3900;0;NOSTRESS
187982978891;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003e37;0;3;2;1450;2654;117;1461;0;NOSTRESS
187982978964;318;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003e37;0;0;0;9807;13529;348;9811;0;NOSTRESS
187982979291;35;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003e37;0;0;0;585;931;108;589;0;NOSTRESS
187982979334;53459;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e37;0;17;2;2167765;2756084;3321;2167812;0;NOSTRESS
187983032803;53494;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e37;0;6;0;2172281;2789544;526;2172366;0;NOSTRESS
187983086306;53550;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e37;0;0;0;2173470;2792590;328;2173568;0;NOSTRESS
187983139863;53238;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e37;0;0;0;2167259;2765576;105;2167311;0;NOSTRESS
187983193108;53366;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e37;0;0;0;2171571;2763367;210;2171657;0;NOSTRESS
187983246482;53405;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e37;0;7;0;2171349;2765176;470;2171436;0;NOSTRESS
187983299894;53184;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e37;0;2;1;2167398;2754605;83;2167447;0;NOSTRESS
187983353093;53264;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e37;0;0;0;2169250;2752808;149;2169332;0;NOSTRESS
187983406365;53432;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e37;0;0;0;2173970;2767637;287;2174068;0;NOSTRESS
187983459804;53134;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e37;0;0;0;2166596;2752814;66;2166640;0;NOSTRESS
187983512944;53352;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e37;0;0;0;2172702;2763807;138;2172796;0;NOSTRESS
187983566311;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003e37;0;0;0;2171844;2761615;16;2171932;0;NOSTRESS
