TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
166726978617;1143512;"MAF";"INTERVAL";"PROBE";1;63;0x00003c3f;0;46420774;12295;27646;92579;1827;1383;0;NOSTRESS
166726979001;106;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;1453;45;47;250;88;10;0;NOSTRESS
166726979117;239;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;3896;25;24;284;158;33;0;NOSTRESS
166726979363;67;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003c3f;0;1450;47;50;322;30;14;0;NOSTRESS
166726979443;317;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003c3f;0;9807;38;53;238;94;13;0;NOSTRESS
166726979768;36;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003c3f;0;582;11;11;72;25;7;0;NOSTRESS
166726979811;53884;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2172606;642;1500;5230;871;241;0;NOSTRESS
166727033704;53404;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2168303;551;1306;3987;108;99;0;NOSTRESS
166727087115;53726;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2179417;850;1602;6245;88;78;0;NOSTRESS
166727140848;53327;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2172486;476;1271;4494;12;50;0;NOSTRESS
166727194183;53506;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2178179;743;1558;5924;7;69;0;NOSTRESS
166727247714;53547;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2179004;870;1739;6515;13;56;0;NOSTRESS
166727301268;53123;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2166182;346;1164;3292;2;44;0;NOSTRESS
166727354402;53444;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2174898;674;1391;5188;16;54;0;NOSTRESS
166727407853;53282;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2171230;608;1404;4364;9;37;0;NOSTRESS
166727461143;53119;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2166249;360;1107;3088;1;15;0;NOSTRESS
166727514269;53260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2171177;548;1205;3970;1;22;0;NOSTRESS
166727567536;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2171196;555;1318;4118;4;71;0;NOSTRESS
166727620810;53238;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2167961;487;1204;3498;66;70;0;NOSTRESS
166727674056;53375;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2171134;718;1474;4504;2;56;0;NOSTRESS
166727727439;53280;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2168167;444;1194;3584;2;33;0;NOSTRESS
166727780727;53109;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2166141;390;1083;2976;2;38;0;NOSTRESS
166727833843;53258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2171161;578;1304;4099;1;47;0;NOSTRESS
166727887108;53338;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2172574;677;1447;4727;32;59;0;NOSTRESS
166727940454;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2166179;334;1111;3070;2;19;0;NOSTRESS
166727993572;53262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2171242;579;1334;4149;5;25;0;NOSTRESS
166728046860;75260;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00003c3f;0;2958239;388;443;2464;127;32;0;NOSTRESS
166728578501;1143794;"MAF";"INTERVAL";"PROBE";1;63;0x00003c3f;1;46485331;10695;25894;81268;2069;1969;0;NOSTRESS
166728578521;107;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;1449;43;45;232;101;35;0;NOSTRESS
166728578636;202;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;3892;29;29;293;113;29;0;NOSTRESS
166728578846;36;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003c3f;1;648;21;32;117;27;6;0;NOSTRESS
166728578888;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003c3f;1;9805;33;49;224;73;24;0;NOSTRESS
166728579208;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003c3f;1;581;11;11;78;29;18;0;NOSTRESS
166728579255;53214;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2166980;364;1277;3703;39;157;0;NOSTRESS
166728632477;53281;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2171203;661;1415;4477;4;108;0;NOSTRESS
166728685780;53273;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2171189;724;1398;4387;5;64;0;NOSTRESS
166728739061;53110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2166098;315;1108;3082;1;42;0;NOSTRESS
166728792178;53264;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2171365;539;1349;4268;6;48;0;NOSTRESS
166728845457;53256;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2171152;540;1295;4079;6;83;0;NOSTRESS
166728898720;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2166133;333;1033;2932;1;85;0;NOSTRESS
166728951838;53261;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2171164;526;1269;4030;7;110;0;NOSTRESS
166729005106;53182;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2168206;468;1189;3581;4;71;0;NOSTRESS
166729058296;53141;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2166436;322;1051;2930;7;86;0;NOSTRESS
166729111444;53264;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2171357;508;1313;4152;2;72;0;NOSTRESS
166729164715;53261;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2171193;610;1326;4160;4;93;0;NOSTRESS
166729217983;53105;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2166084;296;1072;2989;1;34;0;NOSTRESS
166729271095;53326;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2173070;668;1447;4618;18;200;0;NOSTRESS
166729324433;53402;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2171202;553;1352;4265;355;209;0;NOSTRESS
166729377849;53198;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2166109;309;1036;2935;211;53;0;NOSTRESS
166729431061;53429;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2171225;584;1270;4036;321;53;0;NOSTRESS
166729484508;53417;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2172651;725;1482;4797;316;91;0;NOSTRESS
166729537945;53137;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2166287;308;1114;3086;114;60;0;NOSTRESS
166729591096;53274;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;2171151;581;1329;4156;101;70;0;NOSTRESS
166729644385;77901;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00003c3f;1;3062414;368;356;2270;104;22;0;NOSTRESS
166730178517;1147935;"MAF";"INTERVAL";"PROBE";1;63;0x00003c3f;2;46601714;11053;26739;83734;4097;1469;0;NOSTRESS
166730178538;136;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;1452;45;51;244;130;4;0;NOSTRESS
166730178682;237;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;4920;31;34;318;135;14;0;NOSTRESS
166730178928;32;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003c3f;2;647;19;27;104;24;2;0;NOSTRESS
166730178970;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003c3f;2;9805;27;40;197;81;8;0;NOSTRESS
166730179289;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003c3f;2;583;11;11;76;26;3;0;NOSTRESS
166730179334;53286;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2167001;372;1269;3728;441;78;0;NOSTRESS
166730232631;53246;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2168366;440;1333;3906;200;73;0;NOSTRESS
166730285887;53324;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2171247;608;1387;4258;137;83;0;NOSTRESS
166730339226;53153;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2166095;318;1031;2946;156;54;0;NOSTRESS
166730392392;53226;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2168209;393;1151;3510;119;37;0;NOSTRESS
166730445634;53396;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2171384;651;1429;4354;198;151;0;NOSTRESS
166730499047;53128;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2166273;306;1035;2928;28;53;0;NOSTRESS
166730552188;53573;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2172067;670;1419;4707;302;93;0;NOSTRESS
166730605790;53283;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2171150;592;1304;4119;40;13;0;NOSTRESS
166730659086;53143;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2166266;404;1095;3050;38;9;0;NOSTRESS
166730712248;53426;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2173575;775;1574;5055;80;36;0;NOSTRESS
166730765692;53309;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2171252;580;1355;4160;55;141;0;NOSTRESS
166730819014;53143;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2166428;347;1116;3156;19;48;0;NOSTRESS
166730872165;53279;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2171605;502;1332;4198;36;105;0;NOSTRESS
166730925458;53546;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2173786;786;1573;5063;420;99;0;NOSTRESS
166730979015;53249;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2166411;337;1138;3176;271;55;0;NOSTRESS
166731032282;53402;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2171870;595;1375;4316;310;40;0;NOSTRESS
166731085702;53349;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2171244;502;1268;4042;229;34;0;NOSTRESS
166731139065;53269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2167799;504;1287;3724;200;72;0;NOSTRESS
166731192346;53328;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;2171880;589;1424;4473;121;87;0;NOSTRESS
166731245688;80755;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00003c3f;2;3174108;401;439;2532;119;26;0;NOSTRESS
166731778575;1154222;"MAF";"INTERVAL";"PROBE";1;63;0x00003c3f;3;46762220;12691;28632;94785;5078;1724;0;NOSTRESS
166731778599;133;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;1448;43;45;240;132;8;0;NOSTRESS
166731778739;237;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;4920;29;32;305;131;4;0;NOSTRESS
166731778984;35;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003c3f;3;647;16;24;96;31;0;0;NOSTRESS
166731779028;312;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003c3f;3;9804;25;34;185;78;1;0;NOSTRESS
166731779350;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003c3f;3;582;13;12;78;32;2;0;NOSTRESS
166731779398;53579;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2169144;501;1341;4136;527;93;0;NOSTRESS
166731832987;53457;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2171431;635;1448;4509;211;67;0;NOSTRESS
166731886456;53499;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2171447;706;1389;4282;193;77;0;NOSTRESS
166731939969;53261;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2163321;337;1016;2487;133;33;0;NOSTRESS
166731993243;53670;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2175164;723;1440;4815;226;77;0;NOSTRESS
166732046929;53677;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2173981;738;1488;4936;247;116;0;NOSTRESS
166732100620;53369;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2167702;530;1327;3768;169;53;0;NOSTRESS
166732154002;53836;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2177980;783;1602;6103;415;221;0;NOSTRESS
166732207857;53782;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2179434;914;1706;6420;257;141;0;NOSTRESS
166732261655;53181;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2166482;347;1136;3245;78;57;0;NOSTRESS
166732314852;53679;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2179622;760;1604;6188;137;50;0;NOSTRESS
166732368545;53621;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2178714;766;1659;6199;90;90;0;NOSTRESS
166732422181;53157;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2166674;424;1266;3478;17;42;0;NOSTRESS
166732475351;53309;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2171810;549;1282;4158;51;126;0;NOSTRESS
166732528670;53462;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2172149;565;1375;4370;385;106;0;NOSTRESS
166732582145;53260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2166639;333;1149;3183;294;47;0;NOSTRESS
166732635420;53602;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2173993;696;1545;4890;439;50;0;NOSTRESS
166732689036;53424;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2171857;557;1323;4249;290;63;0;NOSTRESS
166732742476;53179;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2166609;357;1180;3240;101;36;0;NOSTRESS
166732795672;53314;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;2172036;559;1375;4355;92;67;0;NOSTRESS
166732848997;83788;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00003c3f;3;3292334;510;563;3417;123;35;0;NOSTRESS
166733378564;1154685;"MAF";"INTERVAL";"PROBE";1;63;0x00003c3f;4;46851208;10931;26454;84481;4453;1309;0;NOSTRESS
166733378587;133;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003c3f;4;1452;40;43;232;129;14;0;NOSTRESS
166733378729;242;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003c3f;4;4911;30;33;314;136;14;0;NOSTRESS
166733378978;31;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003c3f;4;647;17;22;82;22;3;0;NOSTRESS
166733379019;312;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003c3f;4;9800;25;35;183;80;5;0;NOSTRESS
166733379340;43;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003c3f;4;583;11;11;84;32;3;0;NOSTRESS
166733379390;53379;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;4;2167801;423;1320;3975;537;86;0;NOSTRESS
166733432781;53500;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;4;2172949;675;1445;4754;350;100;0;NOSTRESS
166733486292;53347;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;4;2171280;507;1267;4121;226;100;0;NOSTRESS
166733539655;53164;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;4;2166068;283;1041;2951;181;39;0;NOSTRESS
166733592838;53264;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;4;2168497;482;1245;3671;117;26;0;NOSTRESS
166733646116;53348;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;4;2171090;566;1325;4131;49;28;0;NOSTRESS
166733699481;53133;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;4;2166062;309;1019;2890;39;10;0;NOSTRESS
166733752624;53281;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;4;2171336;499;1182;3873;41;11;0;NOSTRESS
166733805918;53315;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;4;2171047;537;1251;4022;43;27;0;NOSTRESS
166733859246;53134;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003c3f;4;2166056;320;1089;3018;34;8;0;NOSTRESS
