TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
878138104142;2295909;"MAF";"INTERVAL";"PROBE";1;63;0x00005f8d;0;136745180;45267588;18970907;15419864;1365883;18883;0;SPECTRE
878138104516;103;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;2490;640;578;414;36;6;0;SPECTRE
878138104632;228;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;8058;2374;1320;1012;100;0;0;SPECTRE
878138104868;68;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00005f8d;0;3039;706;480;529;72;3;0;SPECTRE
878138104945;315;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00005f8d;0;21136;7612;2057;1631;144;16;0;SPECTRE
878138105269;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00005f8d;0;1096;256;226;191;18;0;0;SPECTRE
878138105315;117606;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;6795713;2236311;939110;780029;69900;1074;0;SPECTRE
878138222929;117508;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;6792837;2233835;937726;779385;69909;987;0;SPECTRE
878138340444;85204;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;5538934;1869442;781861;595843;48727;844;0;SPECTRE
878138425655;117353;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;6797839;2237039;939121;780350;69317;1032;0;SPECTRE
878138543015;117312;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;6793535;2235146;937257;779078;69884;860;0;SPECTRE
878138660334;85115;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;5528584;1866425;780428;593824;48577;886;0;SPECTRE
878138745456;117567;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;6806909;2239311;939765;781364;69707;953;0;SPECTRE
878138863036;117297;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;6782482;2232912;935636;777213;69561;846;0;SPECTRE
878138980340;85152;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;5536229;1869048;781616;595051;48617;870;0;SPECTRE
878139065499;117373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;6802979;2238548;938313;780369;69943;909;0;SPECTRE
878139182880;117419;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;6770510;2228035;934528;776210;69490;1051;0;SPECTRE
878139300307;85147;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;5525558;1865561;779898;593393;48785;898;0;SPECTRE
878139385462;117436;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;6784015;2233046;935845;778403;69427;1094;0;SPECTRE
878139502906;117279;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;6771245;2229338;934261;775866;69297;941;0;SPECTRE
878139620192;85317;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;5538505;1868616;781591;595704;50415;967;0;SPECTRE
878139705519;117402;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;6785018;2234356;936712;777965;71724;900;0;SPECTRE
878139822929;117395;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f8d;0;6771590;2229516;934196;775603;71939;919;0;SPECTRE
