TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
890243671900;2271136;"MAF";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;15277676;0;0;57502;0;SPECTRE
890243672250;103;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;414;0;0;151;0;SPECTRE
890243672360;232;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;1013;0;0;214;0;SPECTRE
890243672600;68;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;525;0;0;208;0;SPECTRE
890243672676;315;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;1631;0;0;141;0;SPECTRE
890243673000;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;191;0;0;56;0;SPECTRE
890243673046;117543;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;777256;0;0;3902;0;SPECTRE
890243790597;117630;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;779399;0;0;3960;0;SPECTRE
890243908237;85214;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;596357;0;0;2139;0;SPECTRE
890243993460;117334;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;777435;0;0;3530;0;SPECTRE
890244110802;117290;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;777312;0;0;3213;0;SPECTRE
890244228100;53166;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;412536;0;0;496;0;SPECTRE
890244281275;149505;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;959678;0;0;3680;0;SPECTRE
890244430788;117377;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;779991;0;0;2916;0;SPECTRE
890244548173;85220;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;594512;0;0;1537;0;SPECTRE
890244633401;117380;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;776693;0;0;2931;0;SPECTRE
890244750789;117431;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;777695;0;0;3200;0;SPECTRE
890244868230;85242;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;595041;0;0;1596;0;SPECTRE
890244953480;117378;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;777840;0;0;2869;0;SPECTRE
890245070866;117371;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;778619;0;0;2912;0;SPECTRE
890245188245;92789;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;638758;0;0;2995;0;SPECTRE
890245281042;85223;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;595193;0;0;1587;0;SPECTRE
890245366273;117385;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;777178;0;0;2916;0;SPECTRE
890245483666;117300;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;774974;0;0;2093;0;SPECTRE
890245600974;85227;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;594560;0;0;1537;0;SPECTRE
890245686208;117336;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;777801;0;0;2504;0;SPECTRE
890245803570;139457;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000060ce;0;0;0;947746;0;0;2973;0;SPECTRE
890245948044;2298770;"MAF";"INTERVAL";"PROBE";1;63;0x000060ce;1;0;0;15421366;0;0;54018;0;SPECTRE
890245948061;102;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000060ce;1;0;0;414;0;0;152;0;SPECTRE
890245948170;196;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000060ce;1;0;0;1012;0;0;215;0;SPECTRE
890245948374;32;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000060ce;1;0;0;181;0;0;33;0;SPECTRE
890245948415;301;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000060ce;1;0;0;1631;0;0;127;0;SPECTRE
890245948726;40;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000060ce;1;0;0;191;0;0;56;0;SPECTRE
890245948773;85346;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;1;0;0;594890;0;0;2223;0;SPECTRE
890246034128;149546;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;1;0;0;960570;0;0;3743;0;SPECTRE
890246183689;53229;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;1;0;0;412534;0;0;477;0;SPECTRE
890246236927;149390;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;1;0;0;955531;0;0;3341;0;SPECTRE
890246386328;85402;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000060ce;1;0;0;597101;0;0;1858;0;SPECTRE
