TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
895288472671;2296630;"MAF";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;64965877;0;94724975;61932;0;SPECTRE
895288473057;105;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;1456;0;2033;151;0;SPECTRE
895288473174;228;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;3901;0;6047;247;0;SPECTRE
895288473410;64;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;1451;0;2642;220;0;SPECTRE
895288473483;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;9810;0;13481;140;0;SPECTRE
895288473804;39;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;585;0;919;54;0;SPECTRE
895288473850;117841;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;3191942;0;4716846;3911;0;SPECTRE
895288591715;117644;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;3208948;0;4741975;3476;0;SPECTRE
895288709369;85311;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;2681993;0;3746073;1881;0;SPECTRE
895288794687;117486;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;3201874;0;4728139;3500;0;SPECTRE
895288912181;117483;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;3203168;0;4734249;4064;0;SPECTRE
895289029672;85116;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;2683706;0;3725153;1736;0;SPECTRE
895289114795;117399;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;3202412;0;4719946;3418;0;SPECTRE
895289232202;117392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;3207726;0;4740870;3057;0;SPECTRE
895289349601;85226;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;2681560;0;3755338;1641;0;SPECTRE
895289434835;117397;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;3204353;0;4733457;3012;0;SPECTRE
895289552240;117387;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;3203731;0;4736331;3066;0;SPECTRE
895289669635;85219;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;2685055;0;3752877;1608;0;SPECTRE
895289754862;117392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;3203733;0;4752304;3317;0;SPECTRE
895289872262;117385;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;3203690;0;4740663;3017;0;SPECTRE
895289989655;85349;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;2684460;0;3754079;2157;0;SPECTRE
895290075012;117372;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;3208348;0;4735712;2930;0;SPECTRE
895290192392;117399;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;3201066;0;4740978;3066;0;SPECTRE
895290309799;85228;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;2680892;0;3751615;1630;0;SPECTRE
895290395034;117391;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;3202033;0;4735442;2983;0;SPECTRE
895290512433;117384;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;3201108;0;4730688;3285;0;SPECTRE
895290629827;139462;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00006129;0;0;0;3987068;0;5892150;3119;0;SPECTRE
895290774715;2271649;"MAF";"INTERVAL";"PROBE";1;63;0x00006129;1;0;0;64598995;0;93668706;59074;0;SPECTRE
895290774732;103;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00006129;1;0;0;1452;0;2075;148;0;SPECTRE
895290774844;196;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00006129;1;0;0;3900;0;6069;234;0;SPECTRE
895290775047;29;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00006129;1;0;0;650;0;925;47;0;SPECTRE
895290775083;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00006129;1;0;0;9805;0;13358;139;0;SPECTRE
895290775405;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00006129;1;0;0;585;0;923;49;0;SPECTRE
