TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
910418744956;2294467;"MAF";"INTERVAL";"PROBE";1;63;0x00006236;0;340;113;65095291;94274936;1257983;65098571;0;SPECTRE
910418745315;107;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00006236;0;0;2;1456;2039;304;1460;0;SPECTRE
910418745430;234;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00006236;0;2;0;3901;5950;560;3905;0;SPECTRE
910418745671;68;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00006236;0;1;2;1453;2734;100;1464;0;SPECTRE
910418745748;314;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00006236;0;0;0;9809;13551;320;9813;0;SPECTRE
910418746070;36;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00006236;0;0;0;585;923;108;589;0;SPECTRE
910418746113;117524;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;66;15;3207464;4691830;71897;3207645;0;SPECTRE
910418863644;117430;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;18;9;3215019;4719235;70114;3215237;0;SPECTRE
910418981082;85147;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;10;3;2683591;3717583;34670;2683690;0;SPECTRE
910419066237;117307;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;20;5;3213554;4711285;70194;3213748;0;SPECTRE
910419183551;117328;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;7;3;3213319;4707520;69458;3213503;0;SPECTRE
910419300887;85126;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;8;4;2683735;3721276;35052;2683833;0;SPECTRE
910419386020;117292;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;25;4;3213546;4712739;69386;3213727;0;SPECTRE
910419503319;117311;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;11;4;3209184;4713750;69993;3209368;0;SPECTRE
910419620638;85118;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;6;4;2684761;3715343;34605;2684850;0;SPECTRE
910419705763;117274;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;9;2;3209273;4714243;69753;3209458;0;SPECTRE
910419823044;117297;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;10;4;3213137;4711530;69176;3213323;0;SPECTRE
910419940348;85121;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;8;1;2683897;3726329;34872;2684004;0;SPECTRE
910420025476;117292;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;6;5;3206239;4713862;69502;3206428;0;SPECTRE
910420142775;117284;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;5;4;3211015;4716015;69358;3211198;0;SPECTRE
910420260067;85280;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;13;3;2688473;3727621;35168;2688603;0;SPECTRE
910420345354;117371;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;15;4;3219207;4732463;69841;3219406;0;SPECTRE
910420462733;117386;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;16;5;3208463;4719882;69783;3208665;0;SPECTRE
910420580128;85214;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;10;3;2683468;3726171;34622;2683580;0;SPECTRE
910420665350;117358;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;19;8;3214106;4729696;69432;3214314;0;SPECTRE
910420782715;117357;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;0;21;11;3210252;4735238;69665;3210461;0;SPECTRE
910420900082;139329;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00006236;0;9;7;3986553;5851209;69737;3986739;0;SPECTRE
910421044622;2297562;"MAF";"INTERVAL";"PROBE";1;63;0x00006236;1;208;70;65105492;94547855;1275759;65108824;0;SPECTRE
910421044639;113;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00006236;1;1;1;1452;2100;440;1456;0;SPECTRE
910421044761;194;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00006236;1;0;0;3894;6054;492;3898;0;SPECTRE
910421044962;34;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00006236;1;0;1;651;921;100;655;0;SPECTRE
910421045007;308;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00006236;1;0;0;9812;13500;324;9816;0;SPECTRE
910421045324;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00006236;1;0;0;585;936;128;589;0;SPECTRE
910421045375;117507;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;37;6;3206480;4721031;73864;3206666;0;SPECTRE
910421162897;117513;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;8;5;3204132;4726968;71779;3204319;0;SPECTRE
910421280426;85188;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;6;2;2681518;3729527;35708;2681613;0;SPECTRE
910421365629;117326;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;6;5;3205374;4715684;70104;3205556;0;SPECTRE
910421482970;117360;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;17;6;3209618;4730455;70491;3209797;0;SPECTRE
910421600346;85166;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;10;1;2681975;3731157;35543;2682079;0;SPECTRE
910421685526;117352;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;8;2;3204017;4715982;70458;3204197;0;SPECTRE
910421802894;117321;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;7;3;3201559;4703925;70138;3201749;0;SPECTRE
910421920228;85291;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;5;2;2693994;3743286;35412;2694111;0;SPECTRE
910422005534;117446;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;9;3;3201736;4707457;71704;3201922;0;SPECTRE
910422122999;117350;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;7;3;3204449;4712990;70389;3204631;0;SPECTRE
910422240362;85184;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;5;5;2680862;3724602;34794;2680948;0;SPECTRE
910422325553;117336;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;8;1;3210533;4730547;69457;3210717;0;SPECTRE
910422442901;117338;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;9;5;3203274;4729718;69796;3203471;0;SPECTRE
910422560249;85216;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;4;1;2684476;3727790;35357;2684574;0;SPECTRE
910422645481;117441;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;6;3;3199878;4708791;71920;3200068;0;SPECTRE
910422762938;117357;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;6;4;3207682;4731688;70587;3207866;0;SPECTRE
910422880309;85169;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;3;3;2683305;3736909;35480;2683400;0;SPECTRE
910422965491;117341;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;8;3;3204400;4724812;70384;3204585;0;SPECTRE
910423082848;117345;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00006236;1;8;3;3202435;4721332;70072;3202621;0;SPECTRE
910423200211;141960;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00006236;1;9;1;4101160;6021974;70020;4101353;0;SPECTRE
910423347460;2300241;"MAF";"INTERVAL";"PROBE";1;63;0x00006236;2;197;76;65215677;94843000;1268950;65219026;0;SPECTRE
910423347483;107;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00006236;2;0;0;1454;2091;428;1458;0;SPECTRE
910423347601;222;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00006236;2;0;0;4910;7239;486;4914;0;SPECTRE
910423347832;35;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00006236;2;0;1;650;939;104;654;0;SPECTRE
