TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
873093464519;2270123;"MAF";"INTERVAL";"PROBE";1;63;0x00005f33;0;64668746;450413;468703;762968;246337;3741;0;SPECTRE
873093464909;103;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00005f33;0;1453;41;47;237;96;17;0;SPECTRE
873093465021;227;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00005f33;0;3895;35;35;276;149;39;0;SPECTRE
873093465255;69;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00005f33;0;1452;38;41;317;32;11;0;SPECTRE
873093465333;317;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00005f33;0;9806;29;50;246;88;10;0;SPECTRE
873093465659;37;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00005f33;0;583;12;12;73;27;8;0;SPECTRE
873093465703;117627;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f33;0;3211309;25697;26699;46066;15099;458;0;SPECTRE
873093583341;117487;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f33;0;3214785;25922;26997;46581;13912;198;0;SPECTRE
873093700838;85267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f33;0;2688217;13025;13951;24192;6936;106;0;SPECTRE
873093786113;117311;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f33;0;3211379;25509;26462;43470;13781;133;0;SPECTRE
873093903432;117315;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f33;0;3209393;25540;26408;42202;14022;167;0;SPECTRE
873094020755;85124;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f33;0;2682474;12833;13646;21936;6870;81;0;SPECTRE
873094105887;117286;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f33;0;3211071;25387;26307;41894;13883;161;0;SPECTRE
873094223180;117284;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00005f33;0;3205243;25508;26421;42003;13898;144;0;SPECTRE
