TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
1985297755;2261338;"MAF";"INTERVAL";"PROBE";1;63;0x000006b7;0;64310496;437818;454202;729197;241805;3703;0;SPECTRE
1985298122;125;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000006b7;0;1450;42;54;271;114;21;0;SPECTRE
1985298258;243;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000006b7;0;3891;30;30;288;155;23;0;SPECTRE
1985298507;68;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000006b7;0;1449;40;41;294;34;9;0;SPECTRE
1985298583;325;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000006b7;0;9803;31;43;205;86;16;0;SPECTRE
1985298916;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000006b7;0;583;14;17;87;36;5;0;SPECTRE
1985298968;85451;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;2679064;12763;13737;24107;7646;289;0;SPECTRE
1985384428;117409;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;3199027;25500;26403;44568;13761;201;0;SPECTRE
1985501850;117293;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;3202272;25057;25924;43783;13701;141;0;SPECTRE
1985619151;85087;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;2677226;12480;13301;21356;6818;118;0;SPECTRE
1985704245;117229;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;3199025;25022;25840;40800;13847;171;0;SPECTRE
1985821482;117241;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;3197305;25000;25842;41108;13755;129;0;SPECTRE
1985938731;53061;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;2163285;204;1053;2573;7;37;0;SPECTRE
1985991799;149254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;3707489;37148;37951;58341;20658;155;0;SPECTRE
1986141060;117150;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;3193295;24905;25627;39975;13728;89;0;SPECTRE
1986258217;85132;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;2679166;12590;13377;21622;6850;103;0;SPECTRE
1986343356;117234;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;3197312;25018;25826;40933;13746;124;0;SPECTRE
1986460597;117229;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;3195907;24841;25699;40496;13697;106;0;SPECTRE
1986577833;117085;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;3187601;24569;25305;38652;13676;206;0;SPECTRE
1986694925;85258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;2685087;13022;13851;23259;6842;125;0;SPECTRE
1986780191;117421;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;3201665;25127;25981;41804;13734;184;0;SPECTRE
1986897620;85098;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;2678357;12511;13321;21329;6837;119;0;SPECTRE
1986982725;149220;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;3693795;36859;37597;58512;20566;323;0;SPECTRE
1987131952;85254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;2685829;12752;13472;22996;6977;209;0;SPECTRE
1987217213;85127;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;2678879;12511;13342;21392;6867;110;0;SPECTRE
1987302347;117258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;0;3196932;25004;25785;40837;13731;127;0;SPECTRE
1987419630;139450;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000006b7;0;3974913;24467;24470;37720;13873;473;0;SPECTRE
1987564915;2306757;"MAF";"INTERVAL";"PROBE";1;63;0x000006b7;1;65372121;454333;473730;766335;255253;3054;0;SPECTRE
1987564939;129;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000006b7;1;1446;35;40;238;120;21;0;SPECTRE
1987565076;222;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000006b7;1;3887;18;21;266;131;17;0;SPECTRE
1987565306;36;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000006b7;1;648;14;26;90;38;5;0;SPECTRE
1987565348;315;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000006b7;1;9802;25;39;200;87;13;0;SPECTRE
1987565673;46;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000006b7;1;582;12;15;80;37;2;0;SPECTRE
1987565727;117632;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;1;3192135;25046;25932;41626;14788;182;0;SPECTRE
1987683381;117299;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000006b7;1;3189751;24697;25517;40453;13914;33;0;SPECTRE
