TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
10824458839;2305542;"MAF";"INTERVAL";"PROBE";1;63;0x000007e9;0;137350064;45445017;19032852;15509814;1386552;18934;0;SPECTRE
10824459185;109;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000007e9;0;2494;640;578;415;40;9;0;SPECTRE
10824459302;233;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000007e9;0;8052;2374;1317;1013;74;0;0;SPECTRE
10824459541;63;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000007e9;0;3021;703;480;526;53;3;0;SPECTRE
10824459611;321;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000007e9;0;21136;7612;2054;1632;124;15;0;SPECTRE
10824459939;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000007e9;0;1100;256;226;192;16;3;0;SPECTRE
10824459989;117971;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;6816398;2240119;940496;784535;71511;1103;0;SPECTRE
10824577969;117748;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;6825764;2243343;942262;785927;70688;1051;0;SPECTRE
10824695725;85316;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;5550328;1871151;783122;597798;49621;940;0;SPECTRE
10824781048;117827;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;6818961;2241291;940506;784779;71971;1002;0;SPECTRE
10824898883;117328;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;6796966;2236797;938233;779620;71433;1005;0;SPECTRE
10825016223;85162;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;5538315;1869507;781320;595229;50551;868;0;SPECTRE
10825101393;117311;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;6795298;2236956;937845;779285;70975;897;0;SPECTRE
10825218712;117314;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;6787539;2234268;935765;777869;71447;951;0;SPECTRE
10825336033;122085;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;6959426;2284700;958003;803416;72737;984;0;SPECTRE
10825458129;85105;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;5533835;1867658;780502;594424;49277;856;0;SPECTRE
10825543242;117342;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;6801290;2239447;937962;780294;71844;933;0;SPECTRE
10825660592;117309;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;6787897;2233553;935360;777903;71485;948;0;SPECTRE
10825777909;85197;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;5536268;1869344;780606;595012;51557;865;0;SPECTRE
10825863114;117320;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;6798584;2238010;937263;779672;71887;927;0;SPECTRE
10825980442;122583;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;6996870;2295581;960840;808766;75120;898;0;SPECTRE
10826103033;85099;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;5533071;1867708;780190;594478;49186;910;0;SPECTRE
10826188140;117242;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;6798099;2237806;936898;779604;70367;936;0;SPECTRE
10826305390;117304;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;6786694;2234501;934620;777786;71650;920;0;SPECTRE
10826422702;85091;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;5537420;1869474;780986;595390;49070;862;0;SPECTRE
10826507801;117309;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000007e9;0;6795454;2236433;936159;779206;71975;956;0;SPECTRE
10826625119;139253;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000007e9;0;8478634;2776750;1162433;947700;81317;92;0;SPECTRE
10826802087;2266149;"MAF";"INTERVAL";"PROBE";1;63;0x000007e9;1;135826125;45023508;18815391;15268630;1380499;18426;0;SPECTRE
10826802114;143;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000007e9;1;2487;640;578;414;28;6;0;SPECTRE
10826802265;233;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000007e9;1;8055;2374;1318;1013;81;0;0;SPECTRE
10826802505;34;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000007e9;1;1170;271;246;181;9;1;0;SPECTRE
10826802546;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000007e9;1;21135;7612;2055;1632;133;14;0;SPECTRE
