TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
23681802800;2299188;"MAF";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;15446364;0;0;56753;0;SPECTRE
23681803213;117;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;414;0;0;142;0;SPECTRE
23681803339;231;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;1012;0;0;210;0;SPECTRE
23681803576;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;525;0;0;225;0;SPECTRE
23681803648;316;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;1632;0;0;138;0;SPECTRE
23681803972;43;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;191;0;0;54;0;SPECTRE
23681804022;117810;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;780510;0;0;4295;0;SPECTRE
23681921840;117351;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;778608;0;0;3604;0;SPECTRE
23682039199;85143;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;596087;0;0;1869;0;SPECTRE
23682124365;117244;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;778933;0;0;2895;0;SPECTRE
23682241616;117259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;779435;0;0;2878;0;SPECTRE
23682358882;85227;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;594814;0;0;1845;0;SPECTRE
23682444116;117245;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;776453;0;0;2879;0;SPECTRE
23682561379;117238;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;776575;0;0;2840;0;SPECTRE
23682678624;85081;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;595069;0;0;1604;0;SPECTRE
23682763712;85182;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;595919;0;0;1906;0;SPECTRE
23682848903;149280;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;957114;0;0;3384;0;SPECTRE
23682998192;85099;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;593516;0;0;1546;0;SPECTRE
23683083299;117240;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;777976;0;0;2860;0;SPECTRE
23683200546;117373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;777939;0;0;3130;0;SPECTRE
23683317926;154709;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;988528;0;0;4044;0;SPECTRE
23683472647;53088;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;413831;0;0;915;0;SPECTRE
23683525742;85191;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;596311;0;0;2182;0;SPECTRE
23683610940;149315;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;959423;0;0;3435;0;SPECTRE
23683760262;85138;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;593825;0;0;1575;0;SPECTRE
23683845407;117332;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;778964;0;0;2934;0;SPECTRE
23683962747;139232;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000908;0;0;0;945419;0;0;2207;0;SPECTRE
23684107360;2301344;"MAF";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;15454649;0;0;54702;0;SPECTRE
23684107380;122;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;414;0;0;135;0;SPECTRE
23684107511;202;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;1012;0;0;205;0;SPECTRE
23684107719;34;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;180;0;0;36;0;SPECTRE
23684107760;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;1631;0;0;134;0;SPECTRE
23684108077;47;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;192;0;0;53;0;SPECTRE
23684108130;117456;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;776184;0;0;3437;0;SPECTRE
23684225604;117579;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;778710;0;0;2922;0;SPECTRE
23684343197;85147;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;594617;0;0;1543;0;SPECTRE
23684428351;117184;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;774929;0;0;2390;0;SPECTRE
23684545542;117239;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;777218;0;0;3031;0;SPECTRE
23684662799;85079;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;593924;0;0;1583;0;SPECTRE
23684747887;117340;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;779597;0;0;2911;0;SPECTRE
23684865236;117209;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;775709;0;0;2631;0;SPECTRE
23684982454;90533;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;626165;0;0;2311;0;SPECTRE
23685072999;117225;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;775678;0;0;1772;0;SPECTRE
23685190247;85204;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;596362;0;0;1847;0;SPECTRE
23685275461;117247;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;775872;0;0;2514;0;SPECTRE
23685392719;117082;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;775716;0;0;2110;0;SPECTRE
23685509809;117284;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;776477;0;0;3286;0;SPECTRE
23685627103;117319;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;778687;0;0;3213;0;SPECTRE
23685744433;85177;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;595669;0;0;1927;0;SPECTRE
23685829628;117404;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;776329;0;0;3086;0;SPECTRE
23685947054;117303;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;776807;0;0;2997;0;SPECTRE
23686064364;85093;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;594866;0;0;1654;0;SPECTRE
23686149464;117295;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;776323;0;0;3020;0;SPECTRE
23686266769;141925;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000908;1;0;0;970035;0;0;3114;0;SPECTRE
23686413899;2299926;"MAF";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;15457731;0;0;61824;0;SPECTRE
23686413921;119;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;414;0;0;142;0;SPECTRE
23686414049;234;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;1191;0;0;228;0;SPECTRE
23686414289;36;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;180;0;0;30;0;SPECTRE
23686414331;315;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;1632;0;0;126;0;SPECTRE
23686414654;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;191;0;0;52;0;SPECTRE
23686414705;117438;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;777161;0;0;3470;0;SPECTRE
23686532159;117434;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;778720;0;0;3962;0;SPECTRE
23686649600;85103;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;595826;0;0;1665;0;SPECTRE
23686734710;117325;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;776833;0;0;3034;0;SPECTRE
23686852046;117352;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;779189;0;0;3101;0;SPECTRE
23686969406;85110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;594516;0;0;1721;0;SPECTRE
23687054524;117257;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;776617;0;0;2990;0;SPECTRE
23687171789;117582;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;777211;0;0;3555;0;SPECTRE
23687289379;85171;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;594874;0;0;1692;0;SPECTRE
23687374563;117431;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;777083;0;0;3306;0;SPECTRE
23687492015;117394;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;776981;0;0;3056;0;SPECTRE
23687609422;85128;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;595040;0;0;1924;0;SPECTRE
23687694559;117269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;776970;0;0;3087;0;SPECTRE
23687811838;117352;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;776810;0;0;3051;0;SPECTRE
23687929206;85140;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;595391;0;0;1680;0;SPECTRE
23688014370;117281;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;778602;0;0;3112;0;SPECTRE
23688131666;117425;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;777801;0;0;3367;0;SPECTRE
23688249100;85231;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;596490;0;0;2518;0;SPECTRE
23688334341;117411;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;779009;0;0;3740;0;SPECTRE
23688451779;117262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;778402;0;0;3135;0;SPECTRE
23688569070;144747;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000908;2;0;0;989250;0;0;3177;0;SPECTRE
23688719039;2308711;"MAF";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;15511820;0;0;61070;0;SPECTRE
23688719056;119;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;414;0;0;148;0;SPECTRE
23688719182;236;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;1191;0;0;228;0;SPECTRE
23688719426;35;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;180;0;0;38;0;SPECTRE
23688719468;32483;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;184234;0;0;1817;0;SPECTRE
23688751965;49;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;191;0;0;73;0;SPECTRE
23688752021;85324;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;594393;0;0;1832;0;SPECTRE
23688837353;117503;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;777456;0;0;3226;0;SPECTRE
23688954877;117479;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;779706;0;0;3024;0;SPECTRE
23689072372;85207;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;593852;0;0;1942;0;SPECTRE
23689157588;117373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;778091;0;0;3135;0;SPECTRE
23689274971;117311;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;777719;0;0;3036;0;SPECTRE
23689392290;85144;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;594173;0;0;1653;0;SPECTRE
23689477441;117320;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;777093;0;0;3072;0;SPECTRE
23689594769;117266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;777625;0;0;3356;0;SPECTRE
23689712046;85152;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;594638;0;0;1707;0;SPECTRE
23689797205;90589;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;627585;0;0;2891;0;SPECTRE
23689887801;117421;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;778526;0;0;3283;0;SPECTRE
23690005234;85151;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;594421;0;0;1648;0;SPECTRE
23690090393;117329;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;777258;0;0;3047;0;SPECTRE
23690207730;117270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;777314;0;0;3085;0;SPECTRE
23690325008;85167;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;594695;0;0;1681;0;SPECTRE
23690410200;117343;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;778142;0;0;3134;0;SPECTRE
23690527553;117398;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;777615;0;0;3081;0;SPECTRE
23690644968;85375;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;594134;0;0;1740;0;SPECTRE
23690730354;117534;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;779167;0;0;3711;0;SPECTRE
23690847900;179838;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000908;3;0;0;1196661;0;0;4571;0;SPECTRE
23691032958;2306129;"MAF";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;15507024;0;0;60576;0;SPECTRE
23691032982;134;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;415;0;0;136;0;SPECTRE
23691033123;242;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;1191;0;0;215;0;SPECTRE
23691033373;35;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;181;0;0;28;0;SPECTRE
23691033414;307;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;1631;0;0;126;0;SPECTRE
23691033729;46;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;191;0;0;63;0;SPECTRE
23691033783;85330;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;595224;0;0;1983;0;SPECTRE
23691119126;117366;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;777602;0;0;3193;0;SPECTRE
23691236511;117270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;777989;0;0;3192;0;SPECTRE
23691353797;85102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;595831;0;0;2179;0;SPECTRE
23691438906;117330;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;778433;0;0;3088;0;SPECTRE
23691556246;117422;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;778130;0;0;3402;0;SPECTRE
23691673691;85153;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;594976;0;0;1897;0;SPECTRE
23691758852;117305;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;777258;0;0;3194;0;SPECTRE
23691876166;117302;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;777821;0;0;3203;0;SPECTRE
23691993477;85104;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;595267;0;0;1763;0;SPECTRE
23692078588;117320;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;779216;0;0;3090;0;SPECTRE
23692195920;117411;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;776612;0;0;3091;0;SPECTRE
23692313348;85303;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;594688;0;0;1690;0;SPECTRE
23692398658;117410;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;778014;0;0;3355;0;SPECTRE
23692516092;117271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;777642;0;0;3093;0;SPECTRE
23692633388;85124;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;594491;0;0;1675;0;SPECTRE
23692718521;117277;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;776969;0;0;3081;0;SPECTRE
23692835805;117560;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;777594;0;0;3392;0;SPECTRE
23692953373;85101;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;594971;0;0;1710;0;SPECTRE
23693038481;117358;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;777689;0;0;3108;0;SPECTRE
23693155865;183212;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000908;4;0;0;1221651;0;0;4755;0;SPECTRE
23693344330;2310459;"MAF";"INTERVAL";"PROBE";1;63;0x00000908;5;0;0;15529185;0;0;62685;0;SPECTRE
23693344346;125;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000908;5;0;0;414;0;0;136;0;SPECTRE
23693344477;231;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000908;5;0;0;1191;0;0;227;0;SPECTRE
23693344715;32;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000908;5;0;0;180;0;0;29;0;SPECTRE
23693344754;308;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000908;5;0;0;1631;0;0;119;0;SPECTRE
23693345070;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000908;5;0;0;191;0;0;55;0;SPECTRE
23693345120;117518;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;5;0;0;777091;0;0;3481;0;SPECTRE
23693462646;85248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;5;0;0;597658;0;0;2350;0;SPECTRE
23693547907;117520;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;5;0;0;778131;0;0;3845;0;SPECTRE
23693665439;117622;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;5;0;0;778829;0;0;3955;0;SPECTRE
23693783082;85395;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000908;5;0;0;594065;0;0;2088;0;SPECTRE
