TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
35735433993;2301376;"MAF";"INTERVAL";"PROBE";1;63;0x00000a14;0;278;64;65074535;95434935;1253931;65078428;0;SPECTRE
35735434351;109;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000a14;0;1;2;1453;2037;364;1457;0;SPECTRE
35735434469;241;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000a14;0;0;2;3898;6054;576;3902;0;SPECTRE
35735434716;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000a14;0;3;0;1472;2827;116;1483;0;SPECTRE
35735434788;314;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000a14;0;0;0;9808;13535;312;9812;0;SPECTRE
35735435109;43;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000a14;0;0;0;587;904;112;591;0;SPECTRE
35735435159;117955;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;79;11;3218722;4785482;72938;3219051;0;SPECTRE
35735553122;117710;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;12;6;3219062;4770059;69980;3219372;0;SPECTRE
35735670840;85087;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;9;0;2685656;3767689;34520;2685750;0;SPECTRE
35735755935;117652;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;24;5;3215953;4759284;70285;3216186;0;SPECTRE
35735873595;117412;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;16;3;3212884;4766512;69096;3213189;0;SPECTRE
35735991015;85101;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;10;2;2683901;3772047;34395;2684048;0;SPECTRE
35736076124;117329;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;16;2;3206393;4753889;68761;3206696;0;SPECTRE
35736193461;117392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;9;2;3209117;4765746;68365;3209436;0;SPECTRE
35736310861;85102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;5;2;2683734;3771553;34235;2683882;0;SPECTRE
35736395971;117227;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;11;3;3197431;4732604;68876;3197617;0;SPECTRE
35736513205;85240;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;11;2;2681757;3771422;34440;2681882;0;SPECTRE
35736598452;117241;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;9;2;3191981;4741206;68821;3192118;0;SPECTRE
35736715701;117310;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;10;2;3197576;4751486;68808;3197760;0;SPECTRE
35736833018;117269;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;9;4;3198338;4741509;68968;3198522;0;SPECTRE
35736950295;123460;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;13;3;3300453;4950794;75008;3300669;0;SPECTRE
35737073762;85139;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;6;2;2680762;3776407;34424;2680864;0;SPECTRE
35737158910;117330;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;4;2;3198024;4761734;68855;3198206;0;SPECTRE
35737276247;117342;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;3;2;3197501;4767235;68840;3197683;0;SPECTRE
35737393597;53054;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;4;1;2163083;2792270;12;2163118;0;SPECTRE
35737446658;149329;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;0;6;3;3710175;5728576;103298;3710402;0;SPECTRE
35737595994;139366;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000a14;0;5;1;3985005;5947034;69190;3985195;0;SPECTRE
35737740568;2303907;"MAF";"INTERVAL";"PROBE";1;63;0x00000a14;1;202;44;65069208;95578218;1267506;65072512;0;SPECTRE
35737740585;121;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000a14;1;0;5;1448;2034;456;1452;0;SPECTRE
35737740714;212;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000a14;1;0;1;3891;5997;496;3895;0;SPECTRE
35737740933;33;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000a14;1;0;1;650;902;88;654;0;SPECTRE
35737740973;304;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000a14;1;0;0;9808;13442;300;9812;0;SPECTRE
35737741285;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000a14;1;0;0;586;880;148;590;0;SPECTRE
35737741336;117506;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;45;6;3201163;4753185;74553;3201347;0;SPECTRE
35737858861;117541;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;18;3;3194536;4739875;71756;3194726;0;SPECTRE
35737976414;117179;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;6;4;3188370;4723136;69159;3188493;0;SPECTRE
35738093602;85378;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;11;1;2684150;3792706;34604;2684285;0;SPECTRE
35738178988;149326;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;11;2;3707827;5722380;103495;3708042;0;SPECTRE
35738328323;53117;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;4;1;2166127;2787429;88;2166174;0;SPECTRE
35738381447;117366;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;7;2;3196981;4759236;68880;3197165;0;SPECTRE
35738498820;117282;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;14;2;3197591;4758280;68972;3197774;0;SPECTRE
35738616109;91567;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;15;2;2787529;3990531;40970;2787701;0;SPECTRE
35738707685;85356;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;9;2;2685777;3798377;35204;2685883;0;SPECTRE
35738793051;85392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;4;2;2682479;3785746;35129;2682605;0;SPECTRE
35738878451;117239;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;3;0;3194750;4767842;69060;3194913;0;SPECTRE
35738995706;117234;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;4;0;3192083;4760917;70225;3192218;0;SPECTRE
35739112960;117342;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;8;0;3196824;4758585;68999;3197012;0;SPECTRE
35739230312;117310;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;6;2;3201263;4755712;69489;3201453;0;SPECTRE
35739347633;85284;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;5;1;2684234;3779581;37045;2684326;0;SPECTRE
35739432937;149559;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;16;2;3708181;5727472;106179;3708426;0;SPECTRE
35739582514;117420;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;5;2;3198976;4760496;69320;3199176;0;SPECTRE
35739699943;85180;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;4;0;2679524;3760887;34508;2679622;0;SPECTRE
35739785133;117340;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;1;5;2;3198392;4756449;68848;3198584;0;SPECTRE
35739902482;141985;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000a14;1;2;0;4089837;6088678;69085;4090027;0;SPECTRE
35740049849;2300624;"MAF";"INTERVAL";"PROBE";1;63;0x00000a14;2;171;43;65091946;96065302;1252389;65095297;0;SPECTRE
35740049869;123;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000a14;2;1;3;1452;2035;472;1456;0;SPECTRE
35740050000;236;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000a14;2;0;1;4911;7366;504;4915;0;SPECTRE
35740050242;32;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000a14;2;0;0;650;932;88;654;0;SPECTRE
35740050280;310;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000a14;2;0;0;9811;13506;320;9815;0;SPECTRE
35740050598;43;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000a14;2;0;0;587;891;144;591;0;SPECTRE
35740050648;117293;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;2;26;3;3194872;4775008;70233;3195010;0;SPECTRE
35740167954;117614;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;2;13;3;3203295;4786500;69806;3203510;0;SPECTRE
35740285579;117427;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;2;9;1;3202318;4794662;69972;3202509;0;SPECTRE
35740403021;85208;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;2;4;2;2680666;3784153;35088;2680768;0;SPECTRE
35740488237;117318;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;2;8;2;3198683;4772524;68695;3198875;0;SPECTRE
35740605562;117313;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;2;7;1;3198820;4777921;68770;3199006;0;SPECTRE
35740722884;85125;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;2;9;3;2680378;3777541;34420;2680477;0;SPECTRE
35740808020;117532;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;2;23;3;3199023;4781150;69726;3199220;0;SPECTRE
35740925560;117481;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;2;10;2;3204781;4816012;71736;3204969;0;SPECTRE
35741043062;85310;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;2;6;1;2678102;3782519;36560;2678198;0;SPECTRE
35741128384;117446;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;2;6;2;3196693;4784610;69244;3196873;0;SPECTRE
35741245841;117312;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a14;2;7;2;3190743;4778764;69022;3190945;0;SPECTRE
