TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
754301150373;359158;"MAF";"INTERVAL";"PROBE";4;63;0x000056fe;0;91454636;0;0;9248885;430090;0;0;SPECTRE
754301150627;59;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000056fe;0;2484;0;0;452;38;0;0;SPECTRE
754301150690;96;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000056fe;0;8048;0;0;1121;78;0;0;SPECTRE
754301150790;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000056fe;0;1173;0;0;197;5;0;0;SPECTRE
754301150814;489;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000056fe;0;37224;0;0;5469;661;0;0;SPECTRE
754301151308;27;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000056fe;0;1096;0;0;216;11;0;0;SPECTRE
754301151339;16734;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000056fe;0;4261457;0;0;430201;20832;0;0;SPECTRE
754301168077;16852;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000056fe;0;4273053;0;0;432558;20875;0;0;SPECTRE
754301184934;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000056fe;0;4261454;0;0;429968;20642;0;0;SPECTRE
754301201637;16856;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000056fe;0;4276031;0;0;433194;20906;0;0;SPECTRE
754301218497;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000056fe;0;4261457;0;0;430060;20609;0;0;SPECTRE
754301235200;17088;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000056fe;0;4309084;0;0;440389;20953;0;0;SPECTRE
754301252293;16705;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000056fe;0;4261454;0;0;429992;20690;0;0;SPECTRE
754301269003;16862;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000056fe;0;4276679;0;0;433196;20891;0;0;SPECTRE
754301285869;16736;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000056fe;0;4261457;0;0;429894;20605;0;0;SPECTRE
