TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
762253371654;358563;"MAF";"INTERVAL";"PROBE";4;63;0x000057cc;0;41213650;16395518;51174616;112526479;39344425;8622;0;SPECTRE
762253371906;51;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000057cc;0;805;661;1578;3108;1509;138;0;SPECTRE
762253371962;94;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000057cc;0;2781;1483;4147;9376;4038;160;0;SPECTRE
762253372060;18;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000057cc;0;356;310;753;1498;670;21;0;SPECTRE
762253372082;110;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000057cc;0;9350;2531;10595;25771;9116;83;0;SPECTRE
762253372197;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000057cc;0;360;288;713;1519;706;32;0;SPECTRE
762253372223;17011;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000057cc;0;1943677;772788;2403601;5297347;1860386;927;0;SPECTRE
762253389239;16707;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000057cc;0;1940552;770542;2398166;5281662;1852169;16;0;SPECTRE
762253405950;16891;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000057cc;0;1944213;772518;2405380;5299598;1858926;755;0;SPECTRE
762253422846;16840;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000057cc;0;1945420;772970;2406130;5301882;1860012;640;0;SPECTRE
762253439690;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000057cc;0;1939800;769932;2398682;5278727;1847949;25;0;SPECTRE
762253456385;16838;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000057cc;0;1944920;772583;2406011;5300148;1858613;651;0;SPECTRE
