TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
774844240207;358854;"MAF";"INTERVAL";"PROBE";4;63;0x00005916;0;1699;224;51198985;39351358;12969;51199047;0;SPECTRE
774844240459;60;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00005916;0;1;14;1580;1511;764;1578;0;SPECTRE
774844240523;98;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00005916;0;4;6;4234;4176;828;4226;0;SPECTRE
774844240625;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00005916;0;0;4;762;673;108;754;0;SPECTRE
774844240652;106;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00005916;0;2;2;10584;9022;416;10576;0;SPECTRE
774844240762;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00005916;0;0;3;709;708;148;701;0;SPECTRE
774844240789;17036;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005916;0;157;34;2407409;1867815;4716;2407401;0;SPECTRE
774844257830;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005916;0;4;2;2397290;1848492;16;2397302;0;SPECTRE
774844274528;17083;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005916;0;186;30;2414119;1872551;1914;2414106;0;SPECTRE
774844291616;16679;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005916;0;3;1;2396281;1846010;12;2396291;0;SPECTRE
774844308299;16745;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005916;0;84;10;2400938;1851760;124;2400940;0;SPECTRE
774844325049;16682;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005916;0;4;1;2396741;1847012;4;2396743;0;SPECTRE
774844341735;16984;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005916;0;172;15;2412103;1865735;520;2412091;0;SPECTRE
774844358724;16697;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005916;0;3;1;2399602;1850284;8;2399612;0;SPECTRE
774844375425;16908;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005916;0;148;7;2405169;1857120;576;2405172;0;SPECTRE
774844392337;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005916;0;4;1;2398613;1847355;4;2398623;0;SPECTRE
774844409025;16731;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005916;0;83;4;2401198;1851388;184;2401200;0;SPECTRE
774844425761;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005916;0;4;1;2399297;1849593;4;2399308;0;SPECTRE
774844442455;16979;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005916;0;182;9;2413499;1867670;542;2413486;0;SPECTRE
774844459439;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005916;0;4;2;2400148;1850160;4;2400160;0;SPECTRE
774844476138;16796;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005916;0;126;4;2404172;1854838;32;2404167;0;SPECTRE
