TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
748337126548;358705;"MAF";"INTERVAL";"PROBE";4;63;0x00005661;0;51182439;7816;3432;69210;2182;773;0;SPECTRE
748337126811;63;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00005661;0;1612;39;15;411;128;47;0;SPECTRE
748337126878;101;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00005661;0;4202;33;18;475;163;53;0;SPECTRE
748337126984;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00005661;0;751;14;8;101;32;13;0;SPECTRE
748337127010;112;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00005661;0;10734;26;7;256;77;30;0;SPECTRE
748337127126;25;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00005661;0;717;9;7;132;36;15;0;SPECTRE
748337127156;16738;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005661;0;2400894;151;192;2753;432;144;0;SPECTRE
748337143898;16935;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005661;0;2405529;559;237;5333;276;75;0;SPECTRE
748337160838;16679;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005661;0;2396825;147;73;1856;0;1;0;SPECTRE
748337177521;16865;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005661;0;2405678;556;261;4566;82;20;0;SPECTRE
748337194391;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005661;0;2397870;145;52;1856;2;1;0;SPECTRE
748337211082;16845;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005661;0;2405570;538;252;4217;32;1;0;SPECTRE
748337227932;16698;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005661;0;2398348;144;53;1850;0;0;0;SPECTRE
748337244634;16812;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005661;0;2405198;466;213;3693;29;6;0;SPECTRE
748337261451;16727;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005661;0;2398179;135;72;1949;3;2;0;SPECTRE
748337278183;16802;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005661;0;2403725;461;211;3750;14;0;0;SPECTRE
748337294990;17013;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005661;0;2416246;646;204;4863;113;41;0;SPECTRE
748337312008;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005661;0;2397942;146;167;1912;0;0;0;SPECTRE
