TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
832797290400;358525;"MAF";"INTERVAL";"PROBE";4;63;0x00005ba8;0;41210583;16390830;9235700;23428808;24153900;8708;0;SPECTRE
832797290652;56;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00005ba8;0;812;668;449;1167;0;144;0;SPECTRE
832797290712;93;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00005ba8;0;2807;1514;1096;2957;1205;169;0;SPECTRE
832797290809;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00005ba8;0;350;305;199;603;17;25;0;SPECTRE
832797290836;112;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00005ba8;0;9395;2491;1722;8204;4066;86;0;SPECTRE
832797290952;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00005ba8;0;356;272;212;610;0;40;0;SPECTRE
832797290978;16737;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005ba8;0;1940965;770721;430042;1093331;1133883;66;0;SPECTRE
832797307720;16948;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005ba8;0;1946639;773337;433171;1103313;1133970;1042;0;SPECTRE
832797324672;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005ba8;0;1940199;769967;429867;1092466;1133721;15;0;SPECTRE
832797341375;16867;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005ba8;0;1947099;773339;433146;1102802;1134892;688;0;SPECTRE
832797358246;16865;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005ba8;0;1943874;772347;433208;1102480;1132732;641;0;SPECTRE
832797375116;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005ba8;0;1940062;770190;429808;1092087;1133907;24;0;SPECTRE
832797391820;16850;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005ba8;0;1945695;772709;433068;1101829;1134156;612;0;SPECTRE
832797408675;16693;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005ba8;0;1939665;769829;429774;1091771;1133729;26;0;SPECTRE
832797425372;16897;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005ba8;0;1942399;771669;432896;1100532;1132422;802;0;SPECTRE
832797442273;16680;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005ba8;0;1937434;769128;429657;1091181;1132448;23;0;SPECTRE
832797458957;16828;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005ba8;0;1944314;772251;432868;1100592;1133765;618;0;SPECTRE
832797475790;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005ba8;0;1937180;769063;429685;1091261;1132229;24;0;SPECTRE
832797492473;16868;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005ba8;0;1944024;772472;433328;1101821;1132974;643;0;SPECTRE
