TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
844062667917;358810;"MAF";"INTERVAL";"PROBE";4;63;0x00005cd7;0;41202629;16390709;51169045;112502136;39350430;9555;0;SPECTRE
844062668175;60;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;810;658;1587;3145;1517;133;0;SPECTRE
844062668239;93;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;2835;1528;4209;9546;4142;163;0;SPECTRE
844062668337;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00005cd7;0;350;305;750;1477;653;23;0;SPECTRE
844062668364;110;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00005cd7;0;9475;2530;10644;26177;9314;81;0;SPECTRE
844062668479;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00005cd7;0;376;294;737;1595;741;38;0;SPECTRE
844062668505;16722;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1938385;770090;2396565;5276190;1851074;62;0;SPECTRE
844062685231;16934;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1944671;772731;2404999;5300258;1862667;1060;0;SPECTRE
844062702169;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1938329;769522;2397189;5274935;1848791;8;0;SPECTRE
844062718865;16897;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1946320;772983;2406609;5303743;1862119;865;0;SPECTRE
844062735767;16838;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1943007;771875;2404076;5294528;1857628;685;0;SPECTRE
844062752610;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1937729;769154;2396475;5273286;1846826;15;0;SPECTRE
844062769300;17027;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1949236;775647;2415923;5322601;1867641;767;0;SPECTRE
844062786331;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1939430;769702;2397722;5277072;1848497;14;0;SPECTRE
844062803030;16895;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1944708;772455;2405361;5298633;1857604;821;0;SPECTRE
844062819930;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1937772;769127;2396858;5273078;1845848;12;0;SPECTRE
844062836619;16833;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1944314;772028;2404597;5295582;1856811;613;0;SPECTRE
844062853456;16696;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1939548;769833;2397708;5277433;1849615;10;0;SPECTRE
844062870156;16801;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1944428;772156;2404169;5295843;1857276;458;0;SPECTRE
844062886962;16693;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1938812;769659;2397165;5275763;1848406;8;0;SPECTRE
844062903660;16842;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1943542;772124;2404495;5296210;1857214;690;0;SPECTRE
844062920506;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1938278;769389;2396744;5274568;1847987;11;0;SPECTRE
844062937201;16838;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1943788;771990;2404549;5296266;1856370;678;0;SPECTRE
844062954044;16674;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1934647;768355;2394425;5266291;1844197;9;0;SPECTRE
844062970722;16880;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1943168;771959;2404568;5295083;1856332;780;0;SPECTRE
844062987607;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;1939444;769624;2397803;5276918;1848666;15;0;SPECTRE
844063004302;22420;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00005cd7;0;2346899;956240;3099498;6659216;2239653;914;0;SPECTRE
844064267894;358268;"MAF";"INTERVAL";"PROBE";4;63;0x00005cd7;1;41260505;16406334;51241122;112607360;39356799;4947;0;SPECTRE
