TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
848701398334;358665;"MAF";"INTERVAL";"PROBE";4;63;0x00005d52;0;1729;152;51159308;39337703;13366;51159372;0;SPECTRE
848701398596;50;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00005d52;0;3;16;1578;1485;584;1576;0;SPECTRE
848701398650;90;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00005d52;0;3;4;4178;4077;736;4170;0;SPECTRE
848701398744;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00005d52;0;0;3;751;660;128;743;0;SPECTRE
848701398768;109;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00005d52;0;1;1;10602;9155;504;10594;0;SPECTRE
848701398884;23;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00005d52;0;0;1;707;682;124;699;0;SPECTRE
848701398911;16949;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;127;38;2403872;1861324;3880;2403865;0;SPECTRE
848701415865;16698;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;4;1;2397992;1850978;4;2398000;0;SPECTRE
848701432568;16810;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;121;4;2403146;1857206;300;2403131;0;SPECTRE
848701449383;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;4;1;2396058;1848715;8;2396068;0;SPECTRE
848701466073;16857;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;133;6;2402996;1858017;1108;2402979;0;SPECTRE
848701482934;16682;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;5;1;2395995;1847946;16;2396005;0;SPECTRE
848701499620;16858;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;143;5;2404463;1859268;287;2404447;0;SPECTRE
848701516483;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;4;1;2396707;1849470;8;2396717;0;SPECTRE
848701533176;17083;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;173;6;2417774;1870925;1212;2417785;0;SPECTRE
848701550263;16861;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;145;6;2405095;1859519;572;2405095;0;SPECTRE
848701567129;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;7;1;2396379;1846579;4;2396387;0;SPECTRE
848701583811;16807;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;113;8;2401979;1855187;228;2401964;0;SPECTRE
848701600623;16680;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;4;0;2396949;1848121;7;2396959;0;SPECTRE
848701617307;16818;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;125;3;2403994;1856039;144;2403988;0;SPECTRE
848701634129;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;3;1;2397596;1848818;5;2397607;0;SPECTRE
848701650821;16874;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;141;6;2404313;1858474;1340;2404298;0;SPECTRE
848701667700;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;3;0;2395751;1846604;8;2395761;0;SPECTRE
848701684385;16826;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;133;4;2403738;1856036;120;2403732;0;SPECTRE
848701701216;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;3;1;2396285;1848748;4;2396295;0;SPECTRE
848701717906;16857;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;0;160;8;2404741;1857790;208;2404726;0;SPECTRE
848701734769;22226;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00005d52;0;4;5;3092172;2213223;736;3092166;0;SPECTRE
848702998285;358225;"MAF";"INTERVAL";"PROBE";4;63;0x00005d52;1;1234;111;51224097;39355988;12780;51224096;0;SPECTRE
848702998313;95;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00005d52;1;2;13;1535;1403;1480;1534;0;SPECTRE
848702998412;94;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00005d52;1;4;6;4159;3766;1176;4151;0;SPECTRE
848702998511;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00005d52;1;2;3;747;618;248;739;0;SPECTRE
848702998538;115;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00005d52;1;1;2;10567;8690;576;10559;0;SPECTRE
848702998658;25;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00005d52;1;0;0;725;663;220;717;0;SPECTRE
848702998688;16911;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;142;35;2402548;1857561;7260;2402540;0;SPECTRE
848703015604;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;4;0;2395218;1847201;4;2395228;0;SPECTRE
848703032290;16805;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;115;3;2402911;1857455;56;2402905;0;SPECTRE
848703049100;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;5;0;2395514;1847987;4;2395523;0;SPECTRE
848703065790;16799;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;104;3;2402393;1857374;36;2402387;0;SPECTRE
848703082594;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;3;0;2394968;1846130;12;2394978;0;SPECTRE
848703099276;16788;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;107;3;2402757;1855661;152;2402751;0;SPECTRE
848703116069;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;4;0;2395296;1846058;4;2395306;0;SPECTRE
848703132751;16737;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;83;1;2400045;1852853;92;2400046;0;SPECTRE
848703149493;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;5;0;2397245;1849284;4;2397251;0;SPECTRE
848703166182;16774;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;107;0;2401901;1853680;148;2401895;0;SPECTRE
848703182961;16794;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;113;2;2404361;1858719;88;2404364;0;SPECTRE
848703199760;16682;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;7;0;2397335;1848974;8;2397345;0;SPECTRE
848703216446;16740;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;83;2;2400204;1854104;116;2400205;0;SPECTRE
848703233190;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;4;0;2398012;1849779;8;2398018;0;SPECTRE
848703249881;16782;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;98;1;2403245;1855720;104;2403239;0;SPECTRE
848703266668;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;4;0;2397461;1849359;4;2397471;0;SPECTRE
848703283357;16716;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;79;3;2398726;1849538;36;2398727;0;SPECTRE
848703300078;16677;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;4;0;2396092;1846906;8;2396098;0;SPECTRE
848703316759;16776;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;1;105;1;2403184;1854534;48;2403178;0;SPECTRE
848703333541;22965;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00005d52;1;3;4;3197986;2284276;632;3197980;0;SPECTRE
848704598296;359169;"MAF";"INTERVAL";"PROBE";4;63;0x00005d52;2;1362;121;51304865;39383223;11980;51304865;0;SPECTRE
848704598318;66;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00005d52;2;3;11;1524;1286;784;1523;0;SPECTRE
848704598388;104;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00005d52;2;3;4;5442;4895;872;5434;0;SPECTRE
848704598496;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00005d52;2;0;3;747;618;184;739;0;SPECTRE
848704598523;98;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00005d52;2;2;0;10421;8268;332;10413;0;SPECTRE
848704598626;21;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00005d52;2;0;0;689;599;120;681;0;SPECTRE
848704598652;16927;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;2;139;29;2403769;1859902;5244;2403762;0;SPECTRE
848704615583;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005d52;2;5;0;2395295;1846437;8;2395305;0;SPECTRE
