TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
823519924213;358705;"MAF";"INTERVAL";"PROBE";4;63;0x00005aae;0;51182427;7947;3716;70591;2339;789;0;SPECTRE
823519924473;58;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00005aae;0;1626;49;26;430;123;31;0;SPECTRE
823519924535;93;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00005aae;0;4138;31;8;442;156;41;0;SPECTRE
823519924633;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00005aae;0;758;10;2;85;34;12;0;SPECTRE
823519924661;112;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00005aae;0;10613;34;13;254;77;23;0;SPECTRE
823519924778;23;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00005aae;0;714;8;1;111;26;8;0;SPECTRE
823519924805;17110;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2408094;659;433;6648;1043;323;0;SPECTRE
823519941919;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2396246;141;94;2091;14;8;0;SPECTRE
823519958604;16867;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2407140;573;261;4531;48;19;0;SPECTRE
823519975476;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2397464;141;70;2039;1;1;0;SPECTRE
823519992166;16797;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2404090;491;228;3770;22;2;0;SPECTRE
823520008968;16696;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2398586;140;58;2005;1;2;0;SPECTRE
823520025668;16801;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2404291;516;227;3628;18;2;0;SPECTRE
823520042474;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2398215;140;58;2003;0;0;0;SPECTRE
823520059170;17119;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2417879;739;398;5494;192;63;0;SPECTRE
823520076296;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2397198;140;57;2014;3;2;0;SPECTRE
823520092988;16827;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2403350;553;279;4333;43;11;0;SPECTRE
823520109819;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2397409;141;57;1989;0;0;0;SPECTRE
823520126514;16797;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2403429;472;228;3714;18;3;0;SPECTRE
823520143315;16793;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2404037;477;145;3690;24;3;0;SPECTRE
823520160112;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2399749;141;139;2011;1;0;0;SPECTRE
823520176815;16847;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2405908;580;187;4451;63;26;0;SPECTRE
823520193667;16693;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2398706;141;151;2026;1;0;0;SPECTRE
823520210364;16828;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2404974;553;196;4297;39;12;0;SPECTRE
823520227197;16680;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2397214;141;129;2033;2;3;0;SPECTRE
823520243882;16795;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005aae;0;2403596;479;187;3716;19;1;0;SPECTRE
823520260682;22231;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00005aae;0;3093473;51;7;379;133;87;0;SPECTRE
823521524226;358175;"MAF";"INTERVAL";"PROBE";4;63;0x00005aae;1;51238277;6243;2763;57650;2033;958;0;SPECTRE
823521524250;89;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00005aae;1;1619;53;29;505;247;121;0;SPECTRE
