TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
202641659960;359553;"MAF";"INTERVAL";"PROBE";4;63;0x0000402b;0;51211399;9777;3615;70340;2688;861;0;NOSTRESS
202641660220;55;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000402b;0;1617;47;20;420;117;28;0;NOSTRESS
202641660279;93;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000402b;0;4198;25;7;442;158;48;0;NOSTRESS
202641660376;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000402b;0;756;10;5;81;25;9;0;NOSTRESS
202641660400;109;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000402b;0;10646;27;11;233;76;18;0;NOSTRESS
202641660514;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000402b;0;729;9;3;125;33;18;0;NOSTRESS
202641660543;17448;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000402b;0;2422194;1236;520;7718;1578;511;0;NOSTRESS
202641677997;16718;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000402b;0;2397748;141;56;1869;1;1;0;NOSTRESS
202641694719;16874;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000402b;0;2406505;545;267;4526;58;8;0;NOSTRESS
202641711598;16872;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000402b;0;2407245;594;151;4097;21;2;0;NOSTRESS
202641728475;16709;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000402b;0;2398109;130;160;1938;0;0;0;NOSTRESS
202641745188;16882;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000402b;0;2407685;578;190;4116;25;2;0;NOSTRESS
202641762074;16708;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000402b;0;2398126;144;125;1911;1;0;0;NOSTRESS
202641778797;16852;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000402b;0;2405649;559;205;4162;22;5;0;NOSTRESS
202641795654;16737;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000402b;0;2396656;135;133;2023;7;3;0;NOSTRESS
202641812396;16875;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000402b;0;2405713;532;215;4379;44;7;0;NOSTRESS
202641829275;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000402b;0;2398538;128;106;1883;0;0;0;NOSTRESS
202641845979;16828;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000402b;0;2406307;468;184;3677;25;2;0;NOSTRESS
202641862812;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000402b;0;2398908;128;90;1881;0;0;0;NOSTRESS
