TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;BR_PRED;DP_SPEC;VFP_SPEC;L1I_CACHE_REFILL;LMC0;CONTEXT
221195623557;358387;"MAF";"INTERVAL";"PROBE";4;63;0x000041e4;0;41206012;16387992;9232943;23418253;24154989;8242;0;NOSTRESS
221195623822;57;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000041e4;0;835;678;453;1216;0;135;0;NOSTRESS
221195623884;95;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000041e4;0;2772;1483;1075;2946;1209;161;0;NOSTRESS
221195623983;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000041e4;0;347;302;199;607;17;22;0;NOSTRESS
221195624007;104;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000041e4;0;9378;2496;1736;8259;4006;75;0;NOSTRESS
221195624116;23;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000041e4;0;365;293;217;644;0;35;0;NOSTRESS
221195624143;16720;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1941394;770485;429919;1093086;1134381;58;0;NOSTRESS
221195640867;16913;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1945903;773044;433178;1103030;1133872;1040;0;NOSTRESS
221195657786;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1938689;769651;429846;1091806;1133030;12;0;NOSTRESS
221195674479;16809;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1943837;771813;432052;1098383;1134096;566;0;NOSTRESS
221195691293;16683;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1939103;769583;429629;1091542;1133437;8;0;NOSTRESS
221195707981;16913;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1945569;772812;434099;1103566;1133385;732;0;NOSTRESS
221195724899;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1940294;769774;429804;1091721;1134038;8;0;NOSTRESS
221195741591;16750;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1942105;770753;430791;1095229;1134208;248;0;NOSTRESS
221195758346;16839;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1942889;771735;432178;1099183;1133315;525;0;NOSTRESS
221195775189;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1939156;769652;429802;1091605;1133420;12;0;NOSTRESS
221195791885;16794;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1941185;770782;431874;1097672;1132604;540;0;NOSTRESS
221195808683;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1938183;769353;429779;1091269;1132844;15;0;NOSTRESS
221195825372;16835;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1945152;772571;432877;1101086;1134145;587;0;NOSTRESS
221195842211;16682;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1936487;768997;429679;1091086;1131876;17;0;NOSTRESS
221195858897;16810;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1941703;771219;431974;1097927;1133127;541;0;NOSTRESS
221195875711;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1939444;769794;429771;1091774;1133567;13;0;NOSTRESS
221195892406;16921;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1947068;773879;434915;1106994;1133133;903;0;NOSTRESS
221195909331;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1937157;768984;429594;1090928;1132326;15;0;NOSTRESS
221195926013;16850;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1943755;772054;432877;1100662;1133153;732;0;NOSTRESS
221195942867;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;0;1940246;769905;429705;1091412;1134325;14;0;NOSTRESS
221195959560;22380;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x000041e4;0;2350485;957251;596321;1459517;1481475;635;0;NOSTRESS
221197223550;358671;"MAF";"INTERVAL";"PROBE";4;63;0x000041e4;1;41271044;16412321;9246072;23445393;24204644;6609;0;NOSTRESS
221197223571;85;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000041e4;1;809;678;458;1139;0;124;0;NOSTRESS
221197223660;103;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000041e4;1;2659;1447;1050;2791;1150;154;0;NOSTRESS
221197223767;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000041e4;1;342;296;198;602;17;22;0;NOSTRESS
221197223796;108;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000041e4;1;8936;2418;1696;7818;3860;75;0;NOSTRESS
221197223910;28;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000041e4;1;332;283;212;561;0;27;0;NOSTRESS
221197223942;16796;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;1;1940771;770418;429849;1092238;1134335;53;0;NOSTRESS
221197240742;16881;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;1;1945721;772815;432989;1102418;1134215;811;0;NOSTRESS
221197257628;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;1;1939246;769610;429754;1091615;1133611;9;0;NOSTRESS
221197274319;16815;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;1;1943313;771635;432047;1098975;1133414;530;0;NOSTRESS
221197291149;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;1;1939127;769626;429709;1091599;1133506;6;0;NOSTRESS
221197307839;16811;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;1;1942859;771514;432062;1098814;1133358;491;0;NOSTRESS
221197324655;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;1;1939632;769656;429719;1091669;1133781;4;0;NOSTRESS
221197341346;16788;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;1;1943622;771615;432177;1098692;1133852;476;0;NOSTRESS
221197358139;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;1;1939672;769738;429703;1091696;1133915;5;0;NOSTRESS
221197374831;16784;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;1;1943005;771547;432116;1098407;1133754;480;0;NOSTRESS
221197391619;16784;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;1;1943430;771575;432097;1098485;1133835;479;0;NOSTRESS
221197408408;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;1;1940578;769821;429767;1091413;1134514;14;0;NOSTRESS
221197425101;16785;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000041e4;1;1942453;771556;432193;1098568;1133273;468;0;NOSTRESS
