TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
222520923671;359080;"MAF";"INTERVAL";"PROBE";4;63;0x00004203;0;41244643;16407316;51184723;112593251;39419045;9608;0;NOSTRESS
222520923924;53;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00004203;0;802;649;1577;3084;1484;134;0;NOSTRESS
222520923982;88;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00004203;0;2800;1520;4178;9471;4077;166;0;NOSTRESS
222520924074;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00004203;0;351;305;753;1512;667;23;0;NOSTRESS
222520924099;108;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00004203;0;9382;2514;10580;25881;9137;81;0;NOSTRESS
222520924211;23;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00004203;0;388;277;731;1573;736;29;0;NOSTRESS
222520924238;17151;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004203;0;1951025;775349;2409780;5317897;1872660;1324;0;NOSTRESS
222520941394;16725;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004203;0;1943769;771408;2400272;5288189;1856825;9;0;NOSTRESS
222520958123;16843;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004203;0;1948014;773415;2406241;5304181;1864190;625;0;NOSTRESS
222520974970;16864;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004203;0;1947526;773618;2407186;5305974;1864299;666;0;NOSTRESS
222520991838;16707;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004203;0;1942048;770507;2399383;5283188;1853682;15;0;NOSTRESS
222521008549;16847;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004203;0;1944999;772492;2404697;5297708;1860100;610;0;NOSTRESS
222521025401;16715;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004203;0;1940811;770105;2398712;5280060;1852061;13;0;NOSTRESS
222521042120;16843;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004203;0;1945153;772692;2405628;5299717;1861030;646;0;NOSTRESS
222521058967;16772;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004203;0;1942758;770965;2399762;5284816;1855083;41;0;NOSTRESS
222521075744;16859;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004203;0;1946121;773138;2406057;5301958;1862200;759;0;NOSTRESS
222521092608;16706;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00004203;0;1940316;770450;2397769;5279717;1852684;14;0;NOSTRESS
