TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
233785849040;359032;"MAF";"INTERVAL";"PROBE";4;63;0x000043c6;0;1790;136;51181134;39348426;13259;51181196;0;NOSTRESS
233785849297;53;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000043c6;0;3;13;1590;1460;604;1588;0;NOSTRESS
233785849355;91;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000043c6;0;4;3;4156;4075;840;4148;0;NOSTRESS
233785849450;18;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000043c6;0;1;3;750;642;144;742;0;NOSTRESS
233785849472;111;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000043c6;0;2;1;10568;9091;392;10560;0;NOSTRESS
233785849587;21;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000043c6;0;0;0;729;732;116;721;0;NOSTRESS
233785849612;17162;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;155;38;2406794;1867881;6086;2406786;0;NOSTRESS
233785866779;16720;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;5;0;2399552;1854562;36;2399557;0;NOSTRESS
233785883503;16964;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;159;9;2407104;1861905;1462;2407106;0;NOSTRESS
233785900472;16701;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;6;0;2398178;1850410;16;2398183;0;NOSTRESS
233785917178;16848;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;139;5;2404911;1857485;220;2404913;0;NOSTRESS
233785934031;16693;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;4;0;2398413;1848550;4;2398419;0;NOSTRESS
233785950728;16841;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;133;4;2404860;1856349;100;2404862;0;NOSTRESS
233785967574;16855;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;135;3;2405248;1858158;188;2405255;0;NOSTRESS
233785984434;16752;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;13;0;2398859;1849943;12;2398877;0;NOSTRESS
233786001191;16826;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;115;3;2404400;1856086;180;2404402;0;NOSTRESS
233786018022;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;7;0;2397278;1848593;4;2397284;0;NOSTRESS
233786034716;16841;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;134;3;2405707;1857159;232;2405709;0;NOSTRESS
233786051562;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;6;0;2396645;1846091;4;2396650;0;NOSTRESS
233786068244;16847;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;126;3;2406000;1858629;128;2406002;0;NOSTRESS
233786085096;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;5;0;2397098;1847512;8;2397104;0;NOSTRESS
233786101789;16812;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;101;3;2404054;1855017;260;2404056;0;NOSTRESS
233786118606;16676;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;5;0;2396022;1845669;16;2396028;0;NOSTRESS
233786135286;16800;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;113;3;2403520;1855233;120;2403522;0;NOSTRESS
233786152091;16700;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;3;0;2398491;1850756;8;2398497;0;NOSTRESS
233786168804;16846;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000043c6;0;131;3;2405704;1857964;216;2405701;0;NOSTRESS
233786185655;22413;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x000043c6;0;134;8;3101019;2225860;824;3101009;0;NOSTRESS
233787449063;359110;"MAF";"INTERVAL";"PROBE";4;63;0x000043c6;1;1572;139;51275136;39381976;16656;51275135;0;NOSTRESS
233787449094;85;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000043c6;1;2;12;1598;1434;1504;1596;0;NOSTRESS
