TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;INST_RETIRED;LD_RETIRED;ST_RETIRED;BR_PRED;BR_MIS_PRED;PREFETCH;LMC0;CONTEXT
924000271263;711177;"MAF";"INTERVAL";"PROBE";4;63;0x0000647a;0;109035617;0;0;12593126;458733;0;0;SPECTRE
924000271536;64;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000647a;0;2484;0;0;451;38;0;0;SPECTRE
924000271605;101;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000647a;0;8048;0;0;1098;77;0;0;SPECTRE
924000271710;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000647a;0;1173;0;0;198;6;0;0;SPECTRE
924000271737;113;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000647a;0;21108;0;0;1729;134;0;0;SPECTRE
924000271854;23;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000647a;0;1099;0;0;214;11;0;0;SPECTRE
924000271881;48945;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;5884255;0;0;740772;24102;0;0;SPECTRE
924000320832;16722;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;4261457;0;0;430019;20877;0;0;SPECTRE
924000337558;48871;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;5869085;0;0;735409;23317;0;0;SPECTRE
924000386434;16705;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;4261454;0;0;429904;20720;0;0;SPECTRE
924000403143;48897;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;5889438;0;0;740433;23375;0;0;SPECTRE
924000452046;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;4261454;0;0;429855;20719;0;0;SPECTRE
924000468752;48857;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;5865847;0;0;735147;23209;0;0;SPECTRE
924000517614;16708;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;4261454;0;0;429847;20779;0;0;SPECTRE
924000534326;48923;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;5880954;0;0;737473;23073;0;0;SPECTRE
924000583255;16707;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;4261457;0;0;429909;20779;0;0;SPECTRE
924000599967;48904;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;5883849;0;0;739891;23368;0;0;SPECTRE
924000648876;16713;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;4261454;0;0;429931;20829;0;0;SPECTRE
924000665593;48869;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;5868510;0;0;735323;23163;0;0;SPECTRE
924000714468;16706;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;4261454;0;0;429889;20786;0;0;SPECTRE
924000731187;48920;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;5886469;0;0;740337;23336;0;0;SPECTRE
924000780112;16700;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;4261454;0;0;429854;20732;0;0;SPECTRE
924000796816;48864;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;5869824;0;0;735829;23307;0;0;SPECTRE
924000845686;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;4261454;0;0;429835;20649;0;0;SPECTRE
924000862383;48860;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;5879166;0;0;737433;23222;0;0;SPECTRE
924000911248;48916;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;0;5883100;0;0;739548;23312;0;0;SPECTRE
924000960186;22250;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x0000647a;0;5945052;0;0;593966;14450;0;0;SPECTRE
924001866267;647449;"MAF";"INTERVAL";"PROBE";4;63;0x0000647a;1;105996776;0;0;11996338;454490;0;0;SPECTRE
924001866286;88;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000647a;1;2484;0;0;455;42;0;0;SPECTRE
924001866378;96;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000647a;1;8048;0;0;1106;69;0;0;SPECTRE
924001866479;21;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000647a;1;1173;0;0;198;5;0;0;SPECTRE
924001866506;108;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000647a;1;21108;0;0;1686;93;0;0;SPECTRE
924001866621;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000647a;1;1099;0;0;213;9;0;0;SPECTRE
924001866649;16757;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;1;4261457;0;0;429748;20583;0;0;SPECTRE
924001883410;16953;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;1;4278362;0;0;433618;21256;0;0;SPECTRE
924001900368;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;1;4261454;0;0;429889;20726;0;0;SPECTRE
924001917074;16839;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;1;4274177;0;0;432568;21001;0;0;SPECTRE
924001933918;16707;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;1;4261457;0;0;429865;20785;0;0;SPECTRE
924001950629;48857;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;1;5870084;0;0;736568;23136;0;0;SPECTRE
924001999492;48883;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;1;5862442;0;0;735153;23480;0;0;SPECTRE
924002048380;16711;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;1;4261454;0;0;429929;20828;0;0;SPECTRE
924002065096;48867;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;1;5886705;0;0;739795;23400;0;0;SPECTRE
924002113968;16701;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;1;4261454;0;0;429819;20732;0;0;SPECTRE
924002130673;48849;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;1;5876655;0;0;737996;23341;0;0;SPECTRE
924002179527;16708;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;1;4261454;0;0;429824;20791;0;0;SPECTRE
924002196239;48847;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;1;5873838;0;0;736589;23360;0;0;SPECTRE
924002245091;16704;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;1;4261454;0;0;429822;20754;0;0;SPECTRE
924002261800;48871;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;1;5875589;0;0;738220;23472;0;0;SPECTRE
924002310676;16712;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000647a;1;4261454;0;0;429927;20813;0;0;SPECTRE
