TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;LD_SPEC;ST_SPEC;L1D_CACHE;INST_SPEC;L1I_CACHE;L1I_CACHE_REFILL;LMC0;CONTEXT
939242746724;712055;"MAF";"INTERVAL";"PROBE";4;63;0x00006619;0;50207197;20175888;61961569;145560345;53346983;18619;0;SPECTRE
939242746986;55;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006619;0;826;660;1595;3151;1525;136;0;SPECTRE
939242747045;91;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006619;0;2811;1508;4174;9530;4142;179;0;SPECTRE
939242747140;18;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006619;0;354;308;762;1521;672;32;0;SPECTRE
939242747163;111;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006619;0;9392;2506;10537;25876;9238;87;0;SPECTRE
939242747280;21;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006619;0;352;271;696;1460;678;40;0;SPECTRE
939242747305;17102;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006619;0;1950033;774626;2408914;5314313;1869702;1229;0;SPECTRE
939242764413;16708;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006619;0;1940014;770392;2397757;5280121;1853157;16;0;SPECTRE
939242781125;48963;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006619;0;2761407;1116160;3387561;8306909;3129592;1403;0;SPECTRE
939242830093;16729;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006619;0;1943653;771480;2400125;5288365;1857351;15;0;SPECTRE
939242846834;48888;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006619;0;2751867;1112333;3375214;8266882;3115466;1541;0;SPECTRE
939242895728;49010;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006619;0;2754598;1113475;3379368;8277653;3120079;1789;0;SPECTRE
939242944743;16728;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006619;0;1943671;771582;2400054;5288625;1856207;33;0;SPECTRE
