TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_TLB_REFILL;L1I_TLB_REFILL;L1D_CACHE;L1I_CACHE;BUS_ACCESS;MEM_ACCESS;LMC0;CONTEXT
945869884258;743286;"MAF";"INTERVAL";"PROBE";4;63;0x000066cb;0;65341;667;62954414;54565844;560921;62954475;0;SPECTRE
945869884511;55;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000066cb;0;3;14;1578;1543;564;1576;0;SPECTRE
945869884571;91;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000066cb;0;3;4;4175;4064;812;4167;0;SPECTRE
945869884666;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000066cb;0;0;4;749;639;132;741;0;SPECTRE
945869884689;111;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000066cb;0;1;1;10714;9477;344;10706;0;SPECTRE
945869884804;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000066cb;0;0;0;704;678;128;696;0;SPECTRE
945869884831;48957;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;5553;77;3383239;3126044;53206;3383231;0;SPECTRE
945869933794;16744;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;3;2;2402478;1860359;24;2402490;0;SPECTRE
945869950542;48909;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;5354;52;3379925;3113323;45582;3379910;0;SPECTRE
945869999457;48915;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;5260;54;3390343;3129128;45876;3390339;0;SPECTRE
945870048378;16721;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;5;2;2400861;1855865;36;2400873;0;SPECTRE
945870065104;48861;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;5497;50;3385424;3122460;45681;3385409;0;SPECTRE
945870113970;16729;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;7;2;2402181;1857921;24;2402192;0;SPECTRE
945870130703;16779;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;92;10;2403216;1860378;104;2403220;0;SPECTRE
945870147486;16790;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;14;1;2400907;1855497;32;2400925;0;SPECTRE
945870164281;80911;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;11243;52;4362596;4375547;91671;4362582;0;SPECTRE
945870245198;16714;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;7;2;2399825;1853886;44;2399837;0;SPECTRE
945870261916;48856;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;5479;47;3383794;3120658;45485;3383779;0;SPECTRE
945870310777;16713;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;5;2;2399523;1853484;20;2399535;0;SPECTRE
945870327494;48871;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;5273;55;3382886;3119676;46054;3382869;0;SPECTRE
945870376371;16713;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;5;2;2399406;1853209;48;2399418;0;SPECTRE
945870393088;48872;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;5148;50;3394251;3137251;46151;3394236;0;SPECTRE
945870441965;16718;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;7;2;2400221;1855052;8;2400232;0;SPECTRE
945870458687;48853;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;5544;45;3375251;3109988;45111;3375236;0;SPECTRE
945870507545;16734;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;7;2;2402389;1858514;8;2402401;0;SPECTRE
945870524284;48865;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;0;5328;49;3394476;3137658;45957;3394461;0;SPECTRE
945870573171;54367;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x000066cb;0;5328;62;4069225;3468721;45940;4069220;0;SPECTRE
945871484178;647610;"MAF";"INTERVAL";"PROBE";4;63;0x000066cb;1;50286;547;60129083;50869100;421789;60129081;0;SPECTRE
945871484201;84;"SENS_C1";"INTERVAL";"PROBE";4;63;0x000066cb;1;2;13;1600;1601;1316;1598;0;SPECTRE
945871484289;106;"LOC_C1";"INTERVAL";"PROBE";4;63;0x000066cb;1;4;5;4157;3924;1232;4149;0;SPECTRE
945871484400;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x000066cb;1;0;3;750;655;232;742;0;SPECTRE
945871484425;114;"LOC_C3";"INTERVAL";"PROBE";4;63;0x000066cb;1;1;1;10514;8501;564;10506;0;SPECTRE
945871484543;28;"LOC_C4";"INTERVAL";"PROBE";4;63;0x000066cb;1;0;3;718;736;224;710;0;SPECTRE
945871484575;16962;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;1;145;31;2405520;1860351;7756;2405513;0;SPECTRE
945871501542;16727;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;1;9;0;2399946;1852106;8;2399946;0;SPECTRE
945871518273;16808;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x000066cb;1;118;4;2403789;1855738;336;2403774;0;SPECTRE
