TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;L1D_CACHE;L1D_CACHE_REFILL;L1D_CACHE_WB;L2D_CACHE;L2D_CACHE_REFILL;L2D_CACHE_WB;LMC0;CONTEXT
921349338577;743350;"MAF";"INTERVAL";"PROBE";4;63;0x00006436;0;62932720;181242;6856;575030;111843;1938;0;SPECTRE
921349338823;53;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006436;0;1577;38;13;415;128;49;0;SPECTRE
921349338881;93;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006436;0;4170;30;19;455;159;44;0;SPECTRE
921349338979;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006436;0;762;11;3;84;27;7;0;SPECTRE
921349339004;112;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006436;0;10704;32;17;274;77;29;0;SPECTRE
921349339121;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006436;0;748;8;1;95;23;4;0;SPECTRE
921349339149;49082;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;3376236;15053;807;48836;10815;663;0;SPECTRE
921349388238;16716;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;2398965;146;57;2000;5;1;0;SPECTRE
921349404964;48873;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;3379445;15044;562;46100;9036;74;0;SPECTRE
921349453843;16713;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;2397907;149;55;1999;0;1;0;SPECTRE
921349470561;16781;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;2400888;353;133;3104;32;5;0;SPECTRE
921349487347;80890;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;4365099;29485;706;87517;18313;151;0;SPECTRE
921349568242;16706;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;2397273;133;178;2067;5;3;0;SPECTRE
921349584952;48899;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;3397957;15045;448;47763;9268;96;0;SPECTRE
921349633856;16786;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;2398320;137;163;2124;4;2;0;SPECTRE
921349650646;48909;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;3375368;15066;474;46448;9001;47;0;SPECTRE
921349699560;16704;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;2398536;130;137;2040;3;1;0;SPECTRE
921349716269;48867;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;3398861;14926;443;46489;9212;67;0;SPECTRE
921349765141;16705;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;2398092;144;103;2014;0;1;0;SPECTRE
921349781850;48865;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;3379039;14877;465;44910;8943;36;0;SPECTRE
921349830721;16714;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;2399453;144;76;2017;0;1;0;SPECTRE
921349847439;48847;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;3392338;14958;494;46592;9167;82;0;SPECTRE
921349896292;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;2397746;130;54;2019;0;1;0;SPECTRE
921349912996;48860;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;3375905;14858;490;45243;8929;60;0;SPECTRE
921349961861;16708;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;2397281;146;54;2009;1;2;0;SPECTRE
921349978574;48929;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;0;3395244;15019;524;46175;9286;153;0;SPECTRE
921350027520;54401;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00006436;0;4070835;14722;319;43450;9098;188;0;SPECTRE
921350938520;647729;"MAF";"INTERVAL";"PROBE";4;63;0x00006436;1;60123899;137923;6010;445818;84712;1564;0;SPECTRE
921350938543;81;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006436;1;1621;43;25;474;238;109;0;SPECTRE
921350938628;98;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006436;1;4144;28;23;476;187;91;0;SPECTRE
921350938730;25;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006436;1;758;13;2;93;36;14;0;SPECTRE
921350938761;108;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006436;1;10479;30;23;271;90;29;0;SPECTRE
921350938873;26;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006436;1;726;10;5;118;46;18;0;SPECTRE
921350938903;16989;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;2405028;424;399;5571;1296;645;0;SPECTRE
921350955897;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;2396808;129;54;1987;0;0;0;SPECTRE
921350972601;16827;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;2403762;476;236;3949;103;38;0;SPECTRE
921350989432;16705;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;2396869;129;54;1985;0;1;0;SPECTRE
921351006141;16835;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;2402838;441;214;3680;27;5;0;SPECTRE
921351022981;48850;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;3392984;15188;450;46020;9491;262;0;SPECTRE
921351071837;16707;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;2397456;147;176;2034;1;1;0;SPECTRE
921351088549;48966;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;3380566;14968;458;46241;9385;161;0;SPECTRE
921351137520;16706;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;2396591;148;153;2015;0;1;0;SPECTRE
921351154230;48902;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;3390889;15109;502;46453;9196;55;0;SPECTRE
921351203137;16706;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;2397298;131;136;2028;0;1;0;SPECTRE
921351219847;48867;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;3385117;15095;491;46440;9082;16;0;SPECTRE
921351268719;16701;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;2396736;130;112;2017;0;1;0;SPECTRE
921351285424;48910;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;3388374;14918;517;46128;9056;15;0;SPECTRE
921351334340;16706;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;2397529;131;83;2031;0;0;0;SPECTRE
921351351051;48852;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;3389227;15091;488;45788;9134;8;0;SPECTRE
921351399908;16711;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;2397763;131;54;2031;0;0;0;SPECTRE
921351416624;48858;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;3385768;14827;484;44936;8975;4;0;SPECTRE
921351465488;16718;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;2401074;130;54;2001;0;0;0;SPECTRE
921351482211;48874;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;1;3394554;14999;499;45312;9146;23;0;SPECTRE
921351531107;55137;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00006436;1;4189798;14731;301;44251;9161;56;0;SPECTRE
921352538505;648197;"MAF";"INTERVAL";"PROBE";4;63;0x00006436;2;60192926;137406;5797;443266;84092;1032;0;SPECTRE
921352538527;72;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00006436;2;1617;42;23;445;193;73;0;SPECTRE
921352538603;100;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00006436;2;5436;31;25;467;141;58;0;SPECTRE
921352538707;24;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00006436;2;758;11;2;87;30;10;0;SPECTRE
921352538737;101;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00006436;2;10542;27;19;233;76;10;0;SPECTRE
921352538843;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00006436;2;730;9;4;113;35;9;0;SPECTRE
921352538870;16930;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;2;2402659;419;395;5526;984;356;0;SPECTRE
921352555805;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;2;2395447;143;54;2001;1;0;0;SPECTRE
921352572498;16816;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;2;2399348;474;238;3898;56;15;0;SPECTRE
921352589318;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00006436;2;2394845;127;54;1977;0;1;0;SPECTRE
