TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
18298469951;1142220;"MAF";"INTERVAL";"PROBE";1;63;0x0000074f;0;92168699;32222460;13443618;8910220;610495;16050;0;NOSTRESS
18298470331;97;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000074f;0;2490;640;578;415;44;6;0;NOSTRESS
18298470443;228;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000074f;0;8059;2374;1320;1012;108;4;0;NOSTRESS
18298470678;66;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000074f;0;3023;703;480;526;73;3;0;NOSTRESS
18298470753;319;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000074f;0;21137;7614;2055;1631;143;15;0;NOSTRESS
18298471080;37;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000074f;0;1095;256;226;191;16;0;0;NOSTRESS
18298471124;53636;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4310663;1508993;629389;417164;29144;932;0;NOSTRESS
18298524768;53205;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4297988;1506025;627908;414416;28512;910;0;NOSTRESS
18298577980;53294;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4306492;1508052;629000;415939;28598;776;0;NOSTRESS
18298631282;53520;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4311663;1509068;629662;417087;28772;801;0;NOSTRESS
18298684810;53129;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4294988;1505349;627495;413820;28342;802;0;NOSTRESS
18298737947;53354;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4309702;1508727;629419;416582;28634;817;0;NOSTRESS
18298791308;53358;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4312597;1509392;629830;417183;28622;866;0;NOSTRESS
18298844674;53115;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4294968;1505333;627495;413809;28333;819;0;NOSTRESS
18298897796;53320;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4309277;1508655;629384;416511;28590;810;0;NOSTRESS
18298951123;53256;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4306329;1508006;628990;415918;28436;842;0;NOSTRESS
18299004386;53118;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4294785;1505321;627490;413780;28265;747;0;NOSTRESS
18299057512;53394;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4311316;1509115;629649;416853;28578;782;0;NOSTRESS
18299110913;53262;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4306465;1508038;628997;415936;28482;792;0;NOSTRESS
18299164182;53105;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4294961;1505352;627497;413817;28230;793;0;NOSTRESS
18299217294;53454;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4315192;1510000;630075;417872;28652;793;0;NOSTRESS
18299270758;53280;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4306456;1508038;629004;415934;28476;779;0;NOSTRESS
18299324045;53110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4294887;1505336;627493;413808;28246;680;0;NOSTRESS
18299377163;53187;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4300032;1506500;628117;414686;28346;813;0;NOSTRESS
18299430357;53272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4306836;1508095;629025;416007;28444;696;0;NOSTRESS
18299483636;53113;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000074f;0;4294918;1505338;627494;413808;28238;726;0;NOSTRESS
18299536759;75399;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x0000074f;0;6011245;2053107;858720;588176;39668;46;0;NOSTRESS
18300069852;1143952;"MAF";"INTERVAL";"PROBE";1;63;0x0000074f;1;92339664;32285975;13468651;8922251;610164;15667;0;NOSTRESS
