TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
131584640162;1141808;"MAF";"INTERVAL";"PROBE";1;63;0x00002aeb;0;92200481;32229445;13447801;8916483;611296;16190;0;CPUTHEFT
131584640516;103;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;2491;640;578;414;40;9;0;CPUTHEFT
131584640628;226;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;8054;2373;1318;1013;80;0;0;CPUTHEFT
131584640861;61;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002aeb;0;3022;702;480;526;59;7;0;CPUTHEFT
131584640930;315;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002aeb;0;21141;7613;2056;1632;141;14;0;CPUTHEFT
131584641252;48;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002aeb;0;1097;256;226;192;11;3;0;CPUTHEFT
131584641308;53378;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4299422;1506331;627891;415035;28738;936;0;CPUTHEFT
131584694693;53289;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4306801;1508092;629029;415975;28731;821;0;CPUTHEFT
131584747990;53750;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4341762;1515848;633705;423457;28862;830;0;CPUTHEFT
131584801747;53106;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4293729;1505034;627337;413621;28325;806;0;CPUTHEFT
131584854860;53338;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4310017;1508767;629429;416630;28640;809;0;CPUTHEFT
131584908205;53583;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4316632;1510325;630366;417921;30315;832;0;CPUTHEFT
131584961795;53141;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4298015;1506030;627916;414423;28350;826;0;CPUTHEFT
131585014943;53289;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4309717;1508735;629429;416585;28518;814;0;CPUTHEFT
131585068239;53339;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4312117;1509358;629695;416984;28639;855;0;CPUTHEFT
131585121585;53088;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4295069;1505361;627503;413826;28306;860;0;CPUTHEFT
131585174680;53241;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4307275;1508195;629107;416077;28443;804;0;CPUTHEFT
131585227928;53240;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4306592;1508050;629008;415960;28408;721;0;CPUTHEFT
131585281179;53081;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4295009;1505351;627499;413816;28217;784;0;CPUTHEFT
131585334266;53235;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4307484;1508238;629114;416118;28416;763;0;CPUTHEFT
131585387508;53227;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4307403;1508240;629114;416110;28332;793;0;CPUTHEFT
131585440742;53093;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4295344;1505429;627544;413880;28247;709;0;CPUTHEFT
131585493843;53236;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4307096;1508154;629063;416042;28463;773;0;CPUTHEFT
131585547086;53239;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4307091;1508150;629061;416039;28454;795;0;CPUTHEFT
131585600332;53083;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4295383;1505438;627551;413887;28235;773;0;CPUTHEFT
131585653422;53237;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;4307032;1508143;629062;416037;28323;800;0;CPUTHEFT
131585706675;75287;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00002aeb;0;6004537;2051562;857894;586941;39564;53;0;CPUTHEFT
131586240035;1142619;"MAF";"INTERVAL";"PROBE";1;63;0x00002aeb;1;92325821;32282807;13466882;8919530;611997;15971;0;CPUTHEFT
131586240051;94;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00002aeb;1;2488;640;578;415;28;9;0;CPUTHEFT
131586240154;175;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00002aeb;1;8057;2374;1318;1013;81;0;0;CPUTHEFT
131586240337;26;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00002aeb;1;1173;271;246;181;9;1;0;CPUTHEFT
131586240370;296;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00002aeb;1;21132;7612;2055;1632;124;12;0;CPUTHEFT
131586240674;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00002aeb;1;1097;256;226;192;10;3;0;CPUTHEFT
131586240722;53201;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00002aeb;1;4297772;1505887;627711;414503;29922;920;0;CPUTHEFT
