TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
20355958367;1145066;"MAF";"INTERVAL";"PROBE";1;63;0x00000d48;0;92291565;32249688;13459971;8934630;621962;16390;0;NOSTRESS
20355958791;115;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000d48;0;2492;640;578;415;42;9;0;NOSTRESS
20355958913;243;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000d48;0;8060;2373;1320;1013;114;0;0;NOSTRESS
20355959163;80;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000d48;0;3022;702;480;525;71;6;0;NOSTRESS
20355959253;320;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000d48;0;21139;7612;2056;1632;139;22;0;NOSTRESS
20355959582;37;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000d48;0;1097;256;226;192;12;0;0;NOSTRESS
20355959626;54406;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d48;0;4325052;1512154;631438;419679;32227;877;0;NOSTRESS
20356014044;53787;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d48;0;4316060;1510180;630345;417822;31474;834;0;NOSTRESS
20356067840;53557;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d48;0;4311162;1508971;629639;417134;31411;814;0;NOSTRESS
20356121404;53255;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d48;0;4302546;1507112;628506;415205;28474;833;0;NOSTRESS
20356174666;53620;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d48;0;4325927;1512362;631575;419910;29035;855;0;NOSTRESS
20356228300;53025;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d48;0;4287919;1503718;626570;412431;28202;773;0;NOSTRESS
20356281333;53440;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d48;0;4315723;1509994;630180;417877;28873;809;0;NOSTRESS
20356334780;53593;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d48;0;4327284;1512612;631723;420134;29090;845;0;NOSTRESS
20356388396;53492;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d48;0;4321659;1511407;630992;419036;28953;843;0;NOSTRESS
20356441895;53359;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000d48;0;4311502;1508997;629659;417195;28760;798;0;NOSTRESS
