TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
110620818042;2302025;"MAF";"INTERVAL";"PROBE";1;63;0x0000194f;0;103;27;121564668;179860863;10019;121567938;0;NOSTRESS
110620818401;99;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000194f;0;0;2;1455;2058;339;1459;0;NOSTRESS
110620818510;225;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000194f;0;0;0;3898;5985;573;3902;0;NOSTRESS
110620818742;65;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000194f;0;2;1;1449;2768;137;1460;0;NOSTRESS
110620818816;320;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000194f;0;0;0;9807;13528;364;9811;0;NOSTRESS
110620819145;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000194f;0;0;0;587;896;116;591;0;NOSTRESS
110620819193;117688;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;42;5;6302346;9429794;3686;6302564;0;NOSTRESS
110620936890;117531;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;1;1;6318917;9429818;1049;6319119;0;NOSTRESS
110621054428;85209;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;2;1;4239766;6084907;273;4239875;0;NOSTRESS
110621139644;117353;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;2;1;6319266;9422279;243;6319465;0;NOSTRESS
110621257005;117289;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;5;2;6320020;9421305;53;6320211;0;NOSTRESS
110621374301;85118;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;4;0;4241699;6081431;4;4241794;0;NOSTRESS
110621459427;117288;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;4;1;6322481;9426356;72;6322668;0;NOSTRESS
110621576722;117452;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;13;0;6317220;9416023;886;6317421;0;NOSTRESS
110621694181;85143;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;1;1;4240717;6082045;113;4240815;0;NOSTRESS
110621779331;117293;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;5;1;6320711;9421154;229;6320893;0;NOSTRESS
110621896632;117289;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;2;1;6319751;9418333;234;6319937;0;NOSTRESS
110622013928;85110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;1;0;4241714;6083241;24;4241812;0;NOSTRESS
110622099045;117268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;1;1;6322762;9423538;40;6322951;0;NOSTRESS
110622216320;117268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;2;1;6322735;9422342;32;6322925;0;NOSTRESS
110622333597;125046;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;1;0;6822176;10234120;146;6822396;0;NOSTRESS
110622458651;85128;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;3;1;4236194;6077682;286;4236301;0;NOSTRESS
110622543786;117292;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;1;1;6322554;9424699;75;6322743;0;NOSTRESS
110622661085;117270;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;2;1;6322441;9421486;36;6322622;0;NOSTRESS
110622778362;85112;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;1;0;4241967;6080516;28;4242062;0;NOSTRESS
110622863482;117266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;0;1;1;6322269;9426086;8;6322457;0;NOSTRESS
110622980758;139298;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x0000194f;0;1;2;7109964;10574314;620;7110154;0;NOSTRESS
110623125043;2304308;"MAF";"INTERVAL";"PROBE";1;63;0x0000194f;1;80;22;121679806;180001222;10457;121683201;0;NOSTRESS
110623125069;112;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000194f;1;0;2;1452;2080;448;1456;0;NOSTRESS
110623125190;205;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000194f;1;0;0;3901;6132;476;3905;0;NOSTRESS
110623125401;35;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000194f;1;0;1;651;912;108;655;0;NOSTRESS
110623125445;309;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000194f;1;0;0;9805;13288;316;9809;0;NOSTRESS
110623125763;40;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000194f;1;0;0;584;927;124;588;0;NOSTRESS
110623125809;117391;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;1;24;2;6319095;9420132;1197;6319286;0;NOSTRESS
110623243212;117419;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;1;6;2;6312930;9413719;2014;6313125;0;NOSTRESS
110623360646;85179;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;1;2;1;4240905;6084716;708;4241000;0;NOSTRESS
110623445843;117306;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;1;5;1;6321712;9426962;198;6321900;0;NOSTRESS
110623563157;117331;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;1;1;0;6321883;9424826;221;6322069;0;NOSTRESS
110623680495;85137;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;1;1;1;4241709;6085166;80;4241807;0;NOSTRESS
110623765641;117317;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;1;5;1;6322883;9425033;140;6323075;0;NOSTRESS
110623882965;117383;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;1;2;1;6322626;9427589;156;6322816;0;NOSTRESS
110624000356;125066;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;1;1;1;6821986;10228554;229;6822190;0;NOSTRESS
110624125429;85134;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;1;2;1;4237245;6079208;272;4237346;0;NOSTRESS
110624210570;117305;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;1;1;1;6322229;9425657;268;6322415;0;NOSTRESS
110624327883;117309;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000194f;1;3;0;6319537;9420317;152;6319721;0;NOSTRESS
