TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
34777346331;2300840;"MAF";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;121419531;0;179655815;62540;0;CPUTHEFT
34777346713;110;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;1456;0;2043;133;0;CPUTHEFT
34777346830;236;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;3902;0;6041;214;0;CPUTHEFT
34777347074;69;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;1449;0;2737;241;0;CPUTHEFT
34777347152;325;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;9812;0;13502;153;0;CPUTHEFT
34777347487;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;586;0;914;62;0;CPUTHEFT
34777347540;85557;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;4229830;0;6066135;2869;0;CPUTHEFT
34777433108;149488;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;8391159;0;12752250;4773;0;CPUTHEFT
34777582604;85298;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;4238997;0;6095064;2211;0;CPUTHEFT
34777667910;117490;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;6310622;0;9437104;3959;0;CPUTHEFT
34777785408;117389;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;6322892;0;9435805;3374;0;CPUTHEFT
34777902804;85133;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;4239568;0;6083102;1949;0;CPUTHEFT
34777987945;117285;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;6322659;0;9426144;3027;0;CPUTHEFT
34778105238;117294;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;6320909;0;9423029;2955;0;CPUTHEFT
34778222539;85120;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;4241916;0;6083540;1592;0;CPUTHEFT
34778307667;117277;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;6322405;0;9427091;2968;0;CPUTHEFT
34778424952;117288;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;6322425;0;9426569;2940;0;CPUTHEFT
34778542247;85121;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;4235257;0;6074954;1907;0;CPUTHEFT
34778627376;117279;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;6323171;0;9416245;3043;0;CPUTHEFT
34778744663;117289;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;6322803;0;9425749;3109;0;CPUTHEFT
34778861960;123129;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;6696253;0;10026800;3365;0;CPUTHEFT
34778985097;85116;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;4241727;0;6081345;1633;0;CPUTHEFT
34779070221;117445;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;6312234;0;9414392;3654;0;CPUTHEFT
34779187690;117693;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;6324313;0;9431326;3194;0;CPUTHEFT
34779305391;85172;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;4241021;0;6082683;1630;0;CPUTHEFT
34779390571;117285;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;6313195;0;9412914;3273;0;CPUTHEFT
34779507867;139293;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000a92;0;0;0;7109145;0;10573312;3181;0;CPUTHEFT
