TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
4932310026;2303480;"MAF";"INTERVAL";"PROBE";1;63;0x00000730;0;121451579;22043;40256;148517;2651;2487;0;NOSTRESS
4932310416;128;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000730;0;1452;47;52;239;111;28;0;NOSTRESS
4932310555;236;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000730;0;3898;26;25;258;151;27;0;NOSTRESS
4932310800;68;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000730;0;1448;31;44;291;45;8;0;NOSTRESS
4932310876;318;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000730;0;9807;26;47;217;91;26;0;NOSTRESS
4932311202;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000730;0;582;8;11;70;32;5;0;NOSTRESS
4932311252;118248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;6320080;1784;2821;11978;1186;296;0;NOSTRESS
4932429514;117942;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;6330504;1617;2510;11028;174;143;0;NOSTRESS
4932547484;85513;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;4244335;893;1800;6857;38;78;0;NOSTRESS
4932633004;117705;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;6326194;1288;2249;8914;113;108;0;NOSTRESS
4932750735;117413;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;6322018;1173;2074;7167;38;90;0;NOSTRESS
4932868161;85248;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;4241755;590;1467;4593;9;52;0;NOSTRESS
4932953416;117392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;6320262;958;1898;6801;29;56;0;NOSTRESS
4933070815;117394;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;6322651;1156;2001;7009;4;87;0;NOSTRESS
4933188216;85346;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;4243704;648;1516;4876;57;48;0;NOSTRESS
4933273569;117393;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;6322500;998;1881;6711;16;105;0;NOSTRESS
4933390969;117401;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;6319534;1088;1971;6930;41;78;0;NOSTRESS
4933508377;85230;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;4241585;589;1451;4513;11;62;0;NOSTRESS
4933593614;117597;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;6325328;1217;2170;7737;109;173;0;NOSTRESS
4933711218;117417;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;6321920;1084;1960;7000;12;109;0;NOSTRESS
4933828642;122523;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;6651446;1192;2135;7695;22;110;0;NOSTRESS
4933951172;85226;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;4241628;556;1405;4442;2;53;0;NOSTRESS
4934036407;117551;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;6326011;1219;2159;7967;42;155;0;NOSTRESS
4934153967;117397;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;6321072;1184;2079;7297;17;159;0;NOSTRESS
4934271373;85236;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;4240817;562;1438;4498;19;153;0;NOSTRESS
4934356617;117399;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;0;6320671;982;1856;6690;41;79;0;NOSTRESS
4934474024;139474;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000730;0;7110489;848;941;4943;156;97;0;NOSTRESS
4934651171;2305420;"MAF";"INTERVAL";"PROBE";1;63;0x00000730;1;121466257;21138;39510;142049;7010;2736;0;NOSTRESS
4934651195;142;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000730;1;1449;38;39;220;132;26;0;NOSTRESS
4934651346;236;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000730;1;3892;29;28;272;149;36;0;NOSTRESS
4934651590;41;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000730;1;648;13;19;74;37;8;0;NOSTRESS
4934651640;320;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000730;1;9805;27;42;189;89;24;0;NOSTRESS
4934651969;43;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000730;1;581;10;10;72;32;3;0;NOSTRESS
4934652020;85399;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;4236720;601;1557;4983;934;205;0;NOSTRESS
4934737428;117623;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;6316325;1080;2045;7185;882;208;0;NOSTRESS
4934855061;117589;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;6322773;1093;2022;7338;357;143;0;NOSTRESS
4934972668;85258;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;4241438;566;1379;4337;176;133;0;NOSTRESS
4935057935;117406;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;6320634;1016;1959;6950;196;130;0;NOSTRESS
4935175354;117410;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;6321992;1068;2012;7028;172;65;0;NOSTRESS
4935292771;85257;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;4241355;486;1329;4240;146;94;0;NOSTRESS
4935378049;117448;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;6322668;1023;1970;6871;200;120;0;NOSTRESS
4935495511;122667;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;6650847;1343;2311;8068;218;125;0;NOSTRESS
4935618187;85268;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;4241007;579;1500;4593;192;86;0;NOSTRESS
4935703471;117552;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;6324023;1202;2051;7292;146;64;0;NOSTRESS
4935821032;117674;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;6297233;1633;2565;10484;463;74;0;NOSTRESS
4935938715;85288;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;4229016;861;1752;6406;104;40;0;NOSTRESS
4936024010;117453;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;6312257;1432;2371;9093;89;114;0;NOSTRESS
4936141470;117529;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;6320939;1224;2202;7908;181;168;0;NOSTRESS
4936259014;85314;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;4239889;570;1438;4547;400;102;0;NOSTRESS
4936344340;117513;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;6318986;1080;1957;6894;395;172;0;NOSTRESS
4936461863;117636;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;6324698;1182;2078;7456;276;117;0;NOSTRESS
4936579508;85274;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;4241109;620;1523;4667;180;73;0;NOSTRESS
4936664792;117497;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;1;6318360;940;1834;6590;529;339;0;NOSTRESS
4936782306;174273;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00000730;1;9291308;1184;1280;6972;191;37;0;NOSTRESS
4936961911;2303833;"MAF";"INTERVAL";"PROBE";1;63;0x00000730;2;121241765;22136;40787;148946;7059;2968;0;NOSTRESS
4936961934;112;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00000730;2;1452;39;41;214;111;14;0;NOSTRESS
4936962058;235;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00000730;2;4920;31;34;298;130;42;0;NOSTRESS
4936962299;34;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00000730;2;647;16;24;86;31;4;0;NOSTRESS
4936962345;316;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00000730;2;9802;24;39;179;84;10;0;NOSTRESS
4936962670;45;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00000730;2;583;11;11;73;33;2;0;NOSTRESS
4936962721;85358;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;2;4236228;664;1628;5238;459;187;0;NOSTRESS
4937048088;117603;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;2;6326916;1198;2146;7998;231;135;0;NOSTRESS
4937165698;117477;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;2;6321908;1027;1926;6978;221;115;0;NOSTRESS
4937283185;85285;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;2;4241434;566;1455;4529;93;54;0;NOSTRESS
4937368480;117528;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;2;6323562;1063;2007;7277;119;57;0;NOSTRESS
4937486015;117414;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;2;6322665;1018;1914;6832;28;17;0;NOSTRESS
4937603436;85230;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;2;4240167;619;1494;4609;17;29;0;NOSTRESS
4937688692;117662;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;2;6322280;1152;2111;7766;316;143;0;NOSTRESS
4937806363;117499;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;2;6316786;1069;2042;7106;501;248;0;NOSTRESS
4937923878;85366;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;2;4238235;642;1525;4766;447;180;0;NOSTRESS
4938009255;117451;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00000730;2;6322410;958;1855;6694;207;128;0;NOSTRESS
