TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
181837686558;743634;"MAF";"INTERVAL";"PROBE";4;63;0x0000228a;0;77193811;42905529;119897781;246637362;94876254;27662;0;NOSTRESS
181837686932;53;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000228a;0;803;650;1572;3115;1470;133;0;NOSTRESS
181837686990;94;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000228a;0;2831;1522;4171;9583;4137;169;0;NOSTRESS
181837687089;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000228a;0;369;307;766;1574;689;22;0;NOSTRESS
181837687112;106;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000228a;0;9374;2505;10565;25804;9071;80;0;NOSTRESS
181837687222;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000228a;0;350;290;709;1463;681;37;0;NOSTRESS
181837687248;48940;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;4877010;2971167;8049199;16324719;6417893;2719;0;NOSTRESS
181837736194;16729;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;1945876;771790;2402024;5292553;1856853;16;0;NOSTRESS
181837752934;48956;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;4912653;3000233;8117590;16460159;6475734;2457;0;NOSTRESS
181837801897;48965;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;4979025;2953015;8140561;16480517;6501965;2235;0;NOSTRESS
181837850869;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;1939612;770105;2397598;5278142;1852593;29;0;NOSTRESS
181837867583;48922;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;4977142;2952899;8139872;16476575;6498287;2430;0;NOSTRESS
181837916510;16707;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;1939703;770180;2397590;5278383;1851248;34;0;NOSTRESS
181837933221;48870;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;4978075;2953297;8140839;16477104;6497676;2169;0;NOSTRESS
181837982097;16780;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;1939977;770294;2397993;5278850;1851539;58;0;NOSTRESS
181837998881;48918;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;4911852;2999277;8118255;16458140;6473643;2550;0;NOSTRESS
181838047805;16714;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;1944465;771300;2401414;5288431;1854272;33;0;NOSTRESS
181838064523;48860;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;4914881;3001903;8125821;16467710;6475055;2098;0;NOSTRESS
181838113389;16708;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;1943788;770861;2400986;5286549;1853734;32;0;NOSTRESS
181838130101;48899;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;4916274;3002413;8127959;16473135;6477483;2358;0;NOSTRESS
181838179005;16710;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;1943928;771054;2401114;5287332;1853435;23;0;NOSTRESS
181838195720;48913;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;4912304;3000302;8115166;16458224;6480158;2258;0;NOSTRESS
181838244639;16712;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;1942670;771018;2399749;5285103;1852993;23;0;NOSTRESS
181838261355;48881;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;4986679;2958384;8161203;16507283;6499559;2138;0;NOSTRESS
181838310241;16703;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;1940575;770264;2398441;5279991;1850698;17;0;NOSTRESS
181838326948;48846;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;0;4924094;3011412;8147100;16502877;6488966;1298;0;NOSTRESS
181838375799;54387;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x0000228a;0;5396485;3149969;8875406;17894740;6871486;1396;0;NOSTRESS
181839286532;647446;"MAF";"INTERVAL";"PROBE";4;63;0x0000228a;1;68613166;36247501;103196144;213815345;81253931;14905;0;NOSTRESS
181839286550;78;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000228a;1;853;682;1630;3281;1636;135;0;NOSTRESS
181839286632;98;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000228a;1;2772;1504;4182;9358;4021;162;0;NOSTRESS
181839286735;17;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000228a;1;346;300;748;1465;645;21;0;NOSTRESS
181839286757;114;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000228a;1;8870;2406;10429;24455;8278;90;0;NOSTRESS
181839286876;24;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000228a;1;359;290;719;1486;744;31;0;NOSTRESS
181839286904;16959;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;1942399;772166;2403001;5293019;1857097;913;0;NOSTRESS
181839303868;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;1938255;769667;2396457;5275036;1849585;12;0;NOSTRESS
181839320568;16823;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;1942892;771815;2403666;5292431;1855883;551;0;NOSTRESS
181839337396;16826;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;1943119;771617;2403859;5292686;1855312;511;0;NOSTRESS
181839354227;16679;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;1937367;768934;2396506;5272252;1847031;23;0;NOSTRESS
181839370910;48827;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;4993513;2964837;8183636;16533283;6505010;1126;0;NOSTRESS
181839419743;16697;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;1940946;770052;2398896;5280317;1851104;28;0;NOSTRESS
181839436445;48858;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;4996722;2966030;8185985;16542686;6511670;1323;0;NOSTRESS
181839485308;16715;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;1943679;771042;2400556;5286685;1854653;25;0;NOSTRESS
181839502028;48843;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;4995031;2964433;8181626;16535008;6509014;1341;0;NOSTRESS
181839550876;16714;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;1943817;771017;2400779;5286788;1854703;29;0;NOSTRESS
181839567594;48836;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;4995844;2965394;8184949;16539424;6510012;1324;0;NOSTRESS
181839616435;16701;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;1941447;770292;2399255;5281436;1852431;29;0;NOSTRESS
181839633140;48944;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;4999775;2966740;8187272;16550303;6515385;1433;0;NOSTRESS
181839682089;16714;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;1943397;771031;2400223;5286182;1855115;29;0;NOSTRESS
181839698807;48842;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;4917166;3005655;8133445;16476657;6484175;1349;0;NOSTRESS
181839747655;16698;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000228a;1;1939816;770049;2397909;5278090;1851730;22;0;NOSTRESS
