TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
130089489160;1143046;"MAF";"INTERVAL";"PROBE";1;63;0x0000352c;0;46391051;11141;26521;84216;1734;1466;0;SPECTRE
130089489548;109;"SENS_C1";"INTERVAL";"PROBE";1;63;0x0000352c;0;1452;48;54;257;93;20;0;SPECTRE
130089489664;238;"LOC_C1";"INTERVAL";"PROBE";1;63;0x0000352c;0;3895;30;34;282;155;28;0;SPECTRE
130089489908;69;"LOC_C2";"INTERVAL";"PROBE";1;63;0x0000352c;0;1445;39;39;290;37;5;0;SPECTRE
130089489987;326;"LOC_C3";"INTERVAL";"PROBE";1;63;0x0000352c;0;9804;28;46;235;97;17;0;SPECTRE
130089490322;35;"LOC_C4";"INTERVAL";"PROBE";1;63;0x0000352c;0;582;9;9;68;28;8;0;SPECTRE
130089490364;53627;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000352c;0;2173818;812;1688;5772;778;202;0;SPECTRE
130089544003;53179;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000352c;0;2167415;370;1194;3551;79;47;0;SPECTRE
130089597189;53440;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000352c;0;2174717;756;1540;5413;59;67;0;SPECTRE
130089650636;53357;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000352c;0;2173708;618;1493;5027;16;44;0;SPECTRE
130089704001;53154;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000352c;0;2167338;439;1210;3541;1;35;0;SPECTRE
130089757162;53171;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000352c;0;2168145;349;1126;3408;7;47;0;SPECTRE
130089810341;53298;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000352c;0;2172449;563;1313;4347;13;53;0;SPECTRE
130089863647;53177;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000352c;0;2166035;428;1195;3277;4;44;0;SPECTRE
130089916832;53355;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x0000352c;0;2171134;445;1200;3861;7;44;0;SPECTRE
