TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
257902358043;1143528;"MAF";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;46435857;0;59273636;38952;0;SPECTRE
257902358452;97;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;1456;0;2090;131;0;SPECTRE
257902358561;227;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;3903;0;6121;201;0;SPECTRE
257902358794;66;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;1451;0;2707;237;0;SPECTRE
257902358870;318;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;9813;0;13528;155;0;SPECTRE
257902359197;35;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;586;0;906;67;0;SPECTRE
257902359239;54204;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2181437;0;2816642;3653;0;SPECTRE
257902413453;53587;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2177625;0;2784925;2781;0;SPECTRE
257902467048;53406;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2172941;0;2768321;1983;0;SPECTRE
257902520461;53603;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2179361;0;2778138;3097;0;SPECTRE
257902574072;53592;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2179065;0;2778927;3031;0;SPECTRE
257902627671;53127;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2166149;0;2751621;998;0;SPECTRE
257902680804;53490;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2177767;0;2778335;2706;0;SPECTRE
257902734301;53285;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2171154;0;2762302;1519;0;SPECTRE
257902787594;53237;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2168003;0;2752369;1082;0;SPECTRE
257902840838;53260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2171135;0;2760050;1548;0;SPECTRE
257902894105;53265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2171163;0;2761050;1537;0;SPECTRE
257902947377;53114;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2166038;0;2751553;836;0;SPECTRE
257903000498;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2171175;0;2761617;1493;0;SPECTRE
257903053771;53263;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2171155;0;2759567;1503;0;SPECTRE
257903107042;53103;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2166054;0;2748196;850;0;SPECTRE
257903160152;53263;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2171058;0;2761240;1507;0;SPECTRE
257903213422;53260;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2171154;0;2759406;1474;0;SPECTRE
257903266688;53112;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2166074;0;2748583;832;0;SPECTRE
257903319807;53255;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2171007;0;2761344;1487;0;SPECTRE
257903373069;53251;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2171123;0;2761506;1468;0;SPECTRE
257903426329;75230;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000047c4;0;0;0;2958211;0;3907739;1643;0;SPECTRE
257903957985;1145855;"MAF";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;46506898;0;59647014;32389;0;SPECTRE
257903958012;105;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;1451;0;2091;139;0;SPECTRE
257903958124;202;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;3896;0;5958;198;0;SPECTRE
257903958335;35;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;651;0;914;47;0;SPECTRE
257903958379;316;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;9807;0;13300;131;0;SPECTRE
257903958705;44;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;586;0;933;71;0;SPECTRE
257903958755;53358;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2171905;0;2766212;1872;0;SPECTRE
257904012121;53278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2171126;0;2759014;1588;0;SPECTRE
257904065406;53114;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2166211;0;2754813;890;0;SPECTRE
257904118527;53271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2171351;0;2749957;1510;0;SPECTRE
257904171805;53203;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2168298;0;2754278;1234;0;SPECTRE
257904225015;53307;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2170353;0;2775697;1473;0;SPECTRE
257904278330;53350;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2171208;0;2785459;1532;0;SPECTRE
257904331688;54047;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2184978;0;2812532;3400;0;SPECTRE
257904385744;53118;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2166125;0;2743511;923;0;SPECTRE
257904438870;53373;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2173049;0;2769148;1768;0;SPECTRE
257904492250;53337;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2171302;0;2781217;1547;0;SPECTRE
257904545595;53229;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2166013;0;2776997;831;0;SPECTRE
257904598832;53380;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2171141;0;2785997;1509;0;SPECTRE
257904652219;53378;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2171217;0;2788264;1499;0;SPECTRE
257904705607;53234;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2166143;0;2776997;847;0;SPECTRE
257904758849;53424;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2171376;0;2787143;1496;0;SPECTRE
257904812284;53406;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2171210;0;2786943;1484;0;SPECTRE
257904865702;53249;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2166128;0;2775148;873;0;SPECTRE
257904918962;53396;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2171251;0;2786769;1530;0;SPECTRE
257904972370;53397;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;2171310;0;2787189;1503;0;SPECTRE
257905025780;78050;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x000047c4;1;0;0;3062586;0;4093092;1529;0;SPECTRE
257905558025;1149042;"MAF";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;46604207;0;59912517;30125;0;SPECTRE
257905558059;152;"SENS_C1";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;1455;0;2047;140;0;SPECTRE
257905558219;268;"LOC_C1";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;4922;0;7476;211;0;SPECTRE
257905558496;38;"LOC_C2";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;650;0;923;40;0;SPECTRE
257905558545;308;"LOC_C3";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;9807;0;13320;134;0;SPECTRE
257905558862;40;"LOC_C4";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;587;0;905;67;0;SPECTRE
257905558910;53595;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;2172175;0;2794948;1832;0;SPECTRE
257905612514;53394;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;2171160;0;2789966;1499;0;SPECTRE
257905665917;53230;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;2166126;0;2778358;847;0;SPECTRE
257905719155;53421;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;2171289;0;2788985;1560;0;SPECTRE
257905772585;53384;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;2171132;0;2789762;1479;0;SPECTRE
257905825980;53231;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;2166036;0;2780125;849;0;SPECTRE
257905879218;53381;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;2171245;0;2790110;1517;0;SPECTRE
257905932606;53662;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;2171978;0;2788905;1875;0;SPECTRE
257905986279;53232;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;2166198;0;2780062;863;0;SPECTRE
257906039518;53385;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;2171136;0;2789146;1501;0;SPECTRE
257906092911;53503;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x000047c4;2;0;0;2173002;0;2792828;1708;0;SPECTRE
