TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
701018247347;1142619;"MAF";"INTERVAL";"PROBE";1;63;0x00004dfa;0;70;28;46407219;59167524;9694;46408648;0;SPECTRE
701018247725;107;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;1;3;1455;2089;428;1459;0;SPECTRE
701018247840;231;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;1;0;3900;6003;634;3904;0;SPECTRE
701018248077;66;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00004dfa;0;1;3;1448;2720;137;1459;0;SPECTRE
701018248154;314;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00004dfa;0;0;0;9812;13245;352;9816;0;SPECTRE
701018248477;36;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00004dfa;0;0;0;585;912;92;589;0;SPECTRE
701018248519;53339;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;31;11;2167438;2751857;2992;2167485;0;SPECTRE
701018301867;53497;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;16;3;2174396;2771153;885;2174496;0;SPECTRE
701018355371;53425;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;1;0;2173848;2770952;216;2173945;0;SPECTRE
701018408803;53193;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;0;0;2167427;2755277;139;2167479;0;SPECTRE
701018462003;53404;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;0;0;2173737;2764791;213;2173840;0;SPECTRE
701018515415;53327;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;0;0;2172395;2762757;114;2172490;0;SPECTRE
701018568748;53115;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;1;0;2166144;2751144;53;2166192;0;SPECTRE
701018621872;53342;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;0;0;2172510;2763439;93;2172600;0;SPECTRE
701018675221;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;0;0;2171157;2758532;71;2171242;0;SPECTRE
701018728487;53103;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;0;0;2166106;2750205;26;2166154;0;SPECTRE
701018781597;53187;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;0;0;2168263;2754079;65;2168343;0;SPECTRE
701018834791;53345;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;0;0;2171841;2761802;149;2171928;0;SPECTRE
701018888144;53180;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;0;0;2167500;2753362;117;2167549;0;SPECTRE
701018941331;53254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;0;0;2171088;2760113;88;2171172;0;SPECTRE
701018994592;53412;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;0;0;2173826;2765875;195;2173926;0;SPECTRE
701019048011;53153;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004dfa;0;0;0;2166045;2753256;511;2166092;0;SPECTRE
