TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
708435963927;1146622;"MAF";"INTERVAL";"PROBE";1;63;0x00004fce;0;46506357;13384;29647;100283;3520;2036;0;SPECTRE
708435964275;109;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00004fce;0;1451;44;50;238;93;15;0;SPECTRE
708435964394;238;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00004fce;0;3895;26;27;275;141;23;0;SPECTRE
708435964639;71;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00004fce;0;1448;31;36;285;35;10;0;SPECTRE
708435964720;317;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00004fce;0;9810;27;40;202;86;8;0;SPECTRE
708435965046;35;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00004fce;0;582;8;11;71;19;8;0;SPECTRE
708435965088;56259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2242994;1946;3482;11083;2408;591;0;SPECTRE
708436021360;53593;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2177034;720;1555;5927;165;112;0;SPECTRE
708436074961;53544;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2178070;676;1512;5845;50;49;0;SPECTRE
708436128512;53183;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2167402;498;1279;3747;15;54;0;SPECTRE
708436181703;53590;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2178646;878;1681;6352;58;73;0;SPECTRE
708436235302;53567;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2179291;697;1562;6190;13;59;0;SPECTRE
708436288876;53366;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2172857;492;1249;4553;18;89;0;SPECTRE
708436342249;53514;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2177783;830;1661;6098;20;106;0;SPECTRE
708436395770;53266;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2171018;461;1294;4146;13;31;0;SPECTRE
708436449044;53102;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2166023;216;966;2741;11;26;0;SPECTRE
708436502153;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2171120;559;1354;4166;12;56;0;SPECTRE
708436555419;53279;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2171257;620;1331;4174;12;59;0;SPECTRE
708436608705;53112;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2166184;334;1021;2888;5;30;0;SPECTRE
708436661825;53411;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2173147;808;1546;4886;80;81;0;SPECTRE
708436715243;53263;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2171287;516;1269;4029;16;54;0;SPECTRE
708436768513;53159;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2166252;235;1027;2888;5;30;0;SPECTRE
708436821679;53393;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2171289;695;1347;4207;12;64;0;SPECTRE
708436875079;53369;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2171332;453;1267;3979;9;83;0;SPECTRE
708436928455;53222;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2166134;360;1064;2950;4;80;0;SPECTRE
708436981684;53388;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2171456;674;1392;4255;10;88;0;SPECTRE
708437035081;75459;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00004fce;0;2958725;339;386;2376;139;67;0;SPECTRE
708437563832;1148065;"MAF";"INTERVAL";"PROBE";1;63;0x00004fce;1;46524287;12263;28393;90883;4164;2889;0;SPECTRE
708437563849;104;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00004fce;1;1450;43;49;237;100;47;0;SPECTRE
708437563959;196;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00004fce;1;3894;25;26;263;107;34;0;SPECTRE
708437564163;30;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00004fce;1;647;14;22;77;25;13;0;SPECTRE
708437564203;313;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00004fce;1;9801;26;43;202;71;30;0;SPECTRE
708437564525;42;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00004fce;1;581;10;10;74;28;18;0;SPECTRE
708437564573;53422;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2171729;535;1439;4717;25;164;0;SPECTRE
708437618003;53383;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2171269;490;1260;4058;9;78;0;SPECTRE
708437671394;56702;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2202672;2733;3706;13423;2804;1645;0;SPECTRE
708437728109;53239;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2166099;268;1125;3101;84;83;0;SPECTRE
708437781357;53389;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2171307;515;1334;4189;24;83;0;SPECTRE
708437834753;53392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2171256;648;1455;4441;13;51;0;SPECTRE
708437888152;53220;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2166106;272;1031;2910;13;20;0;SPECTRE
708437941379;53383;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2171136;574;1382;4285;13;28;0;SPECTRE
708437994769;53376;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2171178;494;1273;3959;14;18;0;SPECTRE
708438048153;53217;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2166111;268;1072;2964;12;41;0;SPECTRE
708438101377;53303;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2171319;715;1463;4409;14;43;0;SPECTRE
708438154687;53244;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2171037;458;1263;3964;12;17;0;SPECTRE
708438207939;53116;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2166009;469;1229;3277;9;74;0;SPECTRE
708438261062;53283;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2171249;448;1219;3922;132;228;0;SPECTRE
708438314359;53442;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2173128;607;1403;4591;208;64;0;SPECTRE
708438367815;53123;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2166119;378;1134;3071;63;29;0;SPECTRE
708438420946;53265;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2171228;457;1288;4017;54;13;0;SPECTRE
708438474220;53348;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2172772;566;1362;4378;127;20;0;SPECTRE
708438527582;53111;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2166077;249;1050;2949;28;9;0;SPECTRE
708438580702;53263;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00004fce;1;2171308;471;1246;3948;27;5;0;SPECTRE
708438633976;77913;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00004fce;1;3062510;296;280;2109;98;12;0;SPECTRE
708439163903;1149385;"MAF";"INTERVAL";"PROBE";1;63;0x00004fce;2;46606110;9891;25524;80645;2363;721;0;SPECTRE
708439163925;120;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00004fce;2;1451;42;51;237;127;5;0;SPECTRE
708439164053;243;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00004fce;2;4914;32;35;301;141;11;0;SPECTRE
708439164303;35;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00004fce;2;647;17;21;89;28;6;0;SPECTRE
708439164347;311;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00004fce;2;9803;23;35;179;83;0;0;SPECTRE
708439164667;46;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00004fce;2;583;9;9;79;32;1;0;SPECTRE
