TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
181340514352;1142736;"MAF";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;46421960;0;59194150;35554;0;NOSTRESS
181340514718;103;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;1456;0;2096;141;0;NOSTRESS
181340514830;235;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;3907;0;6109;197;0;NOSTRESS
181340515072;66;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;1450;0;2764;221;0;NOSTRESS
181340515146;319;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;9809;0;13381;155;0;NOSTRESS
181340515473;38;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;585;0;934;64;0;NOSTRESS
181340515518;53562;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2169967;0;2769699;1898;0;NOSTRESS
181340569087;53449;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2171935;0;2778063;1830;0;NOSTRESS
181340622543;53722;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2185111;0;2794537;2528;0;NOSTRESS
181340676272;53131;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2166486;0;2750008;1025;0;NOSTRESS
181340729410;53342;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2173148;0;2754644;1906;0;NOSTRESS
181340782759;53436;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2175214;0;2769327;2352;0;NOSTRESS
181340836202;53233;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2168107;0;2752590;1328;0;NOSTRESS
181340889442;53398;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2174117;0;2769002;2196;0;NOSTRESS
181340942847;53291;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2171903;0;2764951;1789;0;NOSTRESS
181340996145;53124;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2166445;0;2752976;902;0;NOSTRESS
181341049276;53277;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2171850;0;2751928;1602;0;NOSTRESS
181341102560;53272;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2171847;0;2760929;1597;0;NOSTRESS
181341155839;53236;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2168304;0;2754096;1123;0;NOSTRESS
181341209083;53276;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2171867;0;2758372;1639;0;NOSTRESS
181341262366;53278;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2171882;0;2765111;1584;0;NOSTRESS
181341315651;53112;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2165981;0;2752630;863;0;NOSTRESS
181341368770;53271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2171541;0;2760537;1605;0;NOSTRESS
181341422048;53301;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2171647;0;2759304;1588;0;NOSTRESS
181341475356;53129;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2166828;0;2752363;954;0;NOSTRESS
181341528492;53287;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2171863;0;2749695;1604;0;NOSTRESS
181341581797;75281;"TRAJ_R1";"INTERVAL";"PROBE";1;63;0x00003d99;0;0;0;2958905;0;3913665;1756;0;NOSTRESS
181342114205;1145639;"MAF";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;46475206;0;59770613;28359;0;NOSTRESS
181342114220;74;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;1452;0;2103;130;0;NOSTRESS
181342114302;172;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;3895;0;6083;200;0;NOSTRESS
181342114483;27;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;650;0;885;40;0;NOSTRESS
181342114516;291;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;9807;0;13406;139;0;NOSTRESS
181342114817;41;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;585;0;901;67;0;NOSTRESS
181342114864;53271;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;2166880;0;2779841;1157;0;NOSTRESS
181342168142;53396;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;2171269;0;2788456;1597;0;NOSTRESS
181342221545;53378;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;2171184;0;2785170;1541;0;NOSTRESS
181342274930;53223;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;2166124;0;2778491;864;0;NOSTRESS
181342328160;53379;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;2171113;0;2785460;1532;0;NOSTRESS
181342381546;53378;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;2171197;0;2788663;1538;0;NOSTRESS
181342434931;53228;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;2166171;0;2774192;843;0;NOSTRESS
181342488166;53384;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;2171190;0;2790118;1501;0;NOSTRESS
181342541557;53366;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;2171116;0;2785028;1498;0;NOSTRESS
181342594930;53224;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;2166252;0;2777670;889;0;NOSTRESS
181342648161;53296;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;2168231;0;2781006;1178;0;NOSTRESS
181342701463;53367;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;2171078;0;2785539;1513;0;NOSTRESS
181342754837;53218;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00003d99;1;0;0;2166068;0;2775301;854;0;NOSTRESS
