TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
745023752703;358642;"MAF";"INTERVAL";"PROBE";4;63;0x0000560a;0;51172724;7575;3362;69338;2099;696;0;SPECTRE
745023752970;58;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000560a;0;1637;38;9;410;113;32;0;SPECTRE
745023753032;99;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000560a;0;4199;27;11;439;165;50;0;SPECTRE
745023753135;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000560a;0;780;10;7;78;26;12;0;SPECTRE
745023753158;112;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000560a;0;10702;27;9;226;76;21;0;SPECTRE
745023753274;21;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000560a;0;729;8;1;90;28;9;0;SPECTRE
745023753299;16732;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000560a;0;2399525;141;230;2788;431;142;0;SPECTRE
745023770036;16902;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000560a;0;2405898;457;210;4626;226;70;0;SPECTRE
745023786943;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000560a;0;2396983;140;50;1863;0;0;0;SPECTRE
745023803639;16994;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000560a;0;2408254;665;325;5375;332;104;0;SPECTRE
745023820638;16711;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000560a;0;2399217;125;48;1869;0;1;0;SPECTRE
745023837353;16879;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000560a;0;2405735;559;261;4445;41;4;0;SPECTRE
745023854237;16807;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000560a;0;2402919;457;114;3780;35;3;0;SPECTRE
745023871048;16680;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000560a;0;2396522;123;149;1936;0;1;0;SPECTRE
745023887732;16855;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000560a;0;2404664;473;158;3950;27;3;0;SPECTRE
745023904592;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000560a;0;2398969;138;132;1944;0;1;0;SPECTRE
745023921290;16843;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000560a;0;2406520;576;184;4167;31;4;0;SPECTRE
745023938138;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000560a;0;2397686;123;122;1947;0;1;0;SPECTRE
745023954831;16822;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000560a;0;2404469;532;185;4144;18;0;0;SPECTRE
745023971657;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000560a;0;2397428;138;112;1904;0;1;0;SPECTRE
