TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
818881176563;359232;"MAF";"INTERVAL";"PROBE";4;63;0x00005a1d;0;51203245;7745;3360;69578;2846;969;0;SPECTRE
818881176829;59;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;1608;44;20;427;121;35;0;SPECTRE
818881176892;95;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;4156;30;7;420;153;34;0;SPECTRE
818881176992;18;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00005a1d;0;760;12;5;77;29;10;0;SPECTRE
818881177016;112;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00005a1d;0;10642;28;4;249;84;31;0;SPECTRE
818881177132;21;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00005a1d;0;711;8;2;95;23;4;0;SPECTRE
818881177158;17072;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2406541;526;415;6120;983;306;0;SPECTRE
818881194234;16713;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2398136;137;59;1941;0;1;0;SPECTRE
818881210951;16790;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2401567;359;102;2930;70;18;0;SPECTRE
818881227745;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2397478;121;58;1913;0;1;0;SPECTRE
818881244449;16805;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2403853;458;185;3474;47;10;0;SPECTRE
818881261259;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2398009;137;57;1913;0;0;0;SPECTRE
818881277958;16747;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2400197;336;115;2851;29;8;0;SPECTRE
818881294709;17091;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2420888;652;187;4964;264;80;0;SPECTRE
818881311805;16752;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2399422;122;173;2063;3;2;0;SPECTRE
818881328561;16822;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2404262;456;129;3961;17;3;0;SPECTRE
818881345388;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2397476;121;125;1940;0;0;0;SPECTRE
818881362078;16834;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2404886;533;170;4066;20;5;0;SPECTRE
818881378917;16703;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2399117;138;128;1935;0;0;0;SPECTRE
818881395625;17044;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2418814;692;292;4921;190;51;0;SPECTRE
818881412673;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2397096;139;105;1933;0;0;0;SPECTRE
818881429363;16872;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2405817;542;229;4327;170;70;0;SPECTRE
818881446239;16702;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2399352;138;85;1929;0;0;0;SPECTRE
818881462945;16813;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2403187;415;166;3434;20;9;0;SPECTRE
818881479763;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2398145;138;77;1927;0;0;0;SPECTRE
818881496459;16930;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;2406979;617;288;4976;291;108;0;SPECTRE
818881513395;22396;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00005a1d;0;3100463;408;111;2584;157;89;0;SPECTRE
818882776580;358440;"MAF";"INTERVAL";"PROBE";4;63;0x00005a1d;1;51248086;6300;2630;57670;2081;1122;0;SPECTRE
818882776609;88;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;1639;50;35;469;232;130;0;SPECTRE
818882776702;103;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;4139;30;20;460;191;103;0;SPECTRE
818882776809;23;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00005a1d;1;761;14;8;96;39;22;0;SPECTRE
818882776838;111;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00005a1d;1;10538;28;10;258;106;61;0;SPECTRE
818882776953;29;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00005a1d;1;743;9;2;97;38;28;0;SPECTRE
818882776986;17027;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2409514;582;475;6345;1180;664;0;SPECTRE
818882794017;16696;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2397259;123;55;1945;0;1;0;SPECTRE
818882810717;16795;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2403202;417;178;3486;13;4;0;SPECTRE
818882827517;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2397137;126;57;1948;0;1;0;SPECTRE
818882844213;16781;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2403345;433;181;3280;10;3;0;SPECTRE
818882860998;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2398048;123;58;1931;0;0;0;SPECTRE
818882877687;16748;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2400933;344;115;2762;22;3;0;SPECTRE
818882894440;16785;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2404203;423;101;3169;22;6;0;SPECTRE
818882911229;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2396559;140;140;1977;0;1;0;SPECTRE
818882927919;16734;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2400016;336;70;2686;9;1;0;SPECTRE
818882944657;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2396897;140;95;1943;0;0;0;SPECTRE
818882961349;16781;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2403475;431;122;3176;9;1;0;SPECTRE
818882978134;16688;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2396911;123;117;1954;0;1;0;SPECTRE
818882994826;16744;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2400935;338;83;2694;8;1;0;SPECTRE
818883011574;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2397729;123;81;1908;0;1;0;SPECTRE
818883028269;16772;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2402794;435;159;3168;8;1;0;SPECTRE
818883045046;16703;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2399126;140;84;1941;0;1;0;SPECTRE
818883061753;16746;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2400557;334;95;2709;11;4;0;SPECTRE
818883078503;16693;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2397880;140;69;1907;0;1;0;SPECTRE
818883095200;16777;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;2403462;418;169;3186;8;0;0;SPECTRE
818883111983;23033;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00005a1d;1;3201411;187;34;1078;123;65;0;SPECTRE
818884376590;359339;"MAF";"INTERVAL";"PROBE";4;63;0x00005a1d;2;51325007;6447;2683;59829;2435;1261;0;SPECTRE
818884376614;85;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;1619;47;29;466;200;91;0;SPECTRE
818884376704;104;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;5465;32;24;456;148;55;0;SPECTRE
818884376812;22;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00005a1d;2;759;12;6;91;38;19;0;SPECTRE
818884376839;102;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00005a1d;2;10489;27;7;210;79;38;0;SPECTRE
818884376945;27;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00005a1d;2;739;8;2;86;39;28;0;SPECTRE
818884376976;17007;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2405252;474;393;5685;1102;641;0;SPECTRE
818884393987;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2395852;121;56;1949;0;1;0;SPECTRE
818884410672;16793;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2403255;431;177;3454;17;2;0;SPECTRE
818884427470;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2397927;141;58;1941;0;1;0;SPECTRE
818884444173;16723;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2397966;345;104;2738;27;3;0;SPECTRE
818884460900;16683;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2396456;121;58;1915;0;0;0;SPECTRE
818884477587;16830;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2403751;539;256;3796;70;35;0;SPECTRE
818884494421;16777;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2401863;416;97;3322;10;3;0;SPECTRE
818884511202;16681;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2395269;121;142;1964;0;0;0;SPECTRE
818884527887;16726;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2398502;341;71;2708;19;0;0;SPECTRE
818884544618;16683;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2394190;121;93;1932;0;0;0;SPECTRE
818884561305;16768;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2400283;432;126;3194;12;2;0;SPECTRE
818884578077;16694;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2395627;138;117;1953;0;0;0;SPECTRE
818884594775;16727;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2396736;315;81;2682;9;1;0;SPECTRE
818884611506;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2395595;121;82;1909;0;1;0;SPECTRE
818884628197;16783;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2400888;495;187;3678;19;7;0;SPECTRE
818884644984;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2395111;138;83;1937;0;0;0;SPECTRE
818884661673;16797;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2401585;404;160;3374;21;7;0;SPECTRE
818884678474;16830;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2394488;123;87;2006;1;1;0;SPECTRE
818884695308;16714;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;2396203;323;95;2770;7;3;0;SPECTRE
818884712028;23896;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x00005a1d;2;3319118;266;61;1597;106;60;0;SPECTRE
818885976598;359928;"MAF";"INTERVAL";"PROBE";4;63;0x00005a1d;3;51466185;6520;2680;58858;1948;981;0;SPECTRE
818885976620;86;"SENS_C1";"INTERVAL";"PROBE";4;63;0x00005a1d;3;1646;50;31;480;218;106;0;SPECTRE
818885976710;105;"LOC_C1";"INTERVAL";"PROBE";4;63;0x00005a1d;3;5457;33;16;461;159;61;0;SPECTRE
818885976819;19;"LOC_C2";"INTERVAL";"PROBE";4;63;0x00005a1d;3;761;14;3;88;36;21;0;SPECTRE
818885976844;105;"LOC_C3";"INTERVAL";"PROBE";4;63;0x00005a1d;3;10454;26;8;227;92;48;0;SPECTRE
818885976953;30;"LOC_C4";"INTERVAL";"PROBE";4;63;0x00005a1d;3;726;9;2;93;39;26;0;SPECTRE
818885976987;16983;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;3;2404844;456;362;5504;1086;599;0;SPECTRE
818885993974;16686;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;3;2396983;123;56;1950;0;1;0;SPECTRE
818886010665;16775;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;3;2402526;427;173;3378;7;2;0;SPECTRE
818886027444;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;3;2396335;143;59;1948;0;0;0;SPECTRE
818886044132;16788;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;3;2402178;433;178;3296;13;5;0;SPECTRE
818886060924;16680;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;3;2397080;139;59;1927;0;1;0;SPECTRE
818886077608;16754;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;3;2401066;435;192;3289;7;1;0;SPECTRE
818886094366;16724;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;3;2399878;311;68;2712;21;2;0;SPECTRE
818886111094;16682;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;3;2397003;139;98;1935;0;0;0;SPECTRE
818886127781;16823;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;3;2405671;529;155;3666;52;22;0;SPECTRE
818886144608;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;3;2398061;123;143;1983;0;1;0;SPECTRE
818886161303;16772;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;3;2402773;431;131;3320;8;0;0;SPECTRE
818886178080;16687;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;3;2397683;123;110;1951;0;1;0;SPECTRE
818886194772;16720;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x00005a1d;3;2398526;342;83;2718;22;2;0;SPECTRE
