TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
207280121625;358954;"MAF";"INTERVAL";"PROBE";4;63;0x0000409a;0;51168002;8303;3880;73895;2380;767;0;NOSTRESS
207280121890;52;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000409a;0;1576;36;11;389;94;20;0;NOSTRESS
207280121947;93;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000409a;0;4166;28;11;424;155;45;0;NOSTRESS
207280122045;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000409a;0;749;15;11;87;23;8;0;NOSTRESS
207280122069;108;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000409a;0;10647;30;17;256;74;16;0;NOSTRESS
207280122181;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000409a;0;720;11;5;107;28;10;0;NOSTRESS
207280122207;16990;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2403878;466;394;5698;839;245;0;NOSTRESS
207280139202;16709;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2396397;132;54;1989;6;3;0;NOSTRESS
207280155915;16892;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2404979;594;279;4707;163;51;0;NOSTRESS
207280172812;16673;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2395951;128;56;1983;1;0;0;NOSTRESS
207280189489;16859;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2405895;577;280;4436;46;8;0;NOSTRESS
207280206353;16840;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2404398;521;141;4252;31;8;0;NOSTRESS
207280223197;16689;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2396580;146;180;2006;0;1;0;NOSTRESS
207280239890;16850;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2404948;544;175;4208;31;1;0;NOSTRESS
207280256745;16759;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2398525;136;156;2086;3;4;0;NOSTRESS
207280273509;16905;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2407348;633;233;4955;182;58;0;NOSTRESS
207280290418;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2396081;134;131;2004;0;1;0;NOSTRESS
207280307106;16826;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2403548;554;212;4273;16;2;0;NOSTRESS
207280323936;16692;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2398239;131;118;2005;0;1;0;NOSTRESS
207280340632;16852;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2404048;534;220;4106;38;9;0;NOSTRESS
207280357489;16696;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2397649;130;88;2015;0;0;0;NOSTRESS
207280374189;16832;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2404095;560;262;4257;53;2;0;NOSTRESS
207280391026;16683;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2397062;130;71;2002;0;0;0;NOSTRESS
207280407714;16837;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2406014;559;275;4301;33;10;0;NOSTRESS
207280424555;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2395911;145;55;1979;0;0;0;NOSTRESS
207280441244;16840;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;0;2405377;554;272;4284;30;7;0;NOSTRESS
207280458089;22485;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x0000409a;0;3099515;435;103;2852;350;158;0;NOSTRESS
207281721702;358868;"MAF";"INTERVAL";"PROBE";4;63;0x0000409a;1;51252264;6990;3356;64932;2256;1254;0;NOSTRESS
207281721730;85;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000409a;1;1629;43;19;462;242;117;0;NOSTRESS
207281721820;102;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000409a;1;4143;28;9;443;188;132;0;NOSTRESS
207281721926;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000409a;1;758;14;9;86;37;14;0;NOSTRESS
207281721952;114;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000409a;1;10476;32;13;289;103;61;0;NOSTRESS
207281722072;30;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000409a;1;726;12;10;105;42;21;0;NOSTRESS
207281722106;17062;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000409a;1;2409435;574;486;6497;1367;775;0;NOSTRESS
