TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
929301978315;743224;"MAF";"INTERVAL";"PROBE";4;63;0x0000650e;0;51021622;20511243;12898198;41132414;24209172;18385;0;SPECTRE
929301978569;57;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000650e;0;814;661;443;1159;0;127;0;SPECTRE
929301978631;93;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000650e;0;2858;1539;1101;3028;1242;159;0;SPECTRE
929301978728;18;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000650e;0;359;310;199;621;17;23;0;SPECTRE
929301978750;106;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000650e;0;9113;2482;1716;7891;4016;78;0;SPECTRE
929301978860;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000650e;0;359;287;215;629;0;38;0;SPECTRE
929301978886;49005;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;2752766;1112556;735479;2562104;1136881;2222;0;SPECTRE
929302027897;16720;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;1943988;771390;429992;1093622;1136030;16;0;SPECTRE
929302044622;48911;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;2756657;1114440;737717;2566190;1136576;1658;0;SPECTRE
929302093538;16715;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;1943620;771144;429980;1093251;1135907;16;0;SPECTRE
929302110257;48896;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;2767521;1118189;740606;2595204;1136606;1623;0;SPECTRE
929302159159;48894;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;2753447;1112720;736477;2563056;1136492;1625;0;SPECTRE
929302208058;16711;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;1943483;770932;429856;1092712;1136129;24;0;SPECTRE
929302224774;48848;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;2769037;1118598;740985;2595432;1136848;1416;0;SPECTRE
929302273627;16810;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;1943941;771159;429907;1092801;1136232;53;0;SPECTRE
929302290441;48860;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;2746579;1109409;733303;2554079;1136067;1288;0;SPECTRE
929302339306;16697;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;1941407;770225;429764;1092010;1134910;20;0;SPECTRE
929302356007;48849;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;2758692;1114787;737534;2570266;1137137;1141;0;SPECTRE
929302404861;16698;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;1942025;770216;429818;1092128;1135278;23;0;SPECTRE
929302421563;48852;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;2761147;1114828;738594;2583104;1136098;1144;0;SPECTRE
929302470420;16704;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;1942078;770542;429857;1092471;1135143;22;0;SPECTRE
929302487129;48846;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;2755127;1113314;736570;2562843;1136658;1178;0;SPECTRE
929302535980;16715;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;1944200;771232;429880;1092804;1136574;22;0;SPECTRE
929302552699;48855;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;2766118;1117027;739287;2592185;1136685;1144;0;SPECTRE
929302601559;16705;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;1942206;770556;429861;1092495;1135285;17;0;SPECTRE
929302618269;48845;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;0;2754223;1113085;736327;2562465;1136163;1150;0;SPECTRE
929302667140;54393;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x0000650e;0;3166861;1300484;903859;2951485;1480198;1409;0;SPECTRE
929303578276;647356;"MAF";"INTERVAL";"PROBE";4;63;0x0000650e;1;48653541;19515471;12009691;36819614;24216619;15225;0;SPECTRE
929303578304;85;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000650e;1;840;655;452;1216;0;139;0;SPECTRE
929303578394;98;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000650e;1;2705;1469;1072;2866;1166;163;0;SPECTRE
929303578496;28;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000650e;1;351;302;199;619;17;22;0;SPECTRE
929303578530;109;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000650e;1;8855;2414;1690;7727;3874;90;0;SPECTRE
929303578645;28;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000650e;1;367;289;216;628;0;34;0;SPECTRE
929303578678;16955;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;1943373;772037;432326;1100473;1133081;928;0;SPECTRE
929303595638;16691;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;1937951;769583;429708;1091987;1132840;13;0;SPECTRE
929303612333;16826;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;1942215;771658;432340;1099612;1132819;553;0;SPECTRE
929303629164;16675;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;1935381;768656;429625;1091115;1131372;8;0;SPECTRE
929303645843;16790;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;1939003;770511;432129;1098359;1131026;521;0;SPECTRE
929303662638;48833;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;2758781;1114675;739134;2590160;1130965;1118;0;SPECTRE
929303711476;16719;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;1945127;771392;429952;1092973;1137092;28;0;SPECTRE
929303728199;48879;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;2765822;1116868;738987;2579311;1137207;1320;0;SPECTRE
929303777083;16711;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;1942943;770899;429858;1092575;1135964;30;0;SPECTRE
929303793798;48858;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;2762930;1115326;738520;2586008;1134844;1385;0;SPECTRE
929303842662;16705;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;1942032;770648;429769;1092317;1135479;26;0;SPECTRE
929303859371;48862;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;2762257;1116223;739188;2579622;1134802;1349;0;SPECTRE
929303908238;16704;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;1941337;770322;429859;1092060;1134977;25;0;SPECTRE
929303924946;48854;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;2763726;1115798;738605;2585266;1135372;1331;0;SPECTRE
929303973805;16695;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;1939628;769842;429747;1091754;1133946;25;0;SPECTRE
929303990505;48838;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;2758555;1114805;738623;2575188;1133691;1369;0;SPECTRE
929304039348;16699;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;1939080;769917;429792;1092012;1133471;24;0;SPECTRE
929304056052;48857;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;2767124;1116985;739622;2591527;1135667;1571;0;SPECTRE
929304104915;16700;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;1940211;770231;429806;1092057;1134274;24;0;SPECTRE
929304121619;48853;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;1;2755367;1113410;737699;2568215;1133452;1339;0;SPECTRE
929304170494;55133;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x0000650e;1;3247668;1333111;924560;3003820;1529221;1415;0;SPECTRE
929305178272;648079;"MAF";"INTERVAL";"PROBE";4;63;0x0000650e;2;48683286;19529736;12026255;36839328;24231767;15653;0;SPECTRE
929305178300;77;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000650e;2;832;655;457;1209;0;141;0;SPECTRE
929305178381;107;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000650e;2;4113;1956;1288;3272;1959;168;0;SPECTRE
929305178492;24;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000650e;2;357;306;199;630;17;22;0;SPECTRE
929305178522;101;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000650e;2;8813;2385;1687;7728;3837;77;0;SPECTRE
929305178628;22;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000650e;2;358;280;212;620;0;30;0;SPECTRE
929305178654;17006;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;1945160;773403;433469;1104080;1132860;1045;0;SPECTRE
929305195665;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;1937797;769379;429742;1092126;1132345;15;0;SPECTRE
929305212354;16807;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;1938633;770549;432150;1099027;1130470;555;0;SPECTRE
929305229165;16680;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;1936536;769027;429717;1091498;1131591;11;0;SPECTRE
929305245849;16799;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;1938367;770609;432077;1098561;1130425;518;0;SPECTRE
929305262652;48836;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;2752089;1111451;736187;2564899;1132307;1175;0;SPECTRE
929305311494;16676;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;1935364;768689;429576;1091190;1131034;29;0;SPECTRE
929305328174;48829;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;2766673;1118089;740871;2597585;1131873;1371;0;SPECTRE
929305377008;16690;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;1937857;769477;429733;1091944;1132391;29;0;SPECTRE
929305393702;48841;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;2754037;1111706;736340;2568196;1132807;1394;0;SPECTRE
929305442548;16697;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;1939305;769976;429788;1092116;1133262;30;0;SPECTRE
929305459249;48841;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;2760707;1115471;739426;2582794;1131883;1350;0;SPECTRE
929305508095;16685;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;1937178;769304;429621;1091594;1132071;30;0;SPECTRE
929305524784;48833;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;2760886;1114258;738349;2584871;1132545;1367;0;SPECTRE
929305573622;16684;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;1937979;769247;429637;1091560;1132659;30;0;SPECTRE
929305590310;48827;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;2759604;1114460;738499;2576238;1132816;1316;0;SPECTRE
929305639142;16678;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;1937181;769015;429575;1091217;1132322;29;0;SPECTRE
929305655824;48830;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;2763445;1115007;739219;2590871;1132712;1351;0;SPECTRE
929305704659;16871;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;1938621;769406;429656;1091539;1133182;46;0;SPECTRE
929305721534;48836;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;2;2749042;1109633;734772;2563341;1131718;1474;0;SPECTRE
929305770392;55955;"TRAJ_R1";"INTERVAL";"PROBE";4;63;0x0000650e;2;3331537;1368119;947236;3048814;1582681;1406;0;SPECTRE
929306778261;648861;"MAF";"INTERVAL";"PROBE";4;63;0x0000650e;3;48813826;19576887;12054575;36930736;24310119;15605;0;SPECTRE
929306778283;83;"SENS_C1";"INTERVAL";"PROBE";4;63;0x0000650e;3;821;651;457;1198;0;137;0;SPECTRE
929306778370;109;"LOC_C1";"INTERVAL";"PROBE";4;63;0x0000650e;3;3916;1897;1286;3248;1846;169;0;SPECTRE
929306778483;20;"LOC_C2";"INTERVAL";"PROBE";4;63;0x0000650e;3;355;306;199;620;17;22;0;SPECTRE
929306778507;99;"LOC_C3";"INTERVAL";"PROBE";4;63;0x0000650e;3;8821;2401;1685;7676;3829;75;0;SPECTRE
929306778611;23;"LOC_C4";"INTERVAL";"PROBE";4;63;0x0000650e;3;360;281;212;613;0;31;0;SPECTRE
929306778639;16948;"NEAR_P1";"INTERVAL";"PROBE";4;63;0x0000650e;3;1944159;772766;432399;1101022;1133244;811;0;SPECTRE
