TIMESTAMP;DURATION;PROBE;KIND;LAYER;CORE;PAIR_ON;PID;MAF_COUNT;PMC0;PMC1;PMC2;PMC3;PMC4;PMC5;LMC0;CONTEXT
62315548717;1142381;"MAF";"INTERVAL";"PROBE";1;63;0x00001c4e;0;46402399;11546;27004;86716;1928;1301;0;BPRED
62315549102;115;"SENS_C1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;1453;49;55;249;96;19;0;BPRED
62315549225;232;"LOC_C1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;3895;35;35;263;150;22;0;BPRED
62315549463;72;"LOC_C2";"INTERVAL";"PROBE";1;63;0x00001c4e;0;1447;44;44;318;30;11;0;BPRED
62315549544;315;"LOC_C3";"INTERVAL";"PROBE";1;63;0x00001c4e;0;9805;42;58;264;88;19;0;BPRED
62315549869;35;"LOC_C4";"INTERVAL";"PROBE";1;63;0x00001c4e;0;582;9;7;80;26;5;0;BPRED
62315549911;54105;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;2181466;877;1733;5381;991;195;0;BPRED
62315604029;53443;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;2173928;767;1612;5464;155;90;0;BPRED
62315657479;53362;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;2171912;475;1288;4496;34;29;0;BPRED
62315710848;53202;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;2167406;452;1233;3594;23;33;0;BPRED
62315764057;53197;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;2168401;492;1253;3859;7;52;0;BPRED
62315817262;53392;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;2173874;822;1571;5222;20;49;0;BPRED
62315870662;53110;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;2166104;313;1133;3222;2;17;0;BPRED
62315923779;53309;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;2172534;564;1399;4728;7;33;0;BPRED
62315977096;53176;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;2168220;446;1235;3698;1;48;0;BPRED
62316030279;53103;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;2166271;277;1014;2894;2;41;0;BPRED
62316083389;53254;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;2171109;559;1267;4028;7;56;0;BPRED
62316136650;53267;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;2171172;746;1451;4454;5;69;0;BPRED
62316189925;53021;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;2163091;317;1013;2489;2;41;0;BPRED
62316242953;53301;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;2172460;626;1419;4544;19;42;0;BPRED
62316296262;53259;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;2171216;540;1310;4247;5;49;0;BPRED
62316349528;53107;"NEAR_P1";"INTERVAL";"PROBE";1;63;0x00001c4e;0;2166263;293;1039;2987;2;27;0;BPRED
